Date,XOM Raw Price,APA Raw Price,XOM Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,105.388,22.7603,4.65765,3.12502,0.210929,82.6278,2.16076
2025-01-03,105.928,22.7992,4.66276,3.12673,0.201592,83.129,2.16076
2025-01-06,105.81,23.0328,4.66165,3.13692,0.214193,82.7775,2.16076
2025-01-07,106.802,23.0328,4.67098,3.13692,0.194031,83.7694,2.16076
2025-01-08,105.015,23.0523,4.6541,3.13777,0.231344,81.9625,2.16076
2025-01-10,104.632,23.0523,4.65045,3.13777,0.239239,81.5795,2.16076
2025-01-13,107.333,23.7337,4.67593,3.1669,0.213306,83.5988,2.16076
2025-01-14,107.755,24.1913,4.67986,3.18599,0.223915,83.5636,2.16076
2025-01-15,109.513,24.7754,4.69604,3.20985,0.212807,84.7374,2.16076
2025-01-16,109.326,24.4833,4.69434,3.19799,0.204634,84.8428,2.16076
2025-01-17,110.308,23.7532,4.70328,3.16772,0.155036,86.5551,2.16076
2025-01-21,109.474,23.0718,4.69568,3.13861,0.142341,86.4017,2.16076
2025-01-22,107.568,22.9832,4.67813,3.13476,0.176433,84.585,2.16076
2025-01-23,108.177,23.1308,4.68377,3.14117,0.170637,85.0463,2.16076
2025-01-24,106.714,22.9439,4.67015,3.13305,0.19195,83.77,2.16076
2025-01-27,108.197,23.0029,4.68395,3.13562,0.164699,85.1939,2.16076
2025-01-28,106.105,22.9635,4.66443,3.13391,0.205172,83.1414,2.16076
2025-01-29,106.724,22.8061,4.67024,3.12703,0.18573,83.9175,2.16076
2025-01-30,107.608,22.6192,4.67849,3.1188,0.159678,84.9883,2.16076
2025-01-31,104.917,21.5763,4.65317,3.0716,0.167195,83.3403,2.16076
2025-02-03,105.172,21.1237,4.6556,3.0504,0.140743,84.0482,2.16076
2025-02-04,107.991,22.0289,4.68204,3.09235,0.125556,85.9617,2.16076
2025-02-05,107.912,21.8321,4.68132,3.08338,0.118156,86.0799,2.16076
2025-02-06,106.488,21.291,4.66803,3.05828,0.121761,85.197,2.16076
2025-02-07,106.94,21.3205,4.67227,3.05967,0.113999,85.6192,2.16076
2025-02-10,108.982,22.6192,4.69119,3.1188,0.132244,86.3633,2.16076
2025-02-11,109.67,22.934,4.69748,3.13262,0.13248,86.7359,2.16076
2025-02-12,106.37,22.0092,4.66693,3.09146,0.157327,84.3611,2.16076
2025-02-13,107.143,22.1273,4.67417,3.09681,0.147033,85.0159,2.16076
2025-02-14,107.252,22.7668,4.67518,3.1253,0.173328,84.4854,2.16076
2025-02-18,109.135,23.1898,4.69258,3.14371,0.15414,85.945,2.16076
2025-02-19,109.293,23.2095,4.69404,3.14456,0.151852,86.0839,2.16076
2025-02-20,110.978,23.239,4.70933,3.14583,0.120074,87.7388,2.16076
2025-02-21,109.68,22.4224,4.69757,3.11006,0.109724,87.2574,2.16076
2025-02-24,110.255,22.5011,4.70279,3.11357,0.101936,87.7534,2.16076
2025-02-25,108.729,22.019,4.68885,3.09191,0.110392,86.7096,2.16076
2025-02-26,108.461,21.655,4.68639,3.07524,0.0990443,86.8061,2.16076
2025-02-27,109.145,20.0906,4.69268,3.00025,0.0104841,89.0541,2.16076
2025-02-28,110.314,20.3661,4.70333,3.01387,0.00107878,89.9479,2.16076
2025-03-03,106.777,18.5853,4.67074,2.92237,-0.0199986,88.1913,2.16076
2025-03-04,106.559,18.2705,4.66869,2.90529,-0.032668,88.2881,2.16076
