Date,RRC Raw Price,ENB Raw Price,RRC Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,35.8827,42.98,3.58026,3.76073,-0.0281824,7.09729,0.0749112
2025-01-03,35.7434,43.09,3.57636,3.76329,-0.0253348,7.34664,0.0749112
2025-01-06,36.6392,42.99,3.60112,3.76097,-0.0295126,6.35081,0.0749112
2025-01-07,36.6093,43.64,3.6003,3.77597,-0.0144449,7.03068,0.0749112
2025-01-08,37.3459,44.02,3.62022,3.78464,-0.00726719,6.67411,0.0749112
2025-01-10,37.9929,43.48,3.6374,3.7723,-0.0208969,5.48713,0.0749112
2025-01-13,38.3114,43.4,3.64575,3.77046,-0.0233639,5.08861,0.0749112
2025-01-14,39.4361,44.07,3.67468,3.78578,-0.0102117,4.63385,0.0749112
2025-01-15,40.1429,44.33,3.69244,3.79166,-0.00565979,4.18715,0.0749112
2025-01-16,41.0984,44.03,3.71597,3.78487,-0.0142126,2.9316,0.0749112
2025-01-17,40.8794,44.51,3.71063,3.79571,-0.00296969,3.63058,0.0749112
2025-01-21,40.7799,45.31,3.70819,3.81353,0.0150269,4.53012,0.0749112
2025-01-22,40.8097,44.76,3.70892,3.80131,0.00275909,3.95026,0.0749112
2025-01-23,40.3718,44.86,3.69813,3.80355,0.00579906,4.48822,0.0749112
2025-01-24,39.9836,45.06,3.68847,3.80799,0.0109713,5.07641,0.0749112
2025-01-27,37.0971,44.7,3.61354,3.79997,0.00856304,7.60295,0.0749112
2025-01-28,37.2264,44.46,3.61702,3.79459,0.00291858,7.23355,0.0749112
2025-01-29,37.4156,44.26,3.62209,3.79008,-0.00196961,6.84443,0.0749112
2025-01-30,37.3957,44.5,3.62155,3.79549,0.00347814,7.10434,0.0749112
2025-01-31,36.8681,43.24,3.60735,3.76677,-0.0241807,6.37188,0.0749112
2025-02-03,37.2663,42.92,3.61809,3.75934,-0.0324135,5.65374,0.0749112
2025-02-04,37.5649,43.72,3.62607,3.77781,-0.0145436,6.15513,0.0749112
2025-02-05,38.7593,43.93,3.65737,3.7826,-0.0120966,5.1707,0.0749112
2025-02-06,37.4554,44.2,3.62315,3.78872,-0.00340578,6.74462,0.0749112
2025-02-07,37.0771,44.45,3.613,3.79436,0.00299473,7.37286,0.0749112
2025-02-10,39.5257,44.81,3.67695,3.80243,0.00627045,5.28428,0.0749112
2025-02-11,39.3864,45.25,3.67342,3.8122,0.0163063,5.86362,0.0749112
2025-02-12,38.3014,45.1,3.64549,3.80888,0.0150783,6.79856,0.0749112
2025-02-13,38.6199,45.45,3.65377,3.81661,0.0221886,6.83005,0.0749112
2025-02-14,38.4906,43.07,3.65041,3.76283,-0.0313462,4.57945,0.0749112
2025-02-18,38.7394,42.75,3.65686,3.75537,-0.0392864,4.0106,0.0749112
2025-02-19,39.7148,42.31,3.68173,3.74502,-0.051495,2.59515,0.0749112
2025-02-20,39.4859,41.98,3.67594,3.73719,-0.0588921,2.49409,0.0749112
