Date,PSX Raw Price,WMB Raw Price,PSX Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,112.306,54.9218,4.72123,4.00591,-0.0404114,57.3844,0.00333772
2025-01-03,113.955,55.6294,4.73581,4.01871,-0.0276577,58.3258,0.00333772
2025-01-06,113.052,54.853,4.72785,4.00466,-0.041687,58.1992,0.00333772
2025-01-07,113.072,54.5974,4.72802,3.99999,-0.0463572,58.4744,0.00333772
2025-01-08,114.112,55.423,4.73718,4.01499,-0.0313794,58.6893,0.00333772
2025-01-10,111.835,54.5679,4.71702,3.99945,-0.0468607,57.267,0.00333772
2025-01-13,113.847,55.0692,4.73486,4.00859,-0.0377763,58.7781,0.00333772
2025-01-14,115.114,57.0644,4.74592,4.04418,-0.00222351,58.0491,0.00333772
2025-01-15,116.812,57.0152,4.76056,4.04332,-0.00313397,59.7965,0.00333772
2025-01-16,117.43,58.1652,4.76584,4.06329,0.0168167,59.2649,0.00333772
2025-01-17,118.314,58.1259,4.77334,4.06261,0.0161156,60.1877,0.00333772
2025-01-21,118.274,59.5903,4.77301,4.08749,0.0409989,58.684,0.00333772
2025-01-22,116.37,58.1848,4.75677,4.06362,0.0171849,58.1852,0.00333772
2025-01-23,120.365,58.4699,4.79053,4.06851,0.0219589,61.8953,0.00333772
2025-01-24,119.619,58.5485,4.78431,4.06986,0.0233235,61.0706,0.00333772
2025-01-27,120.817,53.6146,4.79427,3.98182,-0.0647441,67.2021,0.00333772
2025-01-28,118.952,54.2534,4.77872,3.99367,-0.052847,64.6982,0.00333772
2025-01-29,119.914,54.3812,4.78677,3.99602,-0.0505215,65.5324,0.00333772
2025-01-30,118.618,55.6196,4.77591,4.01854,-0.0279682,62.9983,0.00333772
2025-01-31,115.702,54.4795,4.75102,3.99782,-0.0485965,61.223,0.00333772
2025-02-03,115.693,55.2363,4.75094,4.01162,-0.0348004,60.4564,0.00333772
2025-02-04,121.337,54.7645,4.79857,4.00304,-0.043537,66.5724,0.00333772
2025-02-05,121.052,55.8751,4.79622,4.02312,-0.0234522,65.1771,0.00333772
2025-02-06,118.598,55.0495,4.77574,4.00823,-0.0382698,63.5487,0.00333772
2025-02-07,118.088,54.9807,4.77143,4.00698,-0.0395059,63.1071,0.00333772
