Date,PSX Raw Price,WMB Raw Price,PSX Log Price,WMB Log Price,Residual,Spread,Beta
2025-02-10,121.435,55.2068,4.79938,4.01109,-0.0354961,66.2283,0.00333772
2025-02-11,127.168,54.2927,4.84551,3.99439,-0.0523454,72.875,0.00333772
2025-02-12,122.741,53.8799,4.81007,3.98676,-0.0598594,68.8607,0.00333772
2025-02-13,123.231,56.4747,4.81406,4.03379,-0.0128388,66.7568,0.00333772
2025-02-14,125.685,56.0029,4.83378,4.0254,-0.0212934,69.6826,0.00333772
2025-02-18,127.884,56.8088,4.85113,4.03969,-0.00706287,71.0755,0.00333772
2025-02-19,127.57,57.2708,4.84867,4.04779,0.00104402,70.2994,0.00333772
2025-02-20,129.131,57.4477,4.86083,4.05087,0.00408776,71.6832,0.00333772
2025-02-21,126.412,56.455,4.83955,4.03344,-0.013272,69.9569,0.00333772
2025-02-24,125.867,56.3469,4.83523,4.03153,-0.0151744,69.5202,0.00333772
2025-02-25,125.055,55.2166,4.82875,4.01126,-0.0354161,69.8383,0.00333772
2025-02-26,124.243,55.9243,4.82224,4.024,-0.0226598,68.3185,0.00333772
2025-02-27,126.194,55.2952,4.83782,4.01269,-0.0340234,70.8987,0.00333772
2025-02-28,128.452,57.1823,4.85556,4.04624,-0.000524678,71.2699,0.00333772
2025-03-03,123.797,56.6123,4.81864,4.03623,-0.0104206,67.1848,0.00333772
2025-03-04,121.123,55.826,4.79681,4.02224,-0.024334,65.2968,0.00333772
2025-03-05,118.597,55.2559,4.77573,4.01198,-0.0345274,63.3412,0.00333772
2025-03-06,121.618,53.6735,4.80089,3.98292,-0.0636668,67.9445,0.00333772
2025-03-07,124.976,53.4475,4.82812,3.9787,-0.0679784,71.5282,0.00333772
2025-03-10,124.926,53.0937,4.82772,3.97206,-0.0746192,71.8325,0.00333772
2025-03-11,122.371,54.0077,4.80706,3.98913,-0.0574808,68.3631,0.00333772
2025-03-12,122.797,55.3346,4.81053,4.0134,-0.0332215,67.4621,0.00333772
2025-03-13,121.331,55.2166,4.79852,4.01126,-0.0353152,66.1142,0.00333772
2025-03-14,125.52,56.7934,4.83247,4.03942,-0.00727259,68.7271,0.00333772
2025-03-17,127.957,57.9041,4.85169,4.05879,0.012031,70.0529,0.00333772
2025-03-18,127.184,57.914,4.84564,4.05896,0.0122225,69.2704,0.00333772
2025-03-19,127.769,58.8263,4.85022,4.07459,0.0278378,68.9425,0.00333772
2025-03-20,127.591,59.2527,4.84883,4.08181,0.0350651,68.3378,0.00333772
2025-03-21,124.292,59.104,4.82264,4.0793,0.0326389,65.1883,0.00333772
2025-03-24,125.263,60.5816,4.83042,4.10399,0.0573056,64.6813,0.00333772
2025-03-25,124.292,60.4031,4.82264,4.10104,0.0543807,63.8892,0.00333772
2025-03-26,125.362,59.4511,4.83121,4.08515,0.0384656,65.9109,0.00333772
2025-03-27,123.53,58.9354,4.81648,4.07644,0.029803,64.5942,0.00333772
2025-03-28,120.598,58.6974,4.79246,4.0724,0.0258366,61.9005,0.00333772
2025-03-31,122.301,59.2627,4.80649,4.08198,0.0353737,63.0388,0.00333772
2025-04-01,123.163,60.0659,4.81351,4.09544,0.0488135,63.0972,0.00333772
2025-04-02,122.876,61.0873,4.81118,4.1123,0.0656834,61.7886,0.00333772
2025-04-03,106.157,58.5387,4.66492,4.06969,0.0235555,47.6183,0.00333772
2025-04-04,97.8669,54.1159,4.58361,3.99113,-0.0547346,43.7511,0.00333772
2025-04-07,95.6681,54.3935,4.56089,3.99625,-0.0495409,41.2746,0.00333772
2025-04-08,91.9836,53.8779,4.52161,3.98672,-0.0589354,38.1058,0.00333772
2025-04-09,102.146,55.9505,4.6264,4.02447,-0.021538,46.1952,0.00333772
2025-04-10,96.0643,54.6117,4.56502,4.00025,-0.0455517,41.4526,0.00333772
2025-04-11,96.4506,55.9207,4.56903,4.02393,-0.0218784,40.5299,0.00333772
2025-04-14,96.8864,56.8826,4.57354,4.04099,-0.00483805,40.0037,0.00333772
2025-04-15,95.2917,58.0528,4.55694,4.06135,0.0155804,37.2389,0.00333772
2025-04-16,95.6483,57.7751,4.56068,4.05656,0.0107734,37.8732,0.00333772
2025-04-17,98.1542,58.1321,4.58654,4.06272,0.0168473,40.022,0.00333772
2025-04-21,96.0841,55.9703,4.56522,4.02482,-0.0209794,40.1138,0.00333772
2025-04-22,99.937,57.7156,4.60454,4.05553,0.0095966,42.2213,0.00333772
2025-04-23,101.799,57.9933,4.623,4.06033,0.0143345,43.8057,0.00333772
2025-04-24,103.691,59.1139,4.64141,4.07947,0.0334115,44.5769,0.00333772
2025-04-25,102.978,58.5387,4.63451,4.06969,0.023657,44.4389,0.00333772
2025-04-28,104.77,59.1635,4.65177,4.0803,0.0342154,45.6069,0.00333772
2025-04-29,104.988,59.1734,4.65385,4.08047,0.034376,45.8149,0.00333772
2025-04-30,103.067,58.0826,4.63538,4.06187,0.0158309,44.9843,0.00333772
2025-05-01,102.473,58.3106,4.62959,4.06578,0.0197695,44.1619,0.00333772
2025-05-02,106.127,59.5007,4.66464,4.08599,0.0398552,46.6267,0.00333772
2025-05-05,105.88,59.6693,4.6623,4.08882,0.0426923,46.2105,0.00333772
2025-05-06,104.384,58.2115,4.64808,4.06408,0.0180057,46.1726,0.00333772
2025-05-07,104.543,58.4495,4.64959,4.06816,0.0220808,46.0931,0.00333772
2025-05-08,108.148,56.5851,4.6835,4.03575,-0.0104489,51.5627,0.00333772
2025-05-09,109.861,57.1801,4.69922,4.04621,-4.10255e-05,52.6812,0.00333772
2025-05-12,117.547,56.6546,4.76684,4.03697,-0.00950104,60.8927,0.00333772
2025-05-13,124.372,57.5867,4.82327,4.05329,0.00663036,66.7848,0.00333772
2025-05-14,123.51,57.7156,4.81632,4.05553,0.00888974,65.7942,0.00333772
2025-05-15,123.579,58.2809,4.81688,4.06527,0.0186341,65.2983,0.00333772
2025-05-16,124.53,58.3007,4.82455,4.06561,0.0189487,66.2293,0.00333772
2025-05-19,122.18,58.0528,4.8055,4.06135,0.0147508,64.1272,0.00333772
2025-05-20,120.9,58.2809,4.79496,4.06527,0.0187072,62.6191,0.00333772
2025-05-21,111.78,57.4479,4.71653,4.05088,0.00457282,54.3321,0.00333772
2025-05-22,112.98,57.2694,4.72721,4.04777,0.00142516,55.7106,0.00333772
2025-05-23,113.13,58.4991,4.72854,4.06901,0.0226654,54.6309,0.00333772
2025-05-27,114.33,59.5998,4.73909,4.08765,0.041272,54.7302,0.00333772
2025-05-28,112.77,60.1155,4.72535,4.09627,0.0499329,52.6545,0.00333772
2025-05-29,114.68,59.7684,4.74215,4.09048,0.0440864,54.9116,0.00333772
2025-05-30,113.48,60.0064,4.73163,4.09445,0.0480957,53.4736,0.00333772
2025-06-02,114.28,60.7601,4.73865,4.10693,0.060554,53.5199,0.00333772
2025-06-03,115.97,60.6014,4.75333,4.10432,0.0578902,55.3686,0.00333772
2025-06-04,112.48,59.6197,4.72278,4.08799,0.0416592,52.8603,0.00333772
2025-06-05,112.23,60.056,4.72055,4.09528,0.0489587,52.174,0.00333772
2025-06-06,114.29,60.056,4.73874,4.09528,0.048898,54.234,0.00333772
2025-06-09,116.1,59.1635,4.75445,4.0803,0.0338727,56.9365,0.00333772
2025-06-10,118.7,58.4693,4.7766,4.0685,0.0219962,60.2307,0.00333772
2025-06-11,120.95,58.9255,4.79538,4.07627,0.0297052,62.0245,0.00333772
2025-06-12,121.52,59.58,4.80008,4.08732,0.0407357,61.94,0.00333772
2025-06-13,122.15,59.78,4.80525,4.09067,0.0440695,62.37,0.00333772
