Date,CVX Raw Price,MTDR Raw Price,CVX Log Price,MTDR Log Price,Residual,Spread,Beta
2025-02-26,153.273,51.4392,5.03222,3.9404,-0.0169171,101.834,1.62802
2025-02-27,154.785,51.8141,5.04203,3.94766,-0.0256311,102.971,1.62802
2025-02-28,156.711,51.9561,5.0544,3.9504,-0.0430333,104.755,1.62802
2025-03-03,151.248,47.3898,5.01892,3.85841,-0.0772535,103.858,1.62802
2025-03-04,150.171,46.0894,5.01177,3.83058,-0.0934445,104.081,1.62802
2025-03-05,148.995,45.3846,5.00391,3.81517,-0.0960587,103.611,1.62802
2025-03-06,151.109,44.4614,5.018,3.79462,-0.139549,106.648,1.62802
2025-03-07,154.459,44.9379,5.03993,3.80528,-0.164579,109.521,1.62802
2025-03-10,155.674,44.6898,5.04776,3.79974,-0.182875,110.984,1.62802
2025-03-11,152.226,46.6552,5.02537,3.84279,-0.10337,105.571,1.62802
2025-03-12,150.833,47.9258,5.01617,3.86965,-0.0615334,102.907,1.62802
2025-03-13,151.761,46.5858,5.02231,3.84129,-0.0998866,105.176,1.62802
2025-03-14,155.13,48.2634,5.04427,3.87667,-0.100254,106.867,1.62802
2025-03-17,156.81,49.9906,5.05503,3.91183,-0.082623,106.819,1.62802
2025-03-18,158.875,50.1891,5.06812,3.9158,-0.0999571,108.686,1.62802
2025-03-19,162.076,52.234,5.08806,3.95573,-0.0924969,109.842,1.62802
2025-03-20,162.787,51.9263,5.09244,3.94983,-0.105535,110.861,1.62802
2025-03-21,162.767,51.1322,5.09232,3.93441,-0.120749,111.635,1.62802
2025-03-24,163.034,52.5814,5.09396,3.96236,-0.0954653,110.453,1.62802
2025-03-25,163.943,51.9362,5.09952,3.95002,-0.116863,112.007,1.62802
2025-03-26,165.949,51.8568,5.11168,3.94849,-0.138189,114.092,1.62802
2025-03-27,164.645,51.1222,5.10379,3.93422,-0.139611,113.522,1.62802
2025-03-28,164.091,50.1395,5.10042,3.91481,-0.153542,113.952,1.62802
2025-03-31,165.277,50.7152,5.10762,3.92623,-0.153844,114.562,1.62802
2025-04-01,166.482,50.7351,5.11489,3.92662,-0.165283,115.747,1.62802
2025-04-02,164.467,51.8469,5.10271,3.94829,-0.123777,112.62,1.62802
2025-04-03,154.241,44.2431,5.03852,3.7897,-0.17787,109.998,1.62802
2025-04-04,141.556,38.0985,4.95269,3.64017,-0.187671,103.457,1.62802
2025-04-07,138.463,38.0488,4.93061,3.63887,-0.153015,100.415,1.62802
2025-04-08,135.282,36.401,4.90736,3.5946,-0.159449,98.8812,1.62802
2025-04-09,144.273,42.1882,4.97171,3.74214,-0.116654,102.084,1.62802
2025-04-10,133.356,37.5624,4.89302,3.626,-0.10469,95.7933,1.62802
2025-04-11,133.998,39.1209,4.89782,3.66666,-0.071858,94.8769,1.62802
2025-04-14,133.692,38.9422,4.89554,3.66208,-0.0727106,94.7494,1.62802
2025-04-15,132.921,38.6643,4.88975,3.65492,-0.0704622,94.2567,1.62802
2025-04-16,133.731,39.8356,4.89583,3.68476,-0.0505092,93.8955,1.62802
2025-04-17,136.211,41.1658,4.9142,3.71761,-0.0475753,95.0451,1.62802
2025-04-21,132.121,39.7364,4.88372,3.68227,-0.0332808,92.3844,1.62802
2025-04-22,135.648,40.7191,4.91006,3.7067,-0.051741,94.9287,1.62802
2025-04-23,135.035,40.5404,4.90554,3.7023,-0.0487705,94.4948,1.62802
2025-04-24,137.396,40.4511,4.92287,3.70009,-0.0791985,96.9454,1.62802
2025-04-25,137.061,40.7687,4.92042,3.70792,-0.0673911,96.2918,1.62802
2025-04-28,138.414,41.2353,4.93025,3.71929,-0.0720107,97.1788,1.62802
2025-04-29,137.624,40.7191,4.92452,3.7067,-0.0752848,96.9046,1.62802
2025-04-30,134.423,39.25,4.90099,3.66995,-0.0737179,95.1727,1.62802
2025-05-01,134.62,40.193,4.90246,3.69369,-0.052367,94.4273,1.62802
2025-05-02,136.833,40.7886,4.91876,3.7084,-0.0642031,96.0447,1.62802
2025-05-05,133.869,39.3592,4.89686,3.67273,-0.0642254,94.5103,1.62802
2025-05-06,133.968,40.0342,4.8976,3.68973,-0.0484218,93.9341,1.62802
2025-05-07,134.156,39.7463,4.899,3.68252,-0.0579179,94.4096,1.62802
2025-05-08,135.391,42.357,4.90817,3.74613,-0.00921879,93.0339,1.62802
2025-05-09,136.823,42.75,4.91869,3.75537,-0.0171188,94.0735,1.62802
2025-05-12,139.916,44.69,4.94104,3.79975,-0.00912318,95.2258,1.62802
2025-05-13,140.637,46.36,4.94618,3.83644,0.0191937,94.277,1.62802
2025-05-14,139.965,45.89,4.94139,3.82625,0.0167995,94.0752,1.62802
2025-05-15,140.548,44.59,4.94555,3.79751,-0.0187039,95.9581,1.62802
2025-05-16,140.39,44.54,4.94442,3.79639,-0.0179941,95.85,1.62802
2025-05-19,138.49,44.29,4.9308,3.79076,-0.00143906,94.2,1.62802
2025-05-20,137.27,44.28,4.92195,3.79053,0.0127404,92.99,1.62802
2025-05-21,135.56,43.55,4.90941,3.77391,0.016525,92.01,1.62802
2025-05-22,135.29,43.6,4.90742,3.77506,0.0209183,91.69,1.62802
2025-05-23,136.54,43.4,4.91662,3.77046,0.00134777,93.14,1.62802
2025-05-27,137.83,44.16,4.92602,3.78782,0.00339862,93.67,1.62802
2025-05-28,136.02,43.83,4.9128,3.78032,0.0174187,92.19,1.62802
2025-05-29,137.91,44.04,4.9266,3.7851,-0.000267138,93.87,1.62802
2025-05-30,136.7,43.01,4.91779,3.76143,-0.00958577,93.69,1.62802
2025-06-02,137.84,43.51,4.92609,3.77299,-0.0115481,94.33,1.62802
2025-06-03,139.55,45.8,4.93842,3.82428,0.0196727,93.75,1.62802
2025-06-04,137.37,45.01,4.92268,3.80688,0.0279065,92.36,1.62802
2025-06-05,136.9,44.77,4.91925,3.80154,0.0281398,92.13,1.62802
2025-06-06,140.21,45.79,4.94314,3.82407,0.0117728,94.42,1.62802
2025-06-09,140.76,46.66,4.94706,3.84289,0.0242207,94.1,1.62802
2025-06-10,143.35,47.93,4.96529,3.86974,0.0213915,95.42,1.62802
2025-06-11,144.78,49.02,4.97522,3.89223,0.0277183,95.76,1.62802
2025-06-12,144.97,49.5,4.97653,3.90197,0.0353275,95.47,1.62802
2025-06-13,145.91,51.64,4.98299,3.9443,0.0671292,94.27,1.62802
