Date,CVX Raw Price,MTDR Raw Price,CVX Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,143.354,57.3103,4.96532,4.04848,0.200079,86.0442,1.62802
2025-01-03,144.468,58.2872,4.97306,4.06538,0.20438,86.1812,1.62802
2025-01-06,143.892,57.5767,4.96906,4.05312,0.198626,86.3152,1.62802
2025-01-07,146.169,58.9286,4.98476,4.07633,0.196276,87.24,1.62802
2025-01-08,146.862,59.2838,4.9895,4.08234,0.194577,87.5786,1.62802
2025-01-10,149.637,60.4383,5.00822,4.10162,0.183388,89.1991,1.62802
2025-01-13,151.797,61.1389,5.02254,4.11315,0.171587,90.658,1.62802
2025-01-14,153.311,61.8987,5.03247,4.1255,0.167775,91.4127,1.62802
2025-01-15,154.709,62.7769,5.04154,4.13959,0.167092,91.9318,1.62802
2025-01-16,155.735,62.5401,5.04815,4.13581,0.152552,93.1946,1.62802
2025-01-17,157.777,62.9249,5.06118,4.14194,0.137476,94.852,1.62802
2025-01-21,154.621,61.8888,5.04098,4.12534,0.15377,92.732,1.62802
2025-01-22,152.833,62.2046,5.02934,4.13043,0.177797,90.6281,1.62802
2025-01-23,152.442,61.3757,5.02678,4.11701,0.168551,91.0661,1.62802
2025-01-24,152.09,60.31,5.02447,4.0995,0.154796,91.78,1.62802
2025-01-27,153.634,58.8102,5.03457,4.07431,0.11317,94.8237,1.62802
2025-01-28,152.637,59.4811,5.02806,4.08566,0.135111,93.1561,1.62802
2025-01-29,152.129,59.4614,5.02473,4.08533,0.140207,92.6677,1.62802
2025-01-30,152.745,58.751,5.02877,4.07331,0.121613,93.9937,1.62802
2025-01-31,145.778,57.2314,4.98208,4.0471,0.171411,88.5464,1.62802
2025-02-03,145.924,56.7775,4.98309,4.03914,0.161812,89.1469,1.62802
2025-02-04,149.716,57.5965,5.00874,4.05346,0.134376,92.1191,1.62802
2025-02-05,149.491,57.2018,5.00724,4.04658,0.129946,92.2891,1.62802
2025-02-06,148.426,55.7216,5.00009,4.02037,0.11537,92.7041,1.62802
2025-02-07,149.129,55.9289,5.00481,4.02408,0.111384,93.2005,1.62802
2025-02-10,152.207,58.4747,5.02524,4.06859,0.122637,93.7326,1.62802
2025-02-11,153.839,58.5832,5.03591,4.07045,0.107131,95.2559,1.62802
2025-02-12,151.357,55.6723,5.01964,4.01948,0.0826445,95.6849,1.62802
2025-02-13,152.315,56.363,5.02595,4.03181,0.0847076,95.9517,1.62802
2025-02-14,153.471,56.4321,5.03351,4.03304,0.073624,97.0386,1.62802
2025-02-18,154.281,57.034,5.03877,4.04365,0.0756624,97.2468,1.62802
2025-02-19,155.338,55.8795,5.0456,4.0232,0.0440955,99.4584,1.62802
2025-02-20,156.879,55.7315,5.05548,4.02055,0.02537,101.148,1.62802
2025-02-21,155.032,52.4062,5.04363,3.95902,-0.0168653,102.625,1.62802
2025-02-24,155.99,52.6923,5.04979,3.96447,-0.0214523,103.298,1.62802
2025-02-25,154.538,51.7648,5.04044,3.94671,-0.0239837,102.773,1.62802
