Date,XOM Raw Price,COP Raw Price,XOM Log Price,COP Log Price,Residual,Spread,Beta
2025-01-02,105.388,98.4366,4.65765,4.58941,0.0736093,6.95136,1.41443
2025-01-03,105.928,99.4301,4.66276,4.59945,0.0764196,6.49811,1.41443
2025-01-06,105.81,98.3481,4.66165,4.58851,0.0670532,7.46218,1.41443
2025-01-07,106.802,100.001,4.67098,4.60518,0.0705175,6.80169,1.41443
2025-01-08,105.015,99.9514,4.6541,4.60468,0.0938974,5.06345,1.41443
2025-01-10,104.632,100.246,4.65045,4.60763,0.102013,4.38538,1.41443
2025-01-13,107.333,102.519,4.67593,4.63004,0.0883793,4.81405,1.41443
2025-01-14,107.755,103.158,4.67986,4.63626,0.0890419,4.59703,1.41443
2025-01-15,109.513,103.748,4.69604,4.64196,0.0718573,5.76482,1.41443
2025-01-16,109.326,103.876,4.69434,4.6432,0.0755013,5.45035,1.41443
2025-01-17,110.308,104.112,4.70328,4.64547,0.065122,6.19638,1.41443
2025-01-21,109.474,102.568,4.69568,4.63052,0.0609231,6.90583,1.41443
2025-01-22,107.568,101.368,4.67813,4.61875,0.073988,6.20054,1.41443
2025-01-23,108.177,102.282,4.68377,4.62774,0.0749874,5.89471,1.41443
2025-01-24,106.714,100.158,4.67015,4.60675,0.0732611,6.55592,1.41443
2025-01-27,108.197,101.004,4.68395,4.61516,0.0621508,7.19299,1.41443
2025-01-28,106.105,99.7153,4.66443,4.60232,0.0769258,6.38964,1.41443
2025-01-29,106.724,99.8923,4.67024,4.60409,0.0704758,6.83132,1.41443
2025-01-30,107.608,99.794,4.67849,4.60311,0.0578248,7.81355,1.41443
2025-01-31,104.917,97.2072,4.65317,4.57684,0.0673815,7.70944,1.41443
2025-02-03,105.172,96.8629,4.6556,4.5733,0.0603957,8.30903,1.41443
2025-02-04,107.991,98.9284,4.68204,4.5944,0.0440881,9.06211,1.41443
2025-02-05,107.912,98.5645,4.68132,4.59071,0.0414321,9.34747,1.41443
2025-02-06,106.488,98.2989,4.66803,4.58801,0.0575235,8.189,1.41443
2025-02-07,106.94,96.7449,4.67227,4.57208,0.0355998,10.1948,1.41443
2025-02-10,108.982,97.8465,4.69119,4.5834,0.0201589,11.136,1.41443
2025-02-11,109.67,100.04,4.69748,4.60557,0.0334337,9.63004,1.41443
