Date,XOM Raw Price,COP Raw Price,XOM Log Price,COP Log Price,Residual,Spread,Beta
2025-02-12,106.37,96.7842,4.66693,4.57248,0.0435576,9.58608,1.41443
2025-02-13,107.143,95.3089,4.67417,4.55712,0.0179564,11.8343,1.41443
2025-02-14,107.252,95.4477,4.67518,4.55858,0.0179736,11.8045,1.41443
2025-02-18,109.135,96.6276,4.69258,4.57086,0.00564731,12.5072,1.41443
2025-02-19,109.293,98.7297,4.69404,4.59239,0.0251156,10.5636,1.41443
2025-02-20,110.978,101.139,4.70933,4.6165,0.0275939,9.83864,1.41443
2025-02-21,109.68,97.1135,4.69757,4.57588,0.00361739,12.5663,1.41443
2025-02-24,110.255,97.9861,4.70279,4.58483,0.0051704,12.2685,1.41443
2025-02-25,108.729,96.2608,4.68885,4.56706,0.00711836,12.4678,1.41443
2025-02-26,108.461,95.3188,4.68639,4.55723,0.000769049,13.1423,1.41443
2025-02-27,109.145,96.5483,4.69268,4.57004,0.0046977,12.5964,1.41443
2025-02-28,110.314,98.3133,4.70333,4.58816,0.00774172,12.0007,1.41443
2025-03-03,106.777,91.8483,4.67074,4.52014,-0.0141798,14.9283,1.41443
2025-03-04,106.559,89.8751,4.66869,4.49842,-0.0330066,16.6835,1.41443
2025-03-05,104.478,88.13,4.64897,4.47881,-0.0247216,16.3478,1.41443
2025-03-06,106.638,87.8523,4.66944,4.47566,-0.0568222,18.7855,1.41443
2025-03-07,108.025,89.8652,4.68236,4.49831,-0.0524499,18.1599,1.41443
2025-03-10,110.78,92.116,4.70754,4.52305,-0.0633272,18.6637,1.41443
2025-03-11,108.164,94.6049,4.68365,4.54971,-0.00286708,13.5589,1.41443
2025-03-12,108.134,96.9251,4.68337,4.57394,0.0217515,11.209,1.41443
2025-03-13,107.678,95.3783,4.67915,4.55785,0.0116384,12.3,1.41443
2025-03-14,110.879,98.115,4.70844,4.58614,-0.00150077,12.7638,1.41443
2025-03-17,112.722,98.5215,4.72492,4.59028,-0.0206832,14.2003,1.41443
2025-03-18,112.603,99.6816,4.72387,4.60198,-0.00748379,12.9213,1.41443
2025-03-19,114.357,100.475,4.73932,4.60991,-0.021418,13.8819,1.41443
2025-03-20,114.842,101.447,4.74356,4.61953,-0.0177857,13.3957,1.41443
2025-03-21,114.446,101.06,4.7401,4.61571,-0.0167149,13.386,1.41443
2025-03-24,114.743,101.328,4.7427,4.61836,-0.0177384,13.4156,1.41443
2025-03-25,115.526,101.685,4.7495,4.62188,-0.0238382,13.8414,1.41443
2025-03-26,117.191,102.329,4.7638,4.62819,-0.0377557,14.8615,1.41443
2025-03-27,116.814,101.952,4.76058,4.62451,-0.0368928,14.8618,1.41443
2025-03-28,116.656,101.506,4.75923,4.62012,-0.039358,15.1495,1.41443
2025-03-31,117.845,104.134,4.76937,4.64568,-0.0281449,13.7109,1.41443
2025-04-01,117.954,104.501,4.77029,4.64919,-0.0259356,13.453,1.41443
2025-04-02,117.587,105.205,4.76718,4.65591,-0.0148181,12.3824,1.41443
2025-04-03,111.404,94.4462,4.71316,4.54803,-0.0462939,16.9577,1.41443
2025-04-04,103.388,85.5618,4.63849,4.44924,-0.0394614,17.826,1.41443
2025-04-07,102.001,84.947,4.62498,4.44203,-0.0275657,17.0535,1.41443
2025-04-08,99.8504,81.9624,4.60367,4.40626,-0.0331973,17.8879,1.41443
2025-04-09,104.834,90.7378,4.65238,4.50797,-0.000381383,14.0967,1.41443
2025-04-10,99.018,82.5871,4.5953,4.41385,-0.0137649,16.4309,1.41443
2025-04-11,102.199,85.661,4.62692,4.4504,-0.0219418,16.5378,1.41443
2025-04-14,102.446,85.7205,4.62934,4.45109,-0.0246718,16.726,1.41443
2025-04-15,102.159,84.9966,4.62653,4.44261,-0.0291789,17.1625,1.41443
2025-04-16,103.239,85.6312,4.63705,4.45005,-0.0366157,17.6079,1.41443
2025-04-17,105.944,88.2291,4.66291,4.47994,-0.0433123,17.7151,1.41443
2025-04-21,104.389,86.8112,4.64812,4.46374,-0.0385907,17.5774,1.41443
2025-04-22,107.312,89.0025,4.67574,4.48866,-0.0527236,18.3091,1.41443
2025-04-23,106.39,89.1711,4.66711,4.49056,-0.038633,17.219,1.41443
2025-04-24,107.639,91.0253,4.67878,4.51114,-0.034554,16.6133,1.41443
2025-04-25,107.579,90.946,4.67823,4.51027,-0.0346445,16.6332,1.41443
2025-04-28,107.639,92.1458,4.67878,4.52337,-0.0223198,15.4928,1.41443
2025-04-29,107.371,91.1046,4.67629,4.51201,-0.0301631,16.2665,1.41443
2025-04-30,104.666,88.3679,4.65077,4.48151,-0.0245713,16.2981,1.41443
2025-05-01,104.815,89.885,4.65219,4.49853,-0.00955619,14.9296,1.41443
2025-05-02,105.241,90.6386,4.65625,4.50688,-0.00694534,14.6021,1.41443
2025-05-05,102.328,86.8707,4.62818,4.46442,-0.00970025,15.4569,1.41443
2025-05-06,103.754,86.8905,4.64203,4.46465,-0.0290586,16.8639,1.41443
2025-05-07,103.655,86.9698,4.64107,4.46556,-0.0267946,16.6855,1.41443
2025-05-08,105.102,88.0705,4.65493,4.47814,-0.0338227,17.0315,1.41443
2025-05-09,106.331,87.8424,4.66655,4.47554,-0.052855,18.4883,1.41443
2025-05-12,108.164,91.4913,4.68365,4.51624,-0.0363315,16.6724,1.41443
2025-05-13,108.461,93.3753,4.68639,4.53663,-0.0198307,15.0857,1.41443
2025-05-14,107.49,91.7888,4.6774,4.51949,-0.0242468,15.7012,1.41443
2025-05-15,108.58,92.1755,4.68749,4.52369,-0.0343134,16.4045,1.41443
2025-05-16,108.19,91.65,4.68389,4.51798,-0.0349416,16.54,1.41443
2025-05-19,106.47,90.41,4.66786,4.50435,-0.0258965,16.06,1.41443
2025-05-20,104.95,89.69,4.65348,4.49636,-0.0135537,15.26,1.41443
2025-05-21,103.66,87.15,4.64112,4.46763,-0.024789,16.51,1.41443
2025-05-22,102.97,86.13,4.63444,4.45586,-0.0271156,16.84,1.41443
2025-05-23,103.03,85.19,4.63502,4.44488,-0.0389132,17.84,1.41443
2025-05-27,103.52,85.55,4.63976,4.4491,-0.0414071,17.97,1.41443
2025-05-28,102.11,84.58,4.62605,4.4377,-0.0334127,17.53,1.41443
2025-05-29,102.69,85.6,4.63171,4.44969,-0.0294367,17.09,1.41443
2025-05-30,102.3,85.35,4.62791,4.44676,-0.0269796,16.95,1.41443
2025-06-02,103.05,86.72,4.63521,4.46268,-0.0213873,16.33,1.41443
2025-06-03,103.8,87.91,4.64247,4.47631,-0.0180152,15.89,1.41443
2025-06-04,102.3,85.95,4.62791,4.45377,-0.0199743,16.35,1.41443
2025-06-05,101.83,85.35,4.6233,4.44676,-0.0204662,16.48,1.41443
2025-06-06,104.27,87.22,4.64698,4.46843,-0.032285,17.05,1.41443
2025-06-09,104.97,88.04,4.65367,4.47779,-0.0323913,16.93,1.41443
2025-06-10,107.22,91.18,4.67488,4.51284,-0.0273444,16.04,1.41443
2025-06-11,109.31,93.35,4.69419,4.53636,-0.0311297,15.96,1.41443
2025-06-12,109.73,94.69,4.69802,4.55061,-0.0223015,15.04,1.41443
2025-06-13,112.12,96.96,4.71957,4.5743,-0.0290879,15.16,1.41443
