Date,CVX Raw Price,SM Raw Price,CVX Log Price,SM Log Price,Residual,Spread,Beta
2025-03-11,152.226,28.8095,5.02537,3.36071,-0.106427,123.416,2.43409
2025-03-12,150.833,29.5132,5.01617,3.38484,-0.0599196,121.32,2.43409
2025-03-13,151.761,28.5122,5.02231,3.35033,-0.109364,123.249,2.43409
2025-03-14,155.13,29.7213,5.04427,3.39186,-0.121277,125.409,2.43409
2025-03-17,156.81,29.9889,5.05503,3.40083,-0.138526,126.821,2.43409
2025-03-18,158.875,30.0285,5.06812,3.40215,-0.169047,128.846,2.43409
2025-03-19,162.076,30.9204,5.08806,3.43142,-0.188332,131.155,2.43409
2025-03-20,162.787,30.6529,5.09244,3.42273,-0.207683,132.134,2.43409
2025-03-21,162.767,30.3952,5.09232,3.41428,-0.215829,132.372,2.43409
2025-03-24,163.034,31.525,5.09396,3.45078,-0.183319,131.509,2.43409
2025-03-25,163.943,30.2564,5.09952,3.40971,-0.237922,133.687,2.43409
2025-03-26,165.949,30.5141,5.11168,3.41819,-0.259038,135.435,2.43409
2025-03-27,164.645,29.9789,5.10379,3.4005,-0.257528,134.666,2.43409
2025-03-28,164.091,29.1366,5.10042,3.37199,-0.277837,134.955,2.43409
2025-03-31,165.277,29.6816,5.10762,3.39053,-0.276825,135.595,2.43409
2025-04-01,166.482,29.5032,5.11489,3.3845,-0.30054,136.979,2.43409
2025-04-02,164.467,30.2465,5.10271,3.40938,-0.246012,134.22,2.43409
2025-04-03,154.241,25.103,5.03852,3.22299,-0.27616,129.138,2.43409
2025-04-04,141.556,22.0605,4.95269,3.09379,-0.196454,119.495,2.43409
2025-04-07,138.463,21.6146,4.93061,3.07337,-0.163114,116.849,2.43409
2025-04-08,135.282,20.2073,4.90736,3.00604,-0.173861,115.075,2.43409
2025-04-09,144.273,24.3994,4.97171,3.19456,-0.141961,119.873,2.43409
2025-04-10,133.356,21.0497,4.89302,3.04689,-0.098107,112.306,2.43409
2025-04-11,133.998,21.4758,4.89782,3.06693,-0.0897577,112.522,2.43409
2025-04-14,133.692,21.7632,4.89554,3.08022,-0.0708943,111.928,2.43409
2025-04-15,132.921,21.5254,4.88975,3.06923,-0.0678122,111.396,2.43409
2025-04-16,133.731,22.12,4.89583,3.09648,-0.0553529,111.611,2.43409
2025-04-17,136.211,23.03,4.9142,3.1368,-0.0597597,113.181,2.43409
2025-04-21,132.121,22.02,4.88372,3.09195,-0.0303949,110.101,2.43409
2025-04-22,135.648,22.88,4.91006,3.13026,-0.0562101,112.768,2.43409
2025-04-23,135.035,22.99,4.90554,3.13506,-0.0403973,112.045,2.43409
2025-04-24,137.396,23.17,4.92287,3.14286,-0.0747935,114.226,2.43409
2025-04-25,137.061,23.48,4.92042,3.15615,-0.0555444,113.581,2.43409
2025-04-28,138.414,23.6,4.93025,3.16125,-0.0743664,114.814,2.43409
2025-04-29,137.624,23.26,4.92452,3.14674,-0.074939,114.364,2.43409
2025-04-30,134.423,22.79,4.90099,3.12632,-0.0380684,111.633,2.43409
2025-05-01,134.62,23.67,4.90246,3.16421,-0.00375706,110.95,2.43409
2025-05-02,136.833,22.82,4.91876,3.12764,-0.0800175,114.013,2.43409
2025-05-05,133.869,21,4.89686,3.04452,-0.109829,112.869,2.43409
2025-05-06,133.968,21.52,4.8976,3.06898,-0.0871645,112.448,2.43409
2025-05-07,134.156,21.2,4.899,3.054,-0.105554,112.956,2.43409
2025-05-08,135.391,22.83,4.90817,3.12808,-0.0537839,112.561,2.43409
2025-05-09,136.823,23.16,4.91869,3.14243,-0.0650525,113.663,2.43409
2025-05-12,139.916,24.79,4.94104,3.21044,-0.0514387,115.126,2.43409
2025-05-13,140.637,25.63,4.94618,3.24376,-0.0306303,115.007,2.43409
2025-05-14,139.965,25.46,4.94139,3.23711,-0.0256299,114.505,2.43409
2025-05-15,140.548,24.56,4.94555,3.20112,-0.0717351,115.988,2.43409
2025-05-16,140.39,24.45,4.94442,3.19663,-0.0734852,115.94,2.43409
2025-05-19,138.49,23.92,4.9308,3.17471,-0.0622331,114.57,2.43409
2025-05-20,137.27,23.73,4.92195,3.16674,-0.0486703,113.54,2.43409
2025-05-21,135.56,23.1,4.90941,3.13983,-0.0450652,112.46,2.43409
2025-05-22,135.29,23.18,4.90742,3.14329,-0.036755,112.11,2.43409
2025-05-23,136.54,23.17,4.91662,3.14286,-0.0595728,113.37,2.43409
2025-05-27,137.83,23.83,4.92602,3.17095,-0.0543748,114,2.43409
2025-05-28,136.02,23.66,4.9128,3.16379,-0.0293578,112.36,2.43409
2025-05-29,137.91,23.8,4.9266,3.16969,-0.057047,114.11,2.43409
2025-05-30,136.7,23.42,4.91779,3.15359,-0.0516915,113.28,2.43409
2025-06-02,137.84,23.92,4.92609,3.17471,-0.0507817,113.92,2.43409
2025-06-03,139.55,25.24,4.93842,3.22843,-0.0270775,114.31,2.43409
2025-06-04,137.37,24.16,4.92268,3.1847,-0.0324844,113.21,2.43409
2025-06-05,136.9,24.01,4.91925,3.17847,-0.03037,112.89,2.43409
2025-06-06,140.21,24.92,4.94314,3.21567,-0.0513218,115.29,2.43409
2025-06-09,140.76,25.59,4.94706,3.2422,-0.0343201,115.17,2.43409
2025-06-10,143.35,25.99,4.96529,3.25771,-0.0631906,117.36,2.43409
2025-06-11,144.78,26.8,4.97522,3.2884,-0.0566616,117.98,2.43409
2025-06-12,144.97,27.13,4.97653,3.30064,-0.0476157,117.84,2.43409
2025-06-13,145.91,28.26,4.98299,3.34145,-0.0225404,117.65,2.43409
