Date,CVX Raw Price,SM Raw Price,CVX Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,143.354,39.607,4.96532,3.67901,0.358028,103.747,2.43409
2025-01-03,144.468,40.0213,4.97306,3.68941,0.349591,104.447,2.43409
2025-01-06,143.892,40.2974,4.96906,3.69629,0.366201,103.594,2.43409
2025-01-07,146.169,42.0923,4.98476,3.73987,0.371568,104.076,2.43409
2025-01-08,146.862,42.0628,4.9895,3.73916,0.359339,104.8,2.43409
2025-01-10,149.637,42.7531,5.00822,3.75544,0.330054,106.884,2.43409
2025-01-13,151.797,43.118,5.02254,3.76394,0.303677,108.679,2.43409
2025-01-14,153.311,43.3153,5.03247,3.76851,0.284075,109.996,2.43409
2025-01-15,154.709,44.0747,5.04154,3.78588,0.279371,110.634,2.43409
2025-01-16,155.735,43.5125,5.04815,3.77305,0.250446,112.222,2.43409
2025-01-17,157.777,42.615,5.06118,3.75221,0.197893,115.162,2.43409
2025-01-21,154.621,41.3034,5.04098,3.72094,0.215814,113.317,2.43409
2025-01-22,152.833,41.2047,5.02934,3.71855,0.241737,111.628,2.43409
2025-01-23,152.442,40.6524,5.02678,3.70506,0.234476,111.789,2.43409
2025-01-24,152.09,39.7308,5.02447,3.68213,0.217166,112.359,2.43409
2025-01-27,153.634,39.3344,5.03457,3.6721,0.182554,114.3,2.43409
2025-01-28,152.637,39.3244,5.02806,3.67185,0.198145,113.313,2.43409
2025-01-29,152.129,39.6911,5.02473,3.68113,0.215542,112.438,2.43409
2025-01-30,152.745,39.2551,5.02877,3.67008,0.194666,113.49,2.43409
2025-01-31,145.778,37.6199,4.98208,3.62753,0.265751,108.158,2.43409
2025-02-03,145.924,37.0451,4.98309,3.61213,0.247908,108.879,2.43409
2025-02-04,149.716,37.9271,5.00874,3.63567,0.209006,111.789,2.43409
2025-02-05,149.491,37.5108,5.00724,3.62463,0.201627,111.98,2.43409
2025-02-06,148.426,36.9063,5.00009,3.60838,0.202784,111.519,2.43409
2025-02-07,149.129,37.0451,5.00481,3.61213,0.195026,112.084,2.43409
2025-02-10,152.207,39.0569,5.02524,3.66502,0.198183,113.15,2.43409
2025-02-11,153.839,40.2461,5.03591,3.69501,0.202221,113.593,2.43409
2025-02-12,151.357,38.5613,5.01964,3.65225,0.199047,112.796,2.43409
2025-02-13,152.315,38.6208,5.02595,3.65379,0.185237,113.694,2.43409
2025-02-14,153.471,38.1748,5.03351,3.64218,0.15522,115.296,2.43409
2025-02-18,154.281,38.2739,5.03877,3.64477,0.144997,116.007,2.43409
2025-02-19,155.338,38.4821,5.0456,3.65019,0.133799,116.856,2.43409
2025-02-20,156.879,36.7775,5.05548,3.60489,0.0644609,120.102,2.43409
2025-02-21,155.032,34.0422,5.04363,3.5276,0.0160116,120.989,2.43409
2025-02-24,155.99,33.517,5.04979,3.51205,-0.0145381,122.473,2.43409
2025-02-25,154.538,32.7836,5.04044,3.48993,-0.0138931,121.754,2.43409
2025-02-26,153.273,32.0799,5.03222,3.46823,-0.0155899,121.193,2.43409
2025-02-27,154.785,32.2286,5.04203,3.47285,-0.034854,122.556,2.43409
2025-02-28,156.711,32.4169,5.0544,3.47868,-0.0591374,124.294,2.43409
2025-03-03,151.248,29.7411,5.01892,3.39253,-0.0589128,121.507,2.43409
2025-03-04,150.171,28.5915,5.01177,3.35311,-0.0809409,121.579,2.43409
2025-03-05,148.995,27.2734,5.00391,3.30591,-0.109007,121.722,2.43409
2025-03-06,151.109,26.9067,5.018,3.29238,-0.15684,124.203,2.43409
2025-03-07,154.459,27.3428,5.03993,3.30845,-0.194123,127.116,2.43409
2025-03-10,155.674,27.1248,5.04776,3.30045,-0.221205,128.549,2.43409
