Date,BP Raw Price,ET Raw Price,BP Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,29.0449,19.0293,3.36884,2.94598,0.0785543,10.0156,0.65114
2025-01-03,29.5689,18.9617,3.38672,2.94242,0.0633533,10.6072,0.65114
2025-01-06,30.1026,18.9424,3.40461,2.9414,0.0506858,11.1602,0.65114
2025-01-07,30.8887,18.8169,3.43039,2.93475,0.0272533,12.0718,0.65114
2025-01-08,30.1997,19.0486,3.40783,2.94699,0.054181,11.1511,0.65114
2025-01-10,30.3646,18.7493,3.41328,2.93116,0.0347968,11.6153,0.65114
2025-01-13,30.2967,18.7976,3.41104,2.93373,0.0388265,11.4991,0.65114
2025-01-14,30.1706,19.2417,3.40687,2.95708,0.0648948,10.9289,0.65114
2025-01-15,30.3743,19.3479,3.4136,2.96258,0.0660156,11.0265,0.65114
2025-01-16,30.8402,19.5506,3.42882,2.97301,0.0665303,11.2895,0.65114
2025-01-17,30.7528,19.5893,3.42598,2.97498,0.0703503,11.1636,0.65114
2025-01-21,30.5878,20.1878,3.4206,3.00508,0.103952,10.4,0.65114
2025-01-22,30.2094,20.1975,3.40815,3.00556,0.112537,10.0119,0.65114
2025-01-23,30.5587,20.3327,3.41965,3.01223,0.11172,10.2261,0.65114
2025-01-24,30.5199,20.323,3.41838,3.01175,0.112073,10.1969,0.65114
2025-01-27,30.5199,19.1258,3.41838,2.95104,0.051359,11.3941,0.65114
2025-01-28,30.2385,19.6472,3.40912,2.97793,0.0842852,10.5913,0.65114
2025-01-29,30.2094,19.821,3.40815,2.98674,0.0937187,10.3884,0.65114
2025-01-30,30.6752,20.352,3.42345,3.01318,0.110193,10.3232,0.65114
2025-01-31,30.1414,19.7727,3.4059,2.9843,0.092746,10.3688,0.65114
2025-02-03,29.9571,20.043,3.39977,2.99788,0.110321,9.91405,0.65114
2025-02-04,30.7043,20.0527,3.4244,2.99836,0.09476,10.6516,0.65114
2025-02-05,30.7334,20.072,3.42535,2.99932,0.0951053,10.6614,0.65114
2025-02-06,31.0148,19.6665,3.43447,2.97892,0.0687612,11.3483,0.65114
2025-02-07,31.3157,19.5537,3.44412,2.97316,0.0567221,11.762,0.65114
2025-02-10,33.4021,19.7106,3.50862,2.98116,0.0227199,13.6914,0.65114
2025-02-11,33.5282,19.4359,3.51239,2.96712,0.00622984,14.0923,0.65114
2025-02-12,33.6544,19.2789,3.51614,2.95901,-0.0043251,14.3754,0.65114
2025-02-13,33.47,19.4457,3.51065,2.96763,0.00786625,14.0243,0.65114
2025-02-14,33.9649,19.6125,3.52533,2.97617,0.00684901,14.3524,0.65114
2025-02-18,34.2658,19.9167,3.53415,2.99156,0.0164959,14.3491,0.65114
2025-02-19,33.5185,19.7401,3.5121,2.98265,0.0219459,13.7785,0.65114
2025-02-20,33.6253,19.5635,3.51528,2.97366,0.0108888,14.0618,0.65114
2025-02-21,33.3497,19.0239,3.50705,2.94569,-0.0117238,14.3259,0.65114
2025-02-24,33.2021,18.6118,3.50261,2.9238,-0.0307342,14.5903,0.65114
2025-02-25,32.7003,18.5627,3.48738,2.92116,-0.0234558,14.1375,0.65114
2025-02-26,32.159,18.7982,3.47069,2.93376,1.67226e-05,13.3608,0.65114
2025-02-27,32.592,18.5824,3.48407,2.92221,-0.0202403,14.0097,0.65114
2025-02-28,32.592,18.9257,3.48407,2.94052,-0.0019295,13.6663,0.65114
2025-03-03,31.3029,18.6707,3.44371,2.92695,0.0107781,12.6322,0.65114
2025-03-04,30.9388,18.1212,3.43201,2.89708,-0.0114726,12.8176,0.65114
2025-03-05,31.3718,17.8563,3.44591,2.88236,-0.0352482,13.5155,0.65114
2025-03-06,31.2045,17.3658,3.44056,2.8545,-0.0596236,13.8387,0.65114
2025-03-07,31.5588,17.1303,3.45185,2.84085,-0.0806265,14.4285,0.65114
2025-03-10,31.6965,16.9341,3.45621,2.82933,-0.0949836,14.7624,0.65114
2025-03-11,31.4702,17.4933,3.44904,2.86182,-0.0578267,13.9769,0.65114
2025-03-12,31.6867,18.0526,3.4559,2.89329,-0.0308225,13.6341,0.65114
2025-03-13,31.854,17.8269,3.46116,2.88071,-0.0468299,14.0271,0.65114
2025-03-14,32.8577,18.3763,3.49219,2.91106,-0.0366766,14.4814,0.65114
2025-03-17,33.2218,18.5431,3.50321,2.9201,-0.0348168,14.6787,0.65114
2025-03-18,33.6745,18.3273,3.51674,2.90839,-0.0553376,15.3472,0.65114
2025-03-19,34.0583,18.5824,3.52807,2.92221,-0.0488939,15.4759,0.65114
2025-03-20,34.196,18.4941,3.53211,2.91745,-0.0562857,15.702,0.65114
2025-03-21,33.9992,18.2488,3.52634,2.9041,-0.0658785,15.7504,0.65114
2025-03-24,33.5662,18.5235,3.51352,2.91904,-0.0425915,15.0427,0.65114
2025-03-25,33.7434,18.5235,3.51878,2.91904,-0.0460186,15.2199,0.65114
2025-03-26,33.8713,18.5725,3.52257,2.92168,-0.0458375,15.2987,0.65114
2025-03-27,33.8615,18.5235,3.52228,2.91904,-0.0482932,15.338,0.65114
2025-03-28,33.3202,18.3567,3.50616,2.90999,-0.0468465,14.9635,0.65114
2025-03-31,33.2513,18.239,3.50409,2.90356,-0.0519332,15.0124,0.65114
2025-04-01,33.271,18.3763,3.50469,2.91106,-0.044816,14.8947,0.65114
2025-04-02,33.271,18.5725,3.50469,2.92168,-0.0341945,14.6985,0.65114
2025-04-03,30.8404,17.3952,3.42883,2.85619,-0.0502879,13.4452,0.65114
2025-04-04,27.9276,15.8548,3.32961,2.76348,-0.0784071,12.0727,0.65114
2025-04-07,26.7369,15.5703,3.28604,2.74537,-0.0681446,11.1665,0.65114
2025-04-08,25.6938,15.3545,3.24625,2.73141,-0.0561922,10.3393,0.65114
2025-04-09,27.4552,16.3552,3.31256,2.79455,-0.0362283,11.1,0.65114
2025-04-10,25.8119,15.6096,3.25083,2.74788,-0.0427009,10.2023,0.65114
2025-04-11,26.1661,16.0216,3.26447,2.77394,-0.0255208,10.1445,0.65114
2025-04-14,26.481,16.5024,3.27643,2.8035,-0.0037455,9.97863,0.65114
2025-04-15,26.7762,16.7869,3.28751,2.8206,0.00613008,9.98932,0.65114
2025-04-16,27.2191,16.6005,3.30392,2.80943,-0.0157172,10.6186,0.65114
2025-04-17,27.8685,16.9439,3.3275,2.82991,-0.0105971,10.9246,0.65114
2025-04-21,27.6324,16.2473,3.31899,2.78793,-0.0470363,11.3851,0.65114
2025-04-22,28.4098,16.6594,3.34673,2.81297,-0.0400564,11.7504,0.65114
2025-04-23,28.1441,16.7771,3.33734,2.82001,-0.0268958,11.367,0.65114
2025-04-24,28.5377,17.2578,3.35123,2.84827,-0.00768741,11.2798,0.65114
2025-04-25,28.7247,17.1205,3.35776,2.84028,-0.0199305,11.6042,0.65114
2025-04-28,28.6656,16.9537,3.3557,2.83049,-0.0283805,11.7119,0.65114
2025-04-29,27.6225,16.7182,3.31863,2.8165,-0.0182309,10.9043,0.65114
2025-04-30,27.0222,16.2277,3.29666,2.78672,-0.0337065,10.7946,0.65114
2025-05-01,27.4355,16.2179,3.31184,2.78611,-0.0441951,11.2177,0.65114
2025-05-02,27.6717,16.3552,3.32041,2.79455,-0.0413426,11.3165,0.65114
2025-05-05,28.7148,15.8843,3.35741,2.76533,-0.0946533,12.8305,0.65114
2025-05-06,27.9473,15.5115,3.33032,2.74158,-0.100762,12.4358,0.65114
2025-05-07,27.6816,16.5711,3.32077,2.80766,-0.0284631,11.1105,0.65114
2025-05-08,28.1342,17.042,3.33699,2.83568,-0.0110019,11.0922,0.65114
2025-05-09,29.2954,17.21,3.37743,2.84549,-0.0275271,12.0854,0.65114
2025-05-12,29.7087,17.44,3.39144,2.85877,-0.0233734,12.2687,0.65114
2025-05-13,30.0728,18,3.40362,2.89037,0.000300261,12.0728,0.65114
2025-05-14,29.876,18.16,3.39706,2.89922,0.0134252,11.716,0.65114
2025-05-15,29.63,17.97,3.38879,2.8887,0.00829151,11.66,0.65114
2025-05-16,29.76,17.95,3.39317,2.88759,0.00432743,11.81,0.65114
2025-05-19,29.4,18,3.38099,2.89037,0.0150338,11.4,0.65114
2025-05-20,29.2,18.14,3.37417,2.89812,0.027226,11.06,0.65114
2025-05-21,28.88,17.76,3.36315,2.87695,0.0132306,11.12,0.65114
2025-05-22,28.94,17.88,3.36522,2.88368,0.0186131,11.06,0.65114
2025-05-23,29.09,17.85,3.37039,2.882,0.0135677,11.24,0.65114
2025-05-27,29.15,17.95,3.37245,2.88759,0.0178127,11.2,0.65114
2025-05-28,28.94,17.76,3.36522,2.87695,0.0118792,11.18,0.65114
2025-05-29,29.17,17.68,3.37314,2.87243,0.00221005,11.49,0.65114
2025-05-30,29.1,17.48,3.37074,2.86106,-0.00760225,11.62,0.65114
2025-06-02,29.58,17.48,3.3871,2.86106,-0.0182551,12.1,0.65114
2025-06-03,29.56,17.9,3.38642,2.8848,0.00592869,11.66,0.65114
2025-06-04,28.92,17.53,3.36453,2.86391,-0.000705677,11.39,0.65114
2025-06-05,29.05,17.67,3.36902,2.87187,0.00432848,11.38,0.65114
2025-06-06,29.29,17.93,3.37725,2.88648,0.0135781,11.36,0.65114
2025-06-09,29.46,17.71,3.38303,2.87413,-0.00253608,11.75,0.65114
2025-06-10,30.23,17.99,3.40883,2.88982,-0.00364977,12.24,0.65114
2025-06-11,30.81,18.25,3.42784,2.90417,-0.00167531,12.56,0.65114
2025-06-12,30.92,18.45,3.4314,2.91506,0.00690341,12.47,0.65114
2025-06-13,31.72,18.32,3.45695,2.90799,-0.0168005,13.4,0.65114
