Date,MPC Raw Price,HES Raw Price,MPC Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,139.888,134.963,4.94084,4.905,-0.0313215,4.92493,0.196052
2025-01-03,141.124,135.93,4.94964,4.91214,-0.0259086,5.19405,0.196052
2025-01-06,138.939,135.461,4.93403,4.90869,-0.0263013,3.47748,0.196052
2025-01-07,140.056,138.142,4.94204,4.92828,-0.00827373,1.91377,0.196052
2025-01-08,140.718,139.338,4.94676,4.9369,-0.000578764,1.38025,0.196052
2025-01-10,140.659,141.929,4.94634,4.95533,0.0179298,1.27031,0.196052
2025-01-13,145.088,144.341,4.97734,4.97218,0.0287019,0.747131,0.196052
2025-01-14,147.728,146.185,4.99537,4.98487,0.0378596,1.54314,0.196052
2025-01-15,150.229,148.417,5.01216,5.00003,0.0497237,1.81206,0.196052
2025-01-16,149.982,149.225,5.01052,5.00545,0.055471,0.757614,0.196052
2025-01-17,150.971,150.839,5.01709,5.01621,0.0649443,0.131744,0.196052
2025-01-21,149.112,148.158,5.0047,4.99828,0.0494398,0.953964,0.196052
2025-01-22,145.939,145.099,4.98319,4.97741,0.0327901,0.839951,0.196052
2025-01-23,152.563,144.371,5.02758,4.97239,0.0190607,8.19164,0.196052
2025-01-24,149.893,143.913,5.00992,4.96921,0.0193409,5.98065,0.196052
2025-01-27,150.872,145.617,5.01643,4.98098,0.0298374,5.2552,0.196052
2025-01-28,148.934,144.56,5.0035,4.9737,0.0250906,4.37383,0.196052
2025-01-29,149.676,144.67,5.00847,4.97446,0.024875,5.00569,0.196052
2025-01-30,148.262,145.358,4.99898,4.9792,0.0314777,2.90424,0.196052
2025-01-31,144.06,138.561,4.97023,4.93131,-0.0107747,5.49933,0.196052
2025-02-03,145.335,138.361,4.97904,4.92987,-0.0139423,6.97404,0.196052
2025-02-04,155.133,142.298,5.04428,4.95792,0.00132217,12.8352,0.196052
2025-02-05,155.529,142.258,5.04683,4.95764,0.000542801,13.2705,0.196052
2025-02-06,150.21,141.451,5.01203,4.95195,0.00167432,8.75867,0.196052
2025-02-07,148.42,142.458,5.00005,4.95904,0.011115,5.96259,0.196052
2025-02-10,152.039,145.338,5.02413,4.97906,0.0264091,6.70088,0.196052
2025-02-11,153.541,146.504,5.03397,4.98705,0.0324718,7.03763,0.196052
2025-02-12,147.52,144.311,4.99397,4.97197,0.0252356,3.20917,0.196052
2025-02-13,152.345,145.358,5.02615,4.9792,0.0261514,6.98746,0.196052
2025-02-14,154.293,146.055,5.03885,4.98399,0.0284488,8.2375,0.196052
2025-02-18,157.229,147.471,5.0577,4.99363,0.0343956,9.75867,0.196052
2025-02-19,155.758,148.766,5.0483,5.00238,0.0449865,6.99138,0.196052
2025-02-20,157.378,150.45,5.05865,5.01363,0.0542151,6.92792,0.196052
2025-02-21,152.874,147.61,5.02961,4.99457,0.0408486,5.26382,0.196052
2025-02-24,151.84,148.248,5.02283,4.99889,0.0464912,3.59183,0.196052
2025-02-25,149.742,146.454,5.00891,4.98671,0.0370445,3.28764,0.196052
2025-02-26,145.476,144.979,4.98001,4.97659,0.0325881,0.496826,0.196052
2025-02-27,147.146,146.414,4.99143,4.98644,0.0402,0.732208,0.196052
2025-02-28,149.334,148.437,5.00618,5.00016,0.0510302,0.896652,0.196052
2025-03-03,144.999,143.604,4.97672,4.96706,0.0237007,1.39487,0.196052
2025-03-04,141.817,141.909,4.95453,4.95519,0.0161826,0.0928497,0.196052
2025-03-05,134.359,140.863,4.90051,4.94779,0.019372,6.50414,0.196052
2025-03-06,136.785,142.856,4.91841,4.96184,0.0299144,6.07114,0.196052
2025-03-07,136.775,146.932,4.91834,4.98997,0.0580626,10.1573,0.196052
2025-03-10,135.492,147.74,4.90892,4.99545,0.0653892,12.2473,0.196052
2025-03-11,133.961,144.122,4.89755,4.97066,0.0428254,10.1609,0.196052
2025-03-12,136.348,143.544,4.91521,4.96664,0.0353447,7.19633,0.196052
2025-03-13,136.248,143.434,4.91448,4.96588,0.0347236,7.18613,0.196052
2025-03-14,140.355,147.63,4.94417,4.99471,0.0577344,7.27521,0.196052
2025-03-17,145.337,150.45,4.97905,5.01363,0.0698179,5.1134,0.196052
2025-03-18,145.177,152.82,4.97796,5.02926,0.0856627,7.64252,0.196052
2025-03-19,148.727,156.38,5.00212,5.05229,0.103955,7.65262,0.196052
2025-03-20,151.094,157.37,5.0179,5.0586,0.10717,6.27603,0.196052
2025-03-21,149.115,156.58,5.00472,5.05357,0.104722,7.46481,0.196052
2025-03-24,147.842,157.35,4.99615,5.05847,0.111308,9.50763,0.196052
2025-03-25,148.25,158.29,4.9989,5.06443,0.116725,10.0399,0.196052
2025-03-26,148.966,160.52,5.00372,5.07842,0.12977,11.554,0.196052
2025-03-27,146.52,159.07,4.98716,5.06934,0.123942,12.5501,0.196052
2025-03-28,143.288,158.45,4.96486,5.06544,0.124409,15.1618,0.196052
2025-03-31,144.869,159.73,4.97583,5.07348,0.130303,14.8608,0.196052
2025-04-01,145.804,161.29,4.98226,5.0832,0.138762,15.4861,0.196052
2025-04-02,147.067,160.02,4.99089,5.0753,0.129166,12.9532,0.196052
2025-04-03,127.866,148.38,4.85098,4.99978,0.0810727,20.5144,0.196052
2025-04-04,120.388,133.56,4.79072,4.89455,-0.012339,13.1721,0.196052
2025-04-07,120.975,130.59,4.79558,4.87206,-0.0357803,9.61538,0.196052
2025-04-08,117.882,127.51,4.76969,4.84819,-0.0545712,9.62787,0.196052
2025-04-09,130.68,137.97,4.87275,4.92704,0.00406446,7.29037,0.196052
2025-04-10,120.845,127.16,4.79451,4.84545,-0.0621871,6.31466,0.196052
2025-04-11,122.735,128.5,4.81002,4.85593,-0.0547457,5.76536,0.196052
2025-04-14,124.147,127.91,4.82146,4.85133,-0.0615903,3.76337,0.196052
2025-04-15,121.541,127.21,4.80025,4.84584,-0.06292,5.66859,0.196052
2025-04-16,123.371,127.95,4.8152,4.85164,-0.060049,4.57896,0.196052
2025-04-17,127,130.64,4.84419,4.87245,-0.0449275,3.63953,0.196052
2025-04-21,126.006,126.32,4.83633,4.83882,-0.0770136,0.313896,0.196052
2025-04-22,130.65,130.38,4.87252,4.87045,-0.0524738,0.269791,0.196052
2025-04-23,133.543,130.03,4.89443,4.86777,-0.0594566,3.5134,0.196052
2025-04-24,136.765,132.38,4.91827,4.88568,-0.0462188,4.38513,0.196052
2025-04-25,136.666,132.34,4.91754,4.88537,-0.0463785,4.32571,0.196052
2025-04-28,136.805,133.84,4.91856,4.89665,-0.0353074,2.96492,0.196052
2025-04-29,137.531,132.54,4.92385,4.88688,-0.0461055,4.99081,0.196052
2025-04-30,136.636,129.05,4.91732,4.8602,-0.0715101,7.58588,0.196052
2025-05-01,136.944,129.79,4.91957,4.86592,-0.0662341,7.15414,0.196052
2025-05-02,140.753,132.31,4.947,4.88515,-0.052382,8.44257,0.196052
2025-05-05,142.523,128.8,4.9595,4.85826,-0.0817188,13.7225,0.196052
2025-05-06,143.736,128.87,4.96798,4.8588,-0.0828372,14.8657,0.196052
2025-05-07,143.875,129.09,4.96894,4.86051,-0.0813213,14.7849,0.196052
2025-05-08,149.125,130.88,5.00479,4.87428,-0.074577,18.2451,0.196052
2025-05-09,150.04,132.37,5.0109,4.8856,-0.064456,17.6699,0.196052
2025-05-12,157.249,135.21,5.05783,4.90683,-0.0524285,22.0391,0.196052
2025-05-13,161.923,135.7,5.08712,4.91045,-0.0545529,26.2226,0.196052
2025-05-14,162.599,134.79,5.09129,4.90372,-0.0620985,27.8088,0.196052
2025-05-15,164.359,135.07,5.10205,4.90579,-0.062134,29.2888,0.196052
2025-05-16,163.195,134.93,5.09495,4.90476,-0.0617785,28.2654,0.196052
2025-05-19,161.356,132.79,5.08361,4.88877,-0.0755432,28.5658,0.196052
2025-05-20,160.62,132.05,5.07904,4.88318,-0.0802353,28.57,0.196052
2025-05-21,156.7,130.16,5.05433,4.86876,-0.0898073,26.54,0.196052
2025-05-22,158.89,130.02,5.06821,4.86769,-0.0936045,28.87,0.196052
2025-05-23,159.11,131.36,5.0696,4.87794,-0.0836225,27.75,0.196052
2025-05-27,162.33,132.58,5.08963,4.88719,-0.0783059,29.75,0.196052
2025-05-28,158.61,131.07,5.06645,4.87573,-0.0852155,27.54,0.196052
2025-05-29,159.92,133.62,5.07467,4.895,-0.0675597,26.3,0.196052
2025-05-30,160.74,132.19,5.07979,4.88424,-0.0793221,28.55,0.196052
2025-06-02,158.75,133.75,5.06733,4.89597,-0.0651476,25,0.196052
2025-06-03,161.97,135.96,5.08741,4.91236,-0.0526961,26.01,0.196052
2025-06-04,156.95,133.45,5.05593,4.89373,-0.0651575,23.5,0.196052
2025-06-05,158.21,133.05,5.06392,4.89073,-0.069727,25.16,0.196052
2025-06-06,160.12,136.13,5.07592,4.91361,-0.0491943,23.99,0.196052
