Date,CVX Raw Price,COP Raw Price,CVX Log Price,COP Log Price,Residual,Spread,Beta
2025-01-02,143.354,98.4366,4.96532,4.58941,0.06679,44.9178,0.878158
2025-01-03,144.468,99.4301,4.97306,4.59945,0.070034,45.0384,0.878158
2025-01-06,143.892,98.3481,4.96906,4.58851,0.0626044,45.5438,0.878158
2025-01-07,146.169,100.001,4.98476,4.60518,0.0654807,46.1681,0.878158
2025-01-08,146.862,99.9514,4.9895,4.60468,0.0608306,46.911,0.878158
2025-01-10,149.637,100.246,5.00822,4.60763,0.0473399,49.391,0.878158
2025-01-13,151.797,102.519,5.02254,4.63004,0.0571695,49.2784,0.878158
2025-01-14,153.311,103.158,5.03247,4.63626,0.0546679,50.1536,0.878158
2025-01-15,154.709,103.748,5.04154,4.64196,0.052405,50.9608,0.878158
2025-01-16,155.735,103.876,5.04815,4.6432,0.0478322,51.8589,0.878158
2025-01-17,157.777,104.112,5.06118,4.64547,0.0386615,53.665,0.878158
2025-01-21,154.621,102.568,5.04098,4.63052,0.0414625,52.0531,0.878158
2025-01-22,152.833,101.368,5.02934,4.61875,0.0399092,51.4649,0.878158
2025-01-23,152.442,102.282,5.02678,4.62774,0.0511412,50.1593,0.878158
2025-01-24,152.09,100.158,5.02447,4.60675,0.03218,51.9321,0.878158
2025-01-27,153.634,101.004,5.03457,4.61516,0.0317208,52.6301,0.878158
2025-01-28,152.637,99.7153,5.02806,4.60232,0.0245972,52.9219,0.878158
2025-01-29,152.129,99.8923,5.02473,4.60409,0.0292992,52.2368,0.878158
2025-01-30,152.745,99.794,5.02877,4.60311,0.0247679,52.9507,0.878158
2025-01-31,145.778,97.2072,4.98208,4.57684,0.0395009,48.5706,0.878158
2025-02-03,145.924,96.8629,4.98309,4.5733,0.0350708,49.0614,0.878158
2025-02-04,149.716,98.9284,5.00874,4.5944,0.0336466,50.7872,0.878158
2025-02-05,149.491,98.5645,5.00724,4.59071,0.0312803,50.9264,0.878158
2025-02-06,148.426,98.2989,5.00009,4.58801,0.0348613,50.1268,0.878158
2025-02-07,149.129,96.7449,5.00481,4.57208,0.0147729,52.3844,0.878158
2025-02-10,152.207,97.8465,5.02524,4.5834,0.00815523,54.3608,0.878158
2025-02-11,153.839,100.04,5.03591,4.60557,0.0209595,53.7992,0.878158
2025-02-12,151.357,96.7842,5.01964,4.57248,0.00215766,54.5729,0.878158
2025-02-13,152.315,95.3089,5.02595,4.55712,-0.0187419,57.0059,0.878158
2025-02-14,153.471,95.4477,5.03351,4.55858,-0.0239257,58.023,0.878158
2025-02-18,154.281,96.6276,5.03877,4.57086,-0.0162625,57.6532,0.878158
2025-02-19,155.338,98.7297,5.0456,4.59239,-0.000737553,56.6082,0.878158
2025-02-20,156.879,101.139,5.05548,4.6165,0.0147044,55.7399,0.878158
2025-02-21,155.032,97.1135,5.04363,4.57588,-0.0155103,57.9182,0.878158
2025-02-24,155.99,97.9861,5.04979,4.58483,-0.011977,58.0039,0.878158
2025-02-25,154.538,96.2608,5.04044,4.56706,-0.0215274,58.2769,0.878158
2025-02-26,153.273,95.3188,5.03222,4.55723,-0.0241458,57.9543,0.878158
2025-02-27,154.785,96.5483,5.04203,4.57004,-0.019947,58.2364,0.878158
2025-02-28,156.711,98.3133,5.0544,4.58816,-0.0126939,58.3979,0.878158
2025-03-03,151.248,91.8483,5.01892,4.52014,-0.0495528,59.3994,0.878158
2025-03-04,150.171,89.8751,5.01177,4.49842,-0.0649955,60.2958,0.878158
2025-03-05,148.995,88.13,5.00391,4.47881,-0.077702,60.8652,0.878158
2025-03-06,151.109,87.8523,5.018,4.47566,-0.0932307,63.2571,0.878158
2025-03-07,154.459,89.8652,5.03993,4.49831,-0.0898282,64.5934,0.878158
2025-03-10,155.674,92.116,5.04776,4.52305,-0.0719718,63.5578,0.878158
2025-03-11,152.226,94.6049,5.02537,4.54971,-0.0256431,57.621,0.878158
2025-03-12,150.833,96.9251,5.01617,4.57394,0.0066597,53.9077,0.878158
2025-03-13,151.761,95.3783,5.02231,4.55785,-0.0148183,56.3832,0.878158
2025-03-14,155.13,98.115,5.04427,4.58614,-0.00581022,57.0155,0.878158
2025-03-17,156.81,98.5215,5.05503,4.59028,-0.0111316,58.2885,0.878158
2025-03-18,158.875,99.6816,5.06812,4.60198,-0.0109131,59.1932,0.878158
2025-03-19,162.076,100.475,5.08806,4.60991,-0.0205039,61.601,0.878158
2025-03-20,162.787,101.447,5.09244,4.61953,-0.0147248,61.3406,0.878158
2025-03-21,162.767,101.06,5.09232,4.61571,-0.0184374,61.7075,0.878158
2025-03-24,163.034,101.328,5.09396,4.61836,-0.0172298,61.7066,0.878158
2025-03-25,163.943,101.685,5.09952,4.62188,-0.0185953,62.2585,0.878158
2025-03-26,165.949,102.329,5.11168,4.62819,-0.0229546,63.6196,0.878158
2025-03-27,164.645,101.952,5.10379,4.62451,-0.0197152,62.6922,0.878158
2025-03-28,164.091,101.506,5.10042,4.62012,-0.0211455,62.5852,0.878158
2025-03-31,165.277,104.134,5.10762,4.64568,-0.00191034,61.1431,0.878158
2025-04-01,166.482,104.501,5.11489,4.64919,-0.0047743,61.9816,0.878158
2025-04-02,164.467,105.205,5.10271,4.65591,0.0126359,59.2621,0.878158
2025-04-03,154.241,94.4462,5.03852,4.54803,-0.0388719,59.7951,0.878158
2025-04-04,141.556,85.5618,4.95269,4.44924,-0.062296,55.994,0.878158
2025-04-07,138.463,84.947,4.93061,4.44203,-0.0501107,53.5164,0.878158
2025-04-08,135.282,81.9624,4.90736,4.40626,-0.0654662,53.3198,0.878158
2025-04-09,144.273,90.7378,4.97171,4.50797,-0.0202564,53.5349,0.878158
2025-04-10,133.356,82.5871,4.89302,4.41385,-0.0452779,50.7686,0.878158
2025-04-11,133.998,85.661,4.89782,4.4504,-0.0129531,48.3369,0.878158
2025-04-14,133.692,85.7205,4.89554,4.45109,-0.0102495,47.9711,0.878158
2025-04-15,132.921,84.9966,4.88975,4.44261,-0.0136529,47.9243,0.878158
2025-04-16,133.731,85.6312,4.89583,4.45005,-0.0115505,48.0999,0.878158
2025-04-17,136.211,88.2291,4.9142,4.47994,0.00220185,47.9818,0.878158
2025-04-21,132.121,86.8112,4.88372,4.46374,0.0127738,45.3095,0.878158
2025-04-22,135.648,89.0025,4.91006,4.48866,0.0145677,46.6452,0.878158
2025-04-23,135.035,89.1711,4.90554,4.49056,0.0204344,45.8641,0.878158
2025-04-24,137.396,91.0253,4.92287,4.51114,0.0257922,46.3711,0.878158
2025-04-25,137.061,90.946,4.92042,4.51027,0.02707,46.1146,0.878158
2025-04-28,138.414,92.1458,4.93025,4.52337,0.0315464,46.2683,0.878158
2025-04-29,137.624,91.1046,4.92452,4.51201,0.025212,46.5191,0.878158
2025-04-30,134.423,88.3679,4.90099,4.48151,0.0153791,46.0547,0.878158
2025-05-01,134.62,89.885,4.90246,4.49853,0.0311114,44.7352,0.878158
2025-05-02,136.833,90.6386,4.91876,4.50688,0.0251414,46.1947,0.878158
2025-05-05,133.869,86.8707,4.89686,4.46442,0.00191217,46.9988,0.878158
2025-05-06,133.968,86.8905,4.8976,4.46465,0.00149253,47.0777,0.878158
2025-05-07,134.156,86.9698,4.899,4.46556,0.00117561,47.1861,0.878158
2025-05-08,135.391,88.0705,4.90817,4.47814,0.00570473,47.3204,0.878158
2025-05-09,136.823,87.8424,4.91869,4.47554,-0.00613119,48.9811,0.878158
2025-05-12,139.916,91.4913,4.94104,4.51624,0.0149428,48.4244,0.878158
2025-05-13,140.637,93.3753,4.94618,4.53663,0.0308104,47.2617,0.878158
2025-05-14,139.965,91.7888,4.94139,4.51949,0.0178789,48.1764,0.878158
2025-05-15,140.548,92.1755,4.94555,4.52369,0.0184336,48.3725,0.878158
2025-05-16,140.39,91.65,4.94442,4.51798,0.0137039,48.74,0.878158
2025-05-19,138.49,90.41,4.9308,4.50435,0.0120478,48.08,0.878158
2025-05-20,137.27,89.69,4.92195,4.49636,0.0118225,47.58,0.878158
2025-05-21,135.56,87.15,4.90941,4.46763,-0.00589791,48.41,0.878158
2025-05-22,135.29,86.13,4.90742,4.45586,-0.0159201,49.16,0.878158
2025-05-23,136.54,85.19,4.91662,4.44488,-0.0349702,51.35,0.878158
2025-05-27,137.83,85.55,4.92602,4.4491,-0.039011,52.28,0.878158
2025-05-28,136.02,84.58,4.9128,4.4377,-0.0388057,51.44,0.878158
2025-05-29,137.91,85.6,4.9266,4.44969,-0.0389363,52.31,0.878158
2025-05-30,136.7,85.35,4.91779,4.44676,-0.0341223,51.35,0.878158
2025-06-02,137.84,86.72,4.92609,4.46268,-0.0254912,51.12,0.878158
2025-06-03,139.55,87.91,4.93842,4.47631,-0.0226893,51.64,0.878158
2025-06-04,137.37,85.95,4.92268,4.45377,-0.0314106,51.42,0.878158
2025-06-05,136.9,85.35,4.91925,4.44676,-0.0354061,51.55,0.878158
2025-06-06,140.21,87.22,4.94314,4.46843,-0.0347127,52.99,0.878158
2025-06-09,140.76,88.04,4.94706,4.47779,-0.028793,52.72,0.878158
2025-06-10,143.35,91.18,4.96529,4.51284,-0.00976014,52.17,0.878158
2025-06-11,144.78,93.35,4.97522,4.53636,0.00504345,51.43,0.878158
2025-06-12,144.97,94.69,4.97653,4.55061,0.0181443,50.28,0.878158
2025-06-13,145.91,96.96,4.98299,4.5743,0.0361587,48.95,0.878158
