Date,PSX Raw Price,AR Raw Price,PSX Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,112.306,35.57,4.72123,3.5715,-0.0416313,76.7361,0.568761
2025-01-03,113.955,34.94,4.73581,3.55363,-0.0677926,79.0152,0.568761
2025-01-06,113.052,36.01,4.72785,3.5838,-0.0331029,77.0421,0.568761
2025-01-07,113.072,36.68,4.72802,3.60223,-0.0147667,76.3918,0.568761
2025-01-08,114.112,37.86,4.73718,3.6339,0.0116869,76.2523,0.568761
2025-01-10,111.835,38.32,4.71702,3.64597,0.0352293,73.5149,0.568761
2025-01-13,113.847,38.3,4.73486,3.64545,0.0245642,75.5472,0.568761
2025-01-14,115.114,38.59,4.74592,3.65299,0.0258163,76.5235,0.568761
2025-01-15,116.812,40.23,4.76056,3.69461,0.0591069,76.5817,0.568761
2025-01-16,117.43,40.57,4.76584,3.70303,0.0645196,76.8601,0.568761
2025-01-17,118.314,40.46,4.77334,3.70031,0.0575417,77.8536,0.568761
2025-01-21,118.274,39.93,4.77301,3.68713,0.0445446,78.3443,0.568761
2025-01-22,116.37,40.74,4.75677,3.70721,0.0738592,75.63,0.568761
2025-01-23,120.365,40.55,4.79053,3.70254,0.0499858,79.8151,0.568761
2025-01-24,119.619,40.15,4.78431,3.69262,0.0436087,79.4691,0.568761
2025-01-27,120.817,36.35,4.79427,3.59319,-0.0614855,84.4667,0.568761
2025-01-28,118.952,37.22,4.77872,3.61685,-0.0289848,81.7316,0.568761
2025-01-29,119.914,37.35,4.78677,3.62033,-0.0300794,82.5636,0.568761
2025-01-30,118.618,37.85,4.77591,3.63363,-0.0106021,80.7679,0.568761
2025-01-31,115.702,37.32,4.75102,3.61953,-0.0105501,78.3825,0.568761
2025-02-03,115.693,38.33,4.75094,3.64623,0.0162017,77.3627,0.568761
2025-02-04,121.337,38.73,4.79857,3.65661,-0.00050905,82.6069,0.568761
2025-02-05,121.052,39.6,4.79622,3.67883,0.0230415,81.4523,0.568761
2025-02-06,118.598,38.3,4.77574,3.64545,0.00131093,80.2982,0.568761
2025-02-07,118.088,37.85,4.77143,3.63363,-0.00805483,80.2378,0.568761
2025-02-10,121.435,40.02,4.79938,3.68938,0.0317959,81.4151,0.568761
2025-02-11,127.168,40.02,4.84551,3.68938,0.00556074,87.1477,0.568761
2025-02-12,122.741,39.38,4.81007,3.67326,0.00959252,83.3606,0.568761
2025-02-13,123.231,40.15,4.81406,3.69262,0.0266871,83.0814,0.568761
2025-02-14,125.685,39.84,4.83378,3.68487,0.00772116,85.8455,0.568761
2025-02-18,127.884,39.74,4.85113,3.68236,-0.00465623,88.1443,0.568761
2025-02-19,127.57,40.35,4.84867,3.69759,0.0119756,87.2202,0.568761
2025-02-20,129.131,39.51,4.86083,3.67655,-0.0159783,89.6209,0.568761
2025-02-21,126.412,38.15,4.83955,3.64153,-0.0389022,88.2619,0.568761
2025-02-24,125.867,37.9,4.83523,3.63495,-0.0430206,87.9671,0.568761
2025-02-25,125.055,37.35,4.82875,3.62033,-0.053957,87.7049,0.568761
2025-02-26,124.243,37.04,4.82224,3.612,-0.0585855,87.2028,0.568761
2025-02-27,126.194,35.58,4.83782,3.57178,-0.107663,90.614,0.568761
2025-02-28,128.452,36.7,4.85556,3.60278,-0.086758,91.7522,0.568761
2025-03-03,123.797,36.15,4.81864,3.58768,-0.0808629,87.6471,0.568761
2025-03-04,121.123,36.52,4.79681,3.59786,-0.058259,84.6028,0.568761
2025-03-05,118.597,36.38,4.77573,3.59402,-0.0501146,82.2172,0.568761
2025-03-06,121.618,33.78,4.80089,3.51987,-0.138571,87.8381,0.568761
2025-03-07,124.976,33.64,4.82812,3.51572,-0.158214,91.3357,0.568761
2025-03-10,124.926,34.69,4.82772,3.54645,-0.127252,90.2362,0.568761
2025-03-11,122.371,35.86,4.80706,3.57962,-0.0823268,86.5108,0.568761
2025-03-12,122.797,36.01,4.81053,3.5838,-0.0801287,86.7867,0.568761
2025-03-13,121.331,36.37,4.79852,3.59374,-0.0633507,84.9608,0.568761
2025-03-14,125.52,37.57,4.83247,3.62621,-0.0501973,87.9505,0.568761
2025-03-17,127.957,38.9,4.85169,3.66099,-0.0263434,89.057,0.568761
2025-03-18,127.184,39.87,4.84564,3.68562,0.00173078,87.3144,0.568761
2025-03-19,127.769,41.02,4.85022,3.71406,0.0275591,86.7488,0.568761
2025-03-20,127.591,40.97,4.84883,3.71284,0.0271336,86.6205,0.568761
2025-03-21,124.292,40.77,4.82264,3.70795,0.0371359,83.5223,0.568761
2025-03-24,125.263,41.21,4.83042,3.71868,0.0434459,84.0529,0.568761
2025-03-25,124.292,41.42,4.82264,3.72376,0.0529532,82.8723,0.568761
2025-03-26,125.362,40.97,4.83121,3.71284,0.0371556,84.392,0.568761
2025-03-27,123.53,39.53,4.81648,3.67706,0.00974989,83.9996,0.568761
2025-03-28,120.598,39.69,4.79246,3.6811,0.0274505,80.9079,0.568761
2025-03-31,122.301,40.44,4.80649,3.69982,0.0381925,81.8615,0.568761
2025-04-01,123.163,40.92,4.81351,3.71162,0.0459988,82.2432,0.568761
2025-04-02,122.876,42,4.81118,3.73767,0.0733775,80.8759,0.568761
2025-04-03,106.157,38.79,4.66492,3.65816,0.0770549,67.367,0.568761
2025-04-04,97.8669,33.46,4.58361,3.51035,-0.0245105,64.4069,0.568761
2025-04-07,95.6681,34.15,4.56089,3.53076,0.00882573,61.5181,0.568761
2025-04-08,91.9836,32.24,4.52161,3.47321,-0.0263912,59.7436,0.568761
2025-04-09,102.146,34.89,4.6264,3.5522,-0.00699912,67.2557,0.568761
2025-04-10,96.0643,31.92,4.56502,3.46323,-0.0610547,64.1443,0.568761
2025-04-11,96.4506,33.1,4.56903,3.49953,-0.0270366,63.3506,0.568761
2025-04-14,96.8864,33.23,4.57354,3.50345,-0.0256809,63.6564,0.568761
2025-04-15,95.2917,33.1,4.55694,3.49953,-0.0201617,62.1917,0.568761
2025-04-16,95.6483,34.3,4.56068,3.53515,0.0133262,61.3483,0.568761
2025-04-17,98.1542,34.42,4.58654,3.53864,0.0021097,63.7342,0.568761
2025-04-21,96.0841,32.06,4.56522,3.46761,-0.0567955,64.0241,0.568761
2025-04-22,99.937,32.83,4.60454,3.49134,-0.0554233,67.107,0.568761
2025-04-23,101.799,34.29,4.623,3.53485,-0.0224121,67.509,0.568761
2025-04-24,103.691,34.54,4.64141,3.54212,-0.0256202,69.1508,0.568761
2025-04-25,102.978,35.33,4.63451,3.56473,0.00091931,67.6477,0.568761
2025-04-28,104.77,35.93,4.65177,3.58157,0.00794312,68.8404,0.568761
2025-04-29,104.988,36.18,4.65385,3.58851,0.0136953,68.8083,0.568761
2025-04-30,103.067,34.83,4.63538,3.55048,-0.0138262,68.2368,0.568761
2025-05-01,102.473,34.65,4.62959,3.5453,-0.0157186,67.8225,0.568761
2025-05-02,106.127,35.76,4.66464,3.57683,-0.00411855,70.3673,0.568761
2025-05-05,105.88,35.49,4.6623,3.56925,-0.0103689,70.3897,0.568761
2025-05-06,104.384,35.5,4.64808,3.56953,-0.00199596,68.8841,0.568761
2025-05-07,104.543,36.71,4.64959,3.60305,0.0306577,67.8326,0.568761
2025-05-08,108.148,37.39,4.6835,3.6214,0.0297281,70.7579,0.568761
2025-05-09,109.861,38.71,4.69922,3.6561,0.055482,71.1514,0.568761
2025-05-12,117.547,39.4,4.76684,3.67377,0.0346894,78.1473,0.568761
2025-05-13,124.372,41.04,4.82327,3.71455,0.0433742,83.3315,0.568761
2025-05-14,123.51,40.5,4.81632,3.7013,0.0340833,83.0098,0.568761
2025-05-15,123.579,40.23,4.81688,3.69461,0.0270751,83.3492,0.568761
2025-05-16,124.53,39.8,4.82455,3.68387,0.0119696,84.73,0.568761
2025-05-19,122.18,39.42,4.8055,3.67427,0.0132116,82.76,0.568761
2025-05-20,120.9,39.77,4.79496,3.68311,0.0280411,81.13,0.568761
2025-05-21,111.78,39.11,4.71653,3.66638,0.055915,72.67,0.568761
2025-05-22,112.98,39.05,4.72721,3.66484,0.0483064,73.93,0.568761
2025-05-23,113.13,39.49,4.72854,3.67605,0.0587564,73.64,0.568761
2025-05-27,114.33,40.17,4.73909,3.69312,0.0698281,74.16,0.568761
