Date,APA Raw Price,KMI Raw Price,APA Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,22.7603,27.5159,3.12502,3.31476,-0.00527264,4.75562,0.0957162
2025-01-03,22.7992,27.6725,3.12673,3.32044,0.000239511,4.8733,0.0957162
2025-01-06,23.0328,27.2418,3.13692,3.30475,-0.016423,4.20896,0.0957162
2025-01-07,23.0328,27.2222,3.13692,3.30403,-0.0171419,4.18938,0.0957162
2025-01-08,23.0523,27.6921,3.13777,3.32115,-0.000110031,4.63977,0.0957162
2025-01-10,23.0523,27.5648,3.13777,3.31654,-0.00471589,4.51252,0.0957162
2025-01-13,23.7337,27.9172,3.1669,3.32924,0.00519878,4.18346,0.0957162
2025-01-14,24.1913,28.5045,3.18599,3.35006,0.0241907,4.31324,0.0957162
2025-01-15,24.7754,28.8178,3.20985,3.36099,0.0328362,4.04238,0.0957162
2025-01-16,24.4833,29.4247,3.19799,3.38183,0.0548122,4.94132,0.0957162
2025-01-17,23.7532,29.6694,3.16772,3.39012,0.0659923,5.91616,0.0957162
2025-01-21,23.0718,30.5601,3.13861,3.4197,0.0983597,7.48837,0.0957162
2025-01-22,22.9832,30.1294,3.13476,3.4055,0.084534,7.14622,0.0957162
2025-01-23,23.1308,29.8358,3.14117,3.39571,0.0741268,6.70498,0.0957162
2025-01-24,22.9439,29.6302,3.13305,3.38879,0.06799,6.68636,0.0957162
2025-01-27,23.0029,26.8796,3.13562,3.29137,-0.0296827,3.87671,0.0957162
2025-01-28,22.9635,26.8796,3.13391,3.29137,-0.0295188,3.91607,0.0957162
2025-01-29,22.8061,26.723,3.12703,3.28552,-0.0347041,3.91687,0.0957162
2025-01-30,22.6192,27.5061,3.1188,3.31441,-0.00503338,4.8869,0.0957162
2025-01-31,21.5763,26.8992,3.0716,3.2921,-0.0228264,5.3229,0.0957162
2025-02-03,21.1237,27.283,3.0504,3.30626,-0.00662917,6.15931,0.0957162
2025-02-04,22.0289,27.2039,3.09235,3.30336,-0.0135501,5.175,0.0957162
2025-02-05,21.8321,27.3424,3.08338,3.30844,-0.0076133,5.51027,0.0957162
2025-02-06,21.291,26.4916,3.05828,3.27683,-0.0368196,5.20066,0.0957162
2025-02-07,21.3205,26.7488,3.05967,3.28649,-0.0272903,5.42835,0.0957162
2025-02-10,22.6192,26.7785,3.1188,3.2876,-0.0318412,4.15931,0.0957162
2025-02-11,22.934,26.5015,3.13262,3.2772,-0.0435617,3.56749,0.0957162
2025-02-12,22.0092,25.997,3.09146,3.25798,-0.0588424,3.98782,0.0957162
2025-02-13,22.1273,26.274,3.09681,3.26858,-0.0487564,4.14674,0.0957162
2025-02-14,22.7668,26.2641,3.1253,3.2682,-0.0518601,3.49733,0.0957162
2025-02-18,23.1898,26.462,3.14371,3.27571,-0.0461177,3.27211,0.0957162
2025-02-19,23.2095,26.6004,3.14456,3.28093,-0.0409789,3.39093,0.0957162
2025-02-20,23.239,26.3037,3.14583,3.26971,-0.0523197,3.06464,0.0957162
2025-02-21,22.4224,26.1256,3.11006,3.26292,-0.0556883,3.70319,0.0957162
2025-02-24,22.5011,26.185,3.11357,3.26519,-0.0537544,3.68384,0.0957162
2025-02-25,22.019,25.819,3.09191,3.25111,-0.065758,3.79992,0.0957162
2025-02-26,21.655,25.8882,3.07524,3.25379,-0.061484,4.2332,0.0957162
2025-02-27,20.0906,25.9278,3.00025,3.25531,-0.0527797,5.83712,0.0957162
