Date,CVX Raw Price,ENB Raw Price,CVX Log Price,ENB Log Price,Residual,Spread,Beta
2025-02-28,156.711,42.73,5.0544,3.7549,-0.0216236,113.981,-0.237938
2025-03-03,151.248,42.67,5.01892,3.7535,-0.0314722,108.578,-0.237938
2025-03-04,150.171,41.55,5.01177,3.7269,-0.0597709,108.621,-0.237938
2025-03-05,148.995,42.49,5.00391,3.74927,-0.0392697,106.505,-0.237938
2025-03-06,151.109,41.6,5.018,3.7281,-0.0570858,109.509,-0.237938
2025-03-07,154.459,42,5.03993,3.73767,-0.0423002,112.459,-0.237938
2025-03-10,155.674,42.68,5.04776,3.75373,-0.0243747,112.994,-0.237938
2025-03-11,152.226,42.3,5.02537,3.74479,-0.0386474,109.926,-0.237938
2025-03-12,150.833,42.54,5.01617,3.75044,-0.035177,108.293,-0.237938
2025-03-13,151.761,42.55,5.02231,3.75068,-0.0334815,109.211,-0.237938
2025-03-14,155.13,42.83,5.04427,3.75724,-0.0216983,112.3,-0.237938
2025-03-17,156.81,43.5,5.05503,3.77276,-0.00361398,113.31,-0.237938
2025-03-18,158.875,43.41,5.06812,3.77069,-0.0025724,115.465,-0.237938
2025-03-19,162.076,43.75,5.08806,3.77849,0.00997572,118.326,-0.237938
2025-03-20,162.787,44.23,5.09244,3.7894,0.0219294,118.557,-0.237938
2025-03-21,162.767,43.87,5.09232,3.78123,0.0137279,118.897,-0.237938
2025-03-24,163.034,44.26,5.09396,3.79008,0.0229682,118.774,-0.237938
2025-03-25,163.943,44.42,5.09952,3.79369,0.0278995,119.523,-0.237938
2025-03-26,165.949,44.52,5.11168,3.79594,0.0330413,121.429,-0.237938
2025-03-27,164.645,44.36,5.10379,3.79234,0.0275637,120.285,-0.237938
2025-03-28,164.091,44.46,5.10042,3.79459,0.0290146,119.631,-0.237938
2025-03-31,165.277,44.31,5.10762,3.79121,0.027348,120.967,-0.237938
2025-04-01,166.482,44.57,5.11489,3.79706,0.0349275,121.912,-0.237938
2025-04-02,164.467,45.14,5.10271,3.80977,0.0447372,119.327,-0.237938
2025-04-03,154.241,45.34,5.03852,3.81419,0.0338848,108.901,-0.237938
2025-04-04,141.556,43.35,4.95269,3.76931,-0.0314191,98.2058,-0.237938
2025-04-07,138.463,41.95,4.93061,3.73648,-0.0695028,96.5135,-0.237938
2025-04-08,135.282,41.09,4.90736,3.71576,-0.0957469,94.1922,-0.237938
2025-04-09,144.273,41.77,4.97171,3.73218,-0.0640238,102.503,-0.237938
2025-04-10,133.356,41.82,4.89302,3.73337,-0.0815498,91.5357,-0.237938
2025-04-11,133.998,43.24,4.89782,3.76677,-0.0470154,90.7579,-0.237938
2025-04-14,133.692,44.02,4.89554,3.78464,-0.0296818,89.6716,-0.237938
2025-04-15,132.921,44.28,4.88975,3.79053,-0.0251683,88.641,-0.237938
2025-04-16,133.731,44.57,4.89583,3.79706,-0.0171946,89.1611,-0.237938
2025-04-17,136.211,45.37,4.9142,3.81485,0.00496721,90.8409,-0.237938
2025-04-21,132.121,44.99,4.88372,3.80644,-0.0106979,87.1307,-0.237938
2025-04-22,135.648,45.64,4.91006,3.82078,0.0099149,90.0078,-0.237938
2025-04-23,135.035,45.61,4.90554,3.82013,0.00818049,89.4252,-0.237938
2025-04-24,137.396,46.36,4.92287,3.83644,0.0286152,91.0365,-0.237938
2025-04-25,137.061,46.19,4.92042,3.83276,0.024359,90.8705,-0.237938
2025-04-28,138.414,46.64,4.93025,3.84246,0.0363925,91.7741,-0.237938
2025-04-29,137.624,46.64,4.92452,3.84246,0.0350299,90.9837,-0.237938
2025-04-30,134.423,46.69,4.90099,3.84353,0.0305017,87.7327,-0.237938
2025-05-01,134.62,46.48,4.90246,3.83902,0.0263433,88.1403,-0.237938
2025-05-02,136.833,46.86,4.91876,3.84716,0.0383654,89.9733,-0.237938
2025-05-05,133.869,46.59,4.89686,3.84139,0.0273763,87.2794,-0.237938
2025-05-06,133.968,46.16,4.8976,3.83211,0.0182796,87.8082,-0.237938
2025-05-07,134.156,46.69,4.899,3.84353,0.0300291,87.4659,-0.237938
2025-05-08,135.391,45.78,4.90817,3.82385,0.0125267,89.6109,-0.237938
2025-05-09,136.823,46.1,4.91869,3.83081,0.0219967,90.7235,-0.237938
2025-05-12,139.916,44.55,4.94104,3.79661,-0.00688638,95.3658,-0.237938
2025-05-13,140.637,44.57,4.94618,3.79706,-0.00521419,96.067,-0.237938
2025-05-14,139.965,44.87,4.94139,3.80377,0.000354888,95.0952,-0.237938
2025-05-15,140.548,44.92,4.94555,3.80488,0.00245742,95.6281,-0.237938
2025-05-16,140.39,44.85,4.94442,3.80332,0.000630165,95.54,-0.237938
2025-05-19,138.49,44.94,4.9308,3.80533,-0.00060735,93.55,-0.237938
2025-05-20,137.27,45.61,4.92195,3.82013,0.0120861,91.66,-0.237938
2025-05-21,135.56,45.57,4.90941,3.81925,0.00822598,89.99,-0.237938
2025-05-22,135.29,45.17,4.90742,3.81043,-0.0010649,90.12,-0.237938
2025-05-23,136.54,46.06,4.91662,3.82994,0.0206352,90.48,-0.237938
2025-05-27,137.83,46.04,4.92602,3.82951,0.0224384,91.79,-0.237938
2025-05-28,136.02,45.57,4.9128,3.81925,0.00903203,90.45,-0.237938
2025-05-29,137.91,45.85,4.9266,3.82538,0.018441,92.06,-0.237938
2025-05-30,136.7,46.48,4.91779,3.83902,0.0299911,90.22,-0.237938
2025-06-02,137.84,47.16,4.92609,3.85355,0.0464911,90.68,-0.237938
2025-06-03,139.55,47.07,4.93842,3.85164,0.0475145,92.48,-0.237938
2025-06-04,137.37,46.66,4.92268,3.84289,0.0350196,90.71,-0.237938
2025-06-05,136.9,46.87,4.91925,3.84738,0.0386946,90.03,-0.237938
2025-06-06,140.21,46.52,4.94314,3.83988,0.0368837,93.69,-0.237938
2025-06-09,140.76,45.82,4.94706,3.82472,0.0226535,94.94,-0.237938
2025-06-10,143.35,45.85,4.96529,3.82538,0.0276463,97.5,-0.237938
2025-06-11,144.78,45.87,4.97522,3.82581,0.0304442,98.91,-0.237938
2025-06-12,144.97,46.81,4.97653,3.8461,0.0510419,98.16,-0.237938
2025-06-13,145.91,46.67,4.98299,3.8431,0.0495844,99.24,-0.237938
