Date,CVX Raw Price,ENB Raw Price,CVX Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,143.354,42.98,4.96532,3.76073,-0.0369865,100.374,-0.237938
2025-01-03,144.468,43.09,4.97306,3.76329,-0.0325887,101.378,-0.237938
2025-01-06,143.892,42.99,4.96906,3.76097,-0.0358635,100.902,-0.237938
2025-01-07,146.169,43.64,4.98476,3.77597,-0.0171217,102.529,-0.237938
2025-01-08,146.862,44.02,4.9895,3.78464,-0.00732504,102.842,-0.237938
2025-01-10,149.637,43.48,5.00822,3.7723,-0.0152141,106.157,-0.237938
2025-01-13,151.797,43.4,5.02254,3.77046,-0.0136464,108.397,-0.237938
2025-01-14,153.311,44.07,5.03247,3.78578,0.00403561,109.241,-0.237938
2025-01-15,154.709,44.33,5.04154,3.79166,0.0120768,110.379,-0.237938
2025-01-16,155.735,44.03,5.04815,3.78487,0.00685905,111.705,-0.237938
2025-01-17,157.777,44.51,5.06118,3.79571,0.0208016,113.267,-0.237938
2025-01-21,154.621,45.31,5.04098,3.81353,0.0338076,109.311,-0.237938
2025-01-22,152.833,44.76,5.02934,3.80131,0.0188269,108.073,-0.237938
2025-01-23,152.442,44.86,5.02678,3.80355,0.0204494,107.582,-0.237938
2025-01-24,152.09,45.06,5.02447,3.80799,0.0243481,107.03,-0.237938
2025-01-27,153.634,44.7,5.03457,3.79997,0.0187298,108.934,-0.237938
2025-01-28,152.637,44.46,5.02806,3.79459,0.0117975,108.177,-0.237938
2025-01-29,152.129,44.26,5.02473,3.79008,0.00649558,107.869,-0.237938
2025-01-30,152.745,44.5,5.02877,3.79549,0.0128643,108.245,-0.237938
2025-01-31,145.778,43.24,4.98208,3.76677,-0.0269668,102.538,-0.237938
2025-02-03,145.924,42.92,4.98309,3.75934,-0.0341559,103.004,-0.237938
2025-02-04,149.716,43.72,5.00874,3.77781,-0.00958516,105.996,-0.237938
2025-02-05,149.491,43.93,5.00724,3.7826,-0.00515081,105.561,-0.237938
2025-02-06,148.426,44.2,5.00009,3.78872,-0.000724777,104.226,-0.237938
2025-02-07,149.129,44.45,5.00481,3.79436,0.00604053,104.679,-0.237938
2025-02-10,152.207,44.81,5.02524,3.80243,0.0189679,107.397,-0.237938
2025-02-11,153.839,45.25,5.03591,3.8122,0.0312765,108.589,-0.237938
2025-02-12,151.357,45.1,5.01964,3.80888,0.0240861,106.257,-0.237938
2025-02-13,152.315,45.45,5.02595,3.81661,0.0333173,106.865,-0.237938
2025-02-14,153.471,43.07,5.03351,3.76283,-0.0186699,110.401,-0.237938
2025-02-18,154.281,42.75,5.03877,3.75537,-0.0248747,111.531,-0.237938
2025-02-19,155.338,42.31,5.0456,3.74502,-0.0335956,113.028,-0.237938
2025-02-20,156.879,41.98,5.05548,3.73719,-0.0390767,114.899,-0.237938
2025-02-21,155.032,41.78,5.04363,3.73242,-0.046671,113.252,-0.237938
2025-02-24,155.99,41.54,5.04979,3.72666,-0.0509656,114.45,-0.237938
2025-02-25,154.538,41.65,5.04044,3.7293,-0.0505467,112.888,-0.237938
2025-02-26,153.273,41.75,5.03222,3.7317,-0.0501037,111.523,-0.237938
2025-02-27,154.785,41.73,5.04203,3.73122,-0.0482478,113.055,-0.237938
