Date,FANG Raw Price,RRC Raw Price,FANG Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-20,159.843,39.4859,5.07419,3.67594,0.0199501,120.357,0.40036
2025-02-21,153.955,38.3014,5.03666,3.64549,0.00451781,115.654,0.40036
2025-02-24,153.078,37.8137,5.03095,3.63267,-0.00600904,115.264,0.40036
2025-02-25,149.814,37.326,5.00939,3.61969,-0.0103617,112.488,0.40036
2025-02-26,150.317,38.3711,5.01274,3.6473,0.0159117,111.946,0.40036
2025-02-27,153.433,36.2311,5.03326,3.58992,-0.0496905,117.202,0.40036
2025-02-28,156.756,36.9477,5.05469,3.6095,-0.0386825,119.808,0.40036
2025-03-03,145.948,36.6292,4.98325,3.60085,-0.0187388,109.319,0.40036
2025-03-04,143.029,37.6843,4.96305,3.62924,0.0177469,105.345,0.40036
2025-03-05,140.722,37.3558,4.94678,3.62049,0.0155042,103.366,0.40036
2025-03-06,138.934,35.2158,4.934,3.5615,-0.0383714,103.718,0.40036
2025-03-07,139.143,35.0566,4.9355,3.55696,-0.0435045,104.086,0.40036
2025-03-10,139.609,36.2908,4.93885,3.59156,-0.0102436,103.318,0.40036
2025-03-11,143.651,37.2762,4.96739,3.61836,0.00512104,106.375,0.40036
2025-03-12,145.538,37.4255,4.98044,3.62235,0.00389371,108.113,0.40036
2025-03-13,144.793,37.2862,4.97531,3.61862,0.00221754,107.507,0.40036
2025-03-14,149.163,38.234,5.00504,3.64373,0.0154178,110.929,0.40036
2025-03-17,151.973,38.8826,5.0237,3.66055,0.0247648,113.091,0.40036
2025-03-18,153.93,39.5511,5.0365,3.67759,0.0366903,114.379,0.40036
2025-03-19,156.512,40.4191,5.05313,3.6993,0.0517405,116.093,0.40036
2025-03-20,157.386,40.1797,5.0587,3.69336,0.0435691,117.206,0.40036
2025-03-21,157.406,39.7905,5.05883,3.68363,0.0337868,117.615,0.40036
2025-03-24,159.898,40.5788,5.07454,3.70324,0.047112,119.319,0.40036
2025-03-25,160.484,40.05,5.0782,3.69013,0.0325303,120.434,0.40036
2025-03-26,161.964,39.7506,5.08737,3.68263,0.021354,122.213,0.40036
2025-03-27,159.124,38.703,5.06968,3.65592,0.00172813,120.421,0.40036
2025-03-28,156.452,39.1021,5.05275,3.66618,0.0187656,117.35,0.40036
2025-03-31,158.776,39.8404,5.06749,3.68488,0.031569,118.936,0.40036
2025-04-01,159.759,40.1298,5.07367,3.69212,0.0363341,119.629,0.40036
2025-04-02,160.375,40.5189,5.07751,3.70177,0.044444,119.856,0.40036
2025-04-03,140.304,37.9846,4.94381,3.63718,0.033384,102.32,0.40036
2025-04-04,122.518,33.375,4.80826,3.50781,-0.0417197,89.1432,0.40036
2025-04-07,123.67,33.4348,4.81762,3.5096,-0.0436745,90.2353,0.40036
2025-04-08,118.427,32.028,4.77429,3.46661,-0.0693169,86.3986,0.40036
2025-04-09,133.998,34.4825,4.89783,3.54045,-0.0449339,99.5158,0.40036
2025-04-10,122.31,32.1777,4.80656,3.47127,-0.0775714,90.1319,0.40036
2025-04-11,128.119,33.3151,4.85296,3.50601,-0.0614118,94.8041,0.40036
2025-04-14,126.759,33.3849,4.84228,3.5081,-0.0550434,93.3737,0.40036
2025-04-15,126.262,33.2652,4.83836,3.50451,-0.0570647,92.9969,0.40036
2025-04-16,129.321,34.0235,4.8623,3.52705,-0.0441085,95.2973,0.40036
2025-04-17,136.69,34.1033,4.91771,3.52939,-0.0639516,102.586,0.40036
2025-04-21,131.436,32.5468,4.87852,3.48268,-0.094976,98.8893,0.40036
2025-04-22,135.597,33.2153,4.90969,3.50301,-0.0871227,102.382,0.40036
2025-04-23,134.604,33.9736,4.90234,3.52558,-0.0616068,100.63,0.40036
2025-04-24,135.22,33.784,4.9069,3.51999,-0.0690297,101.436,0.40036
2025-04-25,135.816,34.712,4.9113,3.54708,-0.0436943,101.104,0.40036
2025-04-28,136.868,35.1709,4.91902,3.56022,-0.03365,101.697,0.40036
2025-04-29,135.706,35.0213,4.91049,3.55596,-0.0345011,100.685,0.40036
2025-04-30,131.098,33.8539,4.87595,3.52205,-0.0545721,97.2446,0.40036
2025-05-01,133.899,34.1432,4.89709,3.53056,-0.0545238,99.7557,0.40036
2025-05-02,135.865,34.9315,4.91166,3.55339,-0.037537,100.934,0.40036
2025-05-05,132.161,34.9814,4.88402,3.55482,-0.0250428,97.1797,0.40036
2025-05-06,131.069,34.9514,4.87572,3.55396,-0.0225759,96.1172,0.40036
2025-05-07,128.675,35.7396,4.85729,3.57626,0.00710399,92.9357,0.40036
2025-05-08,135.24,36.6476,4.90705,3.60135,0.012271,98.5921,0.40036
2025-05-09,136.938,37.7751,4.91953,3.63165,0.0375764,99.1628,0.40036
2025-05-12,141.933,38.9125,4.95536,3.66132,0.0528985,103.021,0.40036
2025-05-13,145.161,40.5289,4.97784,3.70201,0.0845952,104.632,0.40036
2025-05-14,143.82,40.3293,4.96856,3.69708,0.0833741,103.491,0.40036
2025-05-15,141.95,40.2096,4.95547,3.69411,0.0856406,101.74,0.40036
2025-05-16,141.13,40.03,4.94968,3.68963,0.0834836,101.1,0.40036
2025-05-19,139.35,39.3415,4.93699,3.67228,0.0712173,100.008,0.40036
2025-05-20,138.35,39.6309,4.92979,3.67961,0.0814285,98.7191,0.40036
2025-05-21,136.31,39.2318,4.91493,3.66949,0.0772543,97.0782,0.40036
2025-05-22,136.29,39.3216,4.91478,3.67177,0.0795994,96.9684,0.40036
2025-05-23,135.86,39.4613,4.91162,3.67532,0.0844106,96.3987,0.40036
2025-05-27,137.49,39.7207,4.92355,3.68187,0.0861883,97.7693,0.40036
2025-05-28,136.28,39.2518,4.91471,3.67,0.077851,97.0282,0.40036
2025-05-29,137.81,39.122,4.92588,3.66669,0.0700712,98.688,0.40036
2025-05-30,134.55,37.9547,4.90194,3.63639,0.0493623,96.5953,0.40036
2025-06-02,137.59,38.8327,4.92428,3.65926,0.0632873,98.7573,0.40036
2025-06-03,142.28,38.9524,4.9578,3.66234,0.0529463,103.328,0.40036
2025-06-04,139.35,37.6254,4.93699,3.62768,0.0266155,101.725,0.40036
2025-06-05,137.45,37.3161,4.92326,3.61942,0.0238574,100.134,0.40036
2025-06-06,140.56,38.3039,4.94563,3.64555,0.0410259,102.256,0.40036
2025-06-09,142.13,38.7229,4.95674,3.65643,0.0474598,103.407,0.40036
2025-06-10,145.57,38.6431,4.98066,3.65437,0.0358217,106.927,0.40036
2025-06-11,148.92,39.2418,5.00341,3.66974,0.0420859,109.678,0.40036
2025-06-12,149.33,40.03,5.00616,3.68963,0.0608724,109.3,0.40036
2025-06-13,154.91,41.39,5.04284,3.72304,0.0795951,113.52,0.40036
