Date,FANG Raw Price,RRC Raw Price,FANG Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,164.468,35.8827,5.10271,3.58026,-0.0871581,128.585,0.40036
2025-01-03,168.59,35.7434,5.12747,3.57636,-0.10096,132.846,0.40036
2025-01-06,167.288,36.6392,5.11972,3.60112,-0.0731026,130.649,0.40036
2025-01-07,170.029,36.6093,5.13597,3.6003,-0.0804258,133.42,0.40036
2025-01-08,168.619,37.3459,5.12764,3.62022,-0.0571716,131.273,0.40036
2025-01-10,172.347,37.9929,5.14951,3.6374,-0.0487499,134.354,0.40036
2025-01-13,175.148,38.3114,5.16563,3.64575,-0.0468547,136.836,0.40036
2025-01-14,175.217,39.4361,5.16602,3.67468,-0.0180771,135.78,0.40036
2025-01-15,177.07,40.1429,5.17655,3.69244,-0.00452931,136.928,0.40036
2025-01-16,176.637,41.0984,5.17409,3.71597,0.0199776,135.538,0.40036
2025-01-17,177.682,40.8794,5.17999,3.71063,0.012273,136.802,0.40036
2025-01-21,174.497,40.7799,5.16191,3.70819,0.0170774,133.717,0.40036
2025-01-22,175.128,40.8097,5.16552,3.70892,0.0163638,134.318,0.40036
2025-01-23,174.181,40.3718,5.1601,3.69813,0.00774422,133.809,0.40036
2025-01-24,170.858,39.9836,5.14083,3.68847,0.00579466,130.874,0.40036
2025-01-27,169.221,37.0971,5.1312,3.61354,-0.0652826,132.124,0.40036
2025-01-28,166.903,37.2264,5.11742,3.61702,-0.05628,129.677,0.40036
2025-01-29,168.491,37.4156,5.12688,3.62209,-0.0550031,131.076,0.40036
2025-01-30,168.047,37.3957,5.12425,3.62155,-0.0544794,130.652,0.40036
2025-01-31,162.081,36.8681,5.0881,3.60735,-0.0542146,125.213,0.40036
2025-02-03,162.2,37.2663,5.08883,3.61809,-0.0437656,124.933,0.40036
2025-02-04,163.994,37.5649,5.09983,3.62607,-0.0401903,126.429,0.40036
2025-02-05,162.476,38.7593,5.09053,3.65737,-0.00516421,123.716,0.40036
2025-02-06,157.811,37.4554,5.0614,3.62315,-0.0277227,120.356,0.40036
2025-02-07,155.938,37.0771,5.04946,3.613,-0.0330906,118.86,0.40036
2025-02-10,159.419,39.5257,5.07153,3.67695,0.0220214,119.893,0.40036
2025-02-11,159.764,39.3864,5.0737,3.67342,0.0176238,120.377,0.40036
2025-02-12,153.305,38.3014,5.03243,3.64549,0.00621388,115.003,0.40036
2025-02-13,154.005,38.6199,5.03698,3.65377,0.0126711,115.385,0.40036
2025-02-14,154.813,38.4906,5.04222,3.65041,0.00721825,116.323,0.40036
2025-02-18,154.587,38.7394,5.04075,3.65686,0.0142495,115.847,0.40036
2025-02-19,158.038,39.7148,5.06284,3.68173,0.030277,118.323,0.40036
