Date,FANG Raw Price,HES Raw Price,FANG Log Price,HES Log Price,Residual,Spread,Beta
2025-02-11,159.764,146.504,5.0737,4.98705,0.00801718,13.26,0.459968
2025-02-12,153.305,144.311,5.03243,4.97197,0.0119207,8.99339,0.459968
2025-02-13,154.005,145.358,5.03698,4.9792,0.01705,8.64709,0.459968
2025-02-14,154.813,146.055,5.04222,4.98399,0.0194292,8.75809,0.459968
2025-02-18,154.587,147.471,5.04075,4.99363,0.0297464,7.11607,0.459968
2025-02-19,158.038,148.766,5.06284,5.00238,0.0283369,9.27193,0.459968
2025-02-20,159.843,150.45,5.07419,5.01363,0.0343724,9.39226,0.459968
2025-02-21,153.955,147.61,5.03666,4.99457,0.0325738,6.34541,0.459968
2025-02-24,153.078,148.248,5.03095,4.99889,0.0395153,4.82991,0.459968
2025-02-25,149.814,146.454,5.00939,4.98671,0.0372547,3.35973,0.459968
2025-02-26,150.317,144.979,5.01274,4.97659,0.0255906,5.33766,0.459968
2025-02-27,153.433,146.414,5.03326,4.98644,0.026003,7.01869,0.459968
2025-02-28,156.756,148.437,5.05469,5.00016,0.02987,8.31883,0.459968
2025-03-03,145.948,143.604,4.98325,4.96706,0.0296248,2.34442,0.459968
2025-03-04,143.029,141.909,4.96305,4.95519,0.0270491,1.11971,0.459968
2025-03-05,140.722,140.863,4.94678,4.94779,0.027129,0.141388,0.459968
2025-03-06,138.934,142.856,4.934,4.96184,0.0470605,3.92221,0.459968
2025-03-07,139.143,146.932,4.9355,4.98997,0.0745046,7.78984,0.459968
2025-03-10,139.609,147.74,4.93885,4.99545,0.0784433,8.13036,0.459968
2025-03-11,143.651,144.122,4.96739,4.97066,0.0405236,0.470718,0.459968
2025-03-12,145.538,143.544,4.98044,4.96664,0.0305023,1.99422,0.459968
2025-03-13,144.793,143.434,4.97531,4.96588,0.0320983,1.35902,0.459968
2025-03-14,149.163,147.63,5.00504,4.99471,0.0472553,1.53284,0.459968
2025-03-17,151.973,150.45,5.0237,5.01363,0.057591,1.52332,0.459968
2025-03-18,153.93,152.82,5.0365,5.02926,0.0673375,1.1097,0.459968
2025-03-19,156.512,156.38,5.05313,5.05229,0.0827141,0.131744,0.459968
2025-03-20,157.386,157.37,5.0587,5.0586,0.0864637,0.0156708,0.459968
2025-03-21,157.406,156.58,5.05883,5.05357,0.081373,0.825531,0.459968
2025-03-24,159.898,157.35,5.07454,5.05847,0.0790516,2.54819,0.459968
2025-03-25,160.484,158.29,5.0782,5.06443,0.0833253,2.19414,0.459968
2025-03-26,161.964,160.52,5.08737,5.07842,0.0930935,1.44383,0.459968
2025-03-27,159.124,159.07,5.06968,5.06934,0.0921571,0.0535736,0.459968
2025-03-28,156.452,158.45,5.05275,5.06544,0.0960394,1.99783,0.459968
2025-03-31,158.776,159.73,5.06749,5.07348,0.0973033,0.953979,0.459968
2025-04-01,159.759,161.29,5.07367,5.0832,0.104183,1.53082,0.459968
2025-04-02,160.375,160.02,5.07751,5.0753,0.0945086,0.354889,0.459968
2025-04-03,140.304,148.38,4.94381,4.99978,0.0804838,8.07556,0.459968
2025-04-04,122.518,133.56,4.80826,4.89455,0.0376092,11.0419,0.459968
2025-04-07,123.67,130.59,4.81762,4.87206,0.0108164,6.91989,0.459968
2025-04-08,118.427,127.51,4.77429,4.84819,0.00687644,9.08344,0.459968
2025-04-09,133.998,137.97,4.89783,4.92704,0.0288963,3.97173,0.459968
2025-04-10,122.31,127.16,4.80656,4.84545,-0.0107118,4.85043,0.459968
2025-04-11,128.119,128.5,4.85296,4.85593,-0.0215741,0.380844,0.459968
2025-04-14,126.759,127.91,4.84228,4.85133,-0.0212654,1.15137,0.459968
2025-04-15,126.262,127.21,4.83836,4.84584,-0.0249477,0.947922,0.459968
2025-04-16,129.321,127.95,4.8623,4.85164,-0.0301575,1.37082,0.459968
2025-04-17,136.69,130.64,4.91771,4.87245,-0.0348412,6.04958,0.459968
2025-04-21,131.436,126.32,4.87852,4.83882,-0.0504414,5.11611,0.459968
2025-04-22,135.597,130.38,4.90969,4.87045,-0.0331426,5.21716,0.459968
2025-04-23,134.604,130.03,4.90234,4.86777,-0.0324496,4.57407,0.459968
2025-04-24,135.22,132.38,4.9069,4.88568,-0.0166374,2.8398,0.459968
2025-04-25,135.816,132.34,4.9113,4.88537,-0.0189621,3.47565,0.459968
2025-04-28,136.868,133.84,4.91902,4.89665,-0.0112428,3.02835,0.459968
2025-04-29,135.706,132.54,4.91049,4.88688,-0.0170819,3.16641,0.459968
2025-04-30,131.098,129.05,4.87595,4.8602,-0.0278767,2.04845,0.459968
2025-05-01,133.899,129.79,4.89709,4.86592,-0.0318813,4.10899,0.459968
2025-05-02,135.865,132.31,4.91166,4.88515,-0.0193569,3.55531,0.459968
2025-05-05,132.161,128.8,4.88402,4.85826,-0.033529,3.36107,0.459968
2025-05-06,131.069,128.87,4.87572,4.8588,-0.029168,2.19865,0.459968
2025-05-07,128.675,129.09,4.85729,4.86051,-0.0189855,0.414688,0.459968
2025-05-08,135.24,130.88,4.90705,4.87428,-0.0281006,4.35965,0.459968
2025-05-09,136.938,132.37,4.91953,4.8856,-0.0225204,4.56786,0.459968
2025-05-12,141.933,135.21,4.95536,4.90683,-0.0177723,6.72311,0.459968
2025-05-13,145.161,135.7,4.97784,4.91045,-0.0244974,9.46068,0.459968
2025-05-14,143.82,134.79,4.96856,4.90372,-0.0269581,9.03001,0.459968
2025-05-15,141.95,135.07,4.95547,4.90579,-0.0188629,6.87999,0.459968
2025-05-16,141.13,134.93,4.94968,4.90476,-0.0172353,6.20001,0.459968
2025-05-19,139.35,132.79,4.93699,4.88877,-0.0273843,6.56001,0.459968
2025-05-20,138.35,132.05,4.92979,4.88318,-0.0296598,6.3,0.459968
2025-05-21,136.31,130.16,4.91493,4.86876,-0.0372431,6.14999,0.459968
2025-05-22,136.29,130.02,4.91478,4.86769,-0.0382518,6.26999,0.459968
2025-05-23,135.86,131.36,4.91162,4.87794,-0.026545,4.5,0.459968
2025-05-27,137.49,132.58,4.92355,4.88719,-0.0227861,4.91,0.459968
2025-05-28,136.28,131.07,4.91471,4.87573,-0.0301748,5.20999,0.459968
2025-05-29,137.81,133.62,4.92588,4.895,-0.0160417,4.19,0.459968
2025-05-30,134.55,132.19,4.90194,4.88424,-0.0157897,2.36,0.459968
2025-06-02,137.59,133.75,4.92428,4.89597,-0.0143343,3.84,0.459968
2025-06-03,142.28,135.96,4.9578,4.91236,-0.0133635,6.31999,0.459968
2025-06-04,139.35,133.45,4.93699,4.89373,-0.0224263,5.90001,0.459968
2025-06-05,137.45,133.05,4.92326,4.89073,-0.0191134,4.39999,0.459968
2025-06-06,140.56,136.13,4.94563,4.91361,-0.00651952,4.42999,0.459968
2025-06-09,142.13,136.63,4.95674,4.91728,-0.00796249,5.5,0.459968
2025-06-10,145.57,138.66,4.98066,4.93202,-0.00421425,6.91,0.459968
2025-06-11,148.92,140.58,5.00341,4.94578,-0.000927673,8.34,0.459968
2025-06-12,149.33,141.14,5.00616,4.94975,0.00178326,8.19,0.459968
2025-06-13,154.91,142.26,5.04284,4.95766,-0.00718694,12.65,0.459968
