Date,FANG Raw Price,HES Raw Price,FANG Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,164.468,134.963,5.10271,4.905,-0.0873815,29.5048,0.459968
2025-01-03,168.59,135.93,5.12747,4.91214,-0.0916302,32.6601,0.459968
2025-01-06,167.288,135.461,5.11972,4.90869,-0.0915169,31.8268,0.459968
2025-01-07,170.029,138.142,5.13597,4.92828,-0.0793958,31.8874,0.459968
2025-01-08,168.619,139.338,5.12764,4.9369,-0.066945,29.2812,0.459968
2025-01-10,172.347,141.929,5.14951,4.95533,-0.0585766,30.4176,0.459968
2025-01-13,175.148,144.341,5.16563,4.97218,-0.0491405,30.8064,0.459968
2025-01-14,175.217,146.185,5.16602,4.98487,-0.0366292,29.0317,0.459968
2025-01-15,177.07,148.417,5.17655,5.00003,-0.0263145,28.6532,0.459968
2025-01-16,176.637,149.225,5.17409,5.00545,-0.0197616,27.412,0.459968
2025-01-17,177.682,150.839,5.17999,5.01621,-0.0117141,26.8427,0.459968
2025-01-21,174.497,148.158,5.16191,4.99828,-0.0213269,26.3385,0.459968
2025-01-22,175.128,145.099,5.16552,4.97741,-0.043855,30.0292,0.459968
2025-01-23,174.181,144.371,5.1601,4.97239,-0.0463885,29.8101,0.459968
2025-01-24,170.858,143.913,5.14083,4.96921,-0.0407083,26.9453,0.459968
2025-01-27,169.221,145.617,5.1312,4.98098,-0.0245076,23.604,0.459968
2025-01-28,166.903,144.56,5.11742,4.9737,-0.0254462,22.343,0.459968
2025-01-29,168.491,144.67,5.12688,4.97446,-0.0290429,23.8211,0.459968
2025-01-30,168.047,145.358,5.12425,4.9792,-0.0230877,22.6897,0.459968
2025-01-31,162.081,138.561,5.0881,4.93131,-0.0543497,23.5205,0.459968
2025-02-03,162.2,138.361,5.08883,4.92987,-0.056125,23.8382,0.459968
2025-02-04,163.994,142.298,5.09983,4.95792,-0.0331318,21.6963,0.459968
2025-02-05,162.476,142.258,5.09053,4.95764,-0.0291327,20.2175,0.459968
2025-02-06,157.811,141.451,5.0614,4.95195,-0.0214253,16.3603,0.459968
2025-02-07,155.938,142.458,5.04946,4.95904,-0.00884061,13.4801,0.459968
2025-02-10,159.419,145.338,5.07153,4.97906,0.00102093,14.0809,0.459968
