Date,VLO Raw Price,OKE Raw Price,VLO Log Price,OKE Log Price,Residual,Spread,Beta
2025-03-03,127.32,95.5561,4.8467,4.55971,0.0475466,31.7638,0.70159
2025-03-04,126.537,92.623,4.84053,4.52854,0.0207011,33.9135,0.70159
2025-03-05,120.736,90.7269,4.7936,4.50785,0.0329408,30.0088,0.70159
2025-03-06,124.94,88.6234,4.82783,4.4844,-0.0145326,36.3167,0.70159
2025-03-07,125.783,88.4555,4.83456,4.4825,-0.0211458,37.3274,0.70159
2025-03-10,125.733,90.2825,4.83416,4.50294,-0.000425456,35.4509,0.70159
2025-03-11,121.995,91.4676,4.80398,4.51598,0.0337914,30.5275,0.70159
2025-03-12,124.127,91.8132,4.8213,4.51976,0.0254085,32.3138,0.70159
2025-03-13,124.742,92.3366,4.82625,4.52544,0.0276267,32.4051,0.70159
2025-03-14,128.054,95.2302,4.85245,4.5563,0.0400984,32.8235,0.70159
2025-03-17,131.832,97.2152,4.88153,4.57693,0.0403289,34.6164,0.70159
2025-03-18,130.919,96.7905,4.87458,4.57255,0.040823,34.1288,0.70159
2025-03-19,132.714,98.8051,4.8882,4.59315,0.0518708,33.909,0.70159
2025-03-20,133.696,99.3977,4.89557,4.59913,0.0526792,34.2981,0.70159
2025-03-21,130.404,98.104,4.87064,4.58603,0.0570704,32.2998,0.70159
2025-03-24,130.84,101.027,4.87398,4.61539,0.0840883,29.8129,0.70159
2025-03-25,130.89,101.106,4.87435,4.61617,0.0846042,29.7835,0.70159
2025-03-26,133.388,100,4.89327,4.60517,0.0603366,33.3883,0.70159
2025-03-27,132.109,97.4522,4.88363,4.57936,0.0412878,34.6571,0.70159
2025-03-28,130.374,97.2547,4.87041,4.57733,0.0485357,33.1193,0.70159
2025-03-31,130.959,97.9855,4.87488,4.58482,0.0528805,32.9736,0.70159
2025-04-01,132.615,98.262,4.88745,4.58764,0.0468826,34.353,0.70159
2025-04-02,132.496,99.1211,4.88655,4.59634,0.0562182,33.3748,0.70159
2025-04-03,113.329,91.5466,4.73029,4.51685,0.0863543,21.782,0.70159
2025-04-04,103.809,79.8539,4.64256,4.3802,0.0112594,23.9554,0.70159
2025-04-07,105.773,79.9033,4.66129,4.38082,-0.00126758,25.8694,0.70159
2025-04-08,104.295,77.7306,4.64723,4.35325,-0.0189658,26.5646,0.70159
2025-04-09,114.925,83.8041,4.74428,4.42848,-0.0118256,31.1209,0.70159
2025-04-10,108.093,80.2292,4.68299,4.38489,-0.0124216,27.8638,0.70159
2025-04-11,109.769,81.5327,4.69838,4.401,-0.00709747,28.236,0.70159
2025-04-14,109.402,82.3425,4.69503,4.41089,0.00513459,27.0594,0.70159
2025-04-15,106.645,83.1128,4.66951,4.4202,0.0323505,23.5324,0.70159
2025-04-16,106.229,83.7449,4.6656,4.42777,0.0426715,22.4839,0.70159
2025-04-17,109.134,85.1571,4.69258,4.4445,0.0404634,23.9771,0.70159
2025-04-21,107.924,80.8019,4.68143,4.392,-0.00421264,27.1225,0.70159
2025-04-22,111.514,83.0042,4.71415,4.41889,-0.00027755,28.5098,0.70159
2025-04-23,113.537,83.6066,4.73213,4.42612,-0.00565883,29.9302,0.70159
2025-04-24,112.406,85.2065,4.72212,4.44508,0.020316,27.2,0.70159
2025-04-25,112.912,85.2361,4.72661,4.44542,0.0175142,27.676,0.70159
2025-04-28,113.785,86.7767,4.73431,4.46334,0.0300262,27.008,0.70159
2025-04-29,114.548,86.7668,4.741,4.46322,0.0252203,27.7814,0.70159
2025-04-30,115.113,81.1377,4.74592,4.39615,-0.0453091,33.9757,0.70159
2025-05-01,113.914,79.923,4.73544,4.38106,-0.0530421,33.9906,0.70159
2025-05-02,117.93,81.75,4.77009,4.40367,-0.0547482,36.1796,0.70159
2025-05-05,118.336,80.15,4.77353,4.3839,-0.0769285,38.1861,0.70159
2025-05-06,116.016,79.29,4.75373,4.37311,-0.0738232,36.7258,0.70159
2025-05-07,115.966,80.25,4.7533,4.38515,-0.0614885,35.7162,0.70159
2025-05-08,120.706,82.25,4.79336,4.40976,-0.0649769,38.456,0.70159
2025-05-09,121.896,82.3,4.80317,4.41037,-0.0712514,39.5959,0.70159
2025-05-12,129.392,85.04,4.86285,4.44312,-0.0803728,44.3523,0.70159
2025-05-13,133.973,86.51,4.89764,4.46026,-0.0876446,47.4634,0.70159
2025-05-14,133.19,86.61,4.89178,4.46142,-0.0823751,46.5801,0.70159
2025-05-15,134.231,86.03,4.89956,4.4547,-0.0945574,48.2012,0.70159
2025-05-16,134.598,85.67,4.90229,4.4505,-0.100666,48.9281,0.70159
2025-05-19,133.2,84.73,4.89185,4.43947,-0.104373,48.47,0.70159
2025-05-20,132.21,83.71,4.88439,4.42736,-0.11125,48.5,0.70159
2025-05-21,127.8,81.83,4.85047,4.40464,-0.110163,45.97,0.70159
2025-05-22,128.72,81.37,4.85764,4.39901,-0.120833,47.35,0.70159
2025-05-23,128.55,81.14,4.85632,4.39618,-0.122736,47.41,0.70159
2025-05-27,130.71,81.74,4.87298,4.40354,-0.12706,48.97,0.70159
2025-05-28,126.93,80.59,4.84364,4.38937,-0.12064,46.34,0.70159
2025-05-29,129.16,80.68,4.86105,4.39049,-0.131743,48.48,0.70159
2025-05-30,128.97,80.84,4.85958,4.39247,-0.128729,48.13,0.70159
2025-06-02,128.3,82.51,4.85437,4.41292,-0.104627,45.79,0.70159
2025-06-03,130.95,83.24,4.87482,4.42173,-0.110162,47.71,0.70159
2025-06-04,126.54,80.52,4.84056,4.38851,-0.11935,46.02,0.70159
2025-06-05,126.88,81.19,4.84324,4.39679,-0.112946,45.69,0.70159
2025-06-06,128.35,81.72,4.85476,4.4033,-0.114521,46.63,0.70159
2025-06-09,128.26,81.12,4.85406,4.39593,-0.121398,47.14,0.70159
2025-06-10,131.93,81.72,4.88227,4.4033,-0.133822,50.21,0.70159
2025-06-11,134.06,82.9,4.89829,4.41764,-0.130723,51.16,0.70159
2025-06-12,133.5,82.65,4.8941,4.41461,-0.130806,50.85,0.70159
2025-06-13,134.11,83.75,4.89866,4.42784,-0.120783,50.36,0.70159
