Date,VLO Raw Price,OKE Raw Price,VLO Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,121.125,99.4384,4.79682,4.59954,0.122368,21.6864,0.70159
2025-01-03,122.216,100.542,4.80579,4.61058,0.127115,21.674,0.70159
2025-01-06,120.112,99.2918,4.78842,4.59806,0.126786,20.8199,0.70159
2025-01-07,121.951,99.282,4.80362,4.59796,0.116026,22.6689,0.70159
2025-01-08,123.131,100.494,4.81325,4.61009,0.121398,22.6376,0.70159
2025-01-10,125.059,99.4188,4.82879,4.59934,0.0997458,25.6401,0.70159
2025-01-13,131.157,101.598,4.8764,4.62102,0.088023,29.5592,0.70159
2025-01-14,131.855,103.611,4.88171,4.64064,0.103915,28.2448,0.70159
2025-01-15,135.642,104.431,4.91002,4.64853,0.0919408,31.2107,0.70159
2025-01-16,137.078,106.171,4.92055,4.66505,0.10107,30.9075,0.70159
2025-01-17,138.73,106.464,4.93253,4.6678,0.0954199,32.2667,0.70159
2025-01-21,137.235,107.333,4.9217,4.67594,0.111157,29.9021,0.70159
2025-01-22,132.859,103.865,4.88928,4.64309,0.101046,28.9939,0.70159
2025-01-23,138.396,102.487,4.93012,4.62973,0.0590446,35.909,0.70159
2025-01-24,137.334,102.135,4.92241,4.6263,0.0610122,35.1986,0.70159
2025-01-27,138.986,98.1486,4.93437,4.58648,0.0128072,40.8375,0.70159
2025-01-28,135.858,98.2952,4.91161,4.58798,0.0302681,37.5632,0.70159
2025-01-29,137.186,98.0802,4.92134,4.58579,0.0212552,39.1059,0.70159
2025-01-30,134.281,97.5819,4.89993,4.58069,0.0311797,36.6989,0.70159
2025-01-31,131.881,94.9438,4.8819,4.55328,0.0164232,36.9374,0.70159
2025-02-03,135.034,96.4152,4.90553,4.56866,0.0152252,38.6192,0.70159
2025-02-04,141.787,95.8128,4.95433,4.5624,-0.0252781,45.9743,0.70159
2025-02-05,139.358,96.6917,4.93704,4.57153,-0.00402125,42.666,0.70159
2025-02-06,133.16,94.6278,4.89155,4.54995,0.00631721,38.5326,0.70159
2025-02-07,131.961,94.6179,4.8825,4.54985,0.012563,37.3426,0.70159
2025-02-10,135.659,97.462,4.91015,4.57946,0.0227858,38.1971,0.70159
2025-02-11,135.738,97.6991,4.91073,4.58189,0.0248045,38.0394,0.70159
2025-02-12,129.809,96.4054,4.86606,4.56856,0.0428127,33.4034,0.70159
2025-02-13,129.888,97.7386,4.86667,4.5823,0.0561184,32.1496,0.70159
2025-02-14,134.172,96.6325,4.89912,4.57092,0.0219726,37.5393,0.70159
2025-02-18,137.028,97.4127,4.92018,4.57896,0.0152375,39.6149,0.70159
2025-02-19,135.996,97.9657,4.91263,4.58462,0.0261987,38.0306,0.70159
2025-02-20,137.97,97.4028,4.92703,4.57885,0.0103294,40.5668,0.70159
2025-02-21,133.607,96.8794,4.8949,4.57347,0.0274859,36.7272,0.70159
2025-02-24,133.924,96.8991,4.89727,4.57367,0.0260256,37.0247,0.70159
2025-02-25,132.536,94.5784,4.88685,4.54943,0.00909422,37.9573,0.70159
2025-02-26,129.065,94.5685,4.86032,4.54932,0.0276064,34.4966,0.70159
2025-02-27,128.54,95.4375,4.85624,4.55847,0.0396167,33.102,0.70159
2025-02-28,129.63,99.1409,4.86469,4.59654,0.0717582,30.4894,0.70159
