Date,SM Raw Price,OKE Raw Price,SM Log Price,OKE Log Price,Residual,Spread,Beta
2025-04-30,22.79,81.1377,3.12632,4.39615,-0.0223228,58.3477,0.353961
2025-05-01,23.67,79.923,3.16421,4.38106,-0.0508171,56.253,0.353961
2025-05-02,22.82,81.75,3.12764,4.40367,-0.0152705,58.93,0.353961
2025-05-05,21,80.15,3.04452,4.3839,-0.00561696,59.15,0.353961
2025-05-06,21.52,79.29,3.06898,4.37311,-0.0250628,57.77,0.353961
2025-05-07,21.2,80.25,3.054,4.38515,-0.00772522,59.05,0.353961
2025-05-08,22.83,82.25,3.12808,4.40976,-0.009328,59.42,0.353961
2025-05-09,23.16,82.3,3.14243,4.41037,-0.0138,59.14,0.353961
2025-05-12,24.79,85.04,3.21044,4.44312,-0.00512364,60.25,0.353961
2025-05-13,25.63,86.51,3.24376,4.46026,0.000219564,60.88,0.353961
2025-05-14,25.46,86.61,3.23711,4.46142,0.00373041,61.15,0.353961
2025-05-15,24.56,86.03,3.20112,4.4547,0.00975006,61.47,0.353961
2025-05-16,24.45,85.67,3.19663,4.4505,0.00714556,61.22,0.353961
2025-05-19,23.92,84.73,3.17471,4.43947,0.00386981,60.81,0.353961
2025-05-20,23.73,83.71,3.16674,4.42736,-0.00541872,59.98,0.353961
2025-05-21,23.1,81.83,3.13983,4.40464,-0.018609,58.73,0.353961
2025-05-22,23.18,81.37,3.14329,4.39901,-0.02547,58.19,0.353961
2025-05-23,23.17,81.14,3.14286,4.39618,-0.0281479,57.97,0.353961
2025-05-27,23.83,81.74,3.17095,4.40354,-0.0307222,57.91,0.353961
2025-05-28,23.66,80.59,3.16379,4.38937,-0.042357,56.93,0.353961
2025-05-29,23.8,80.68,3.16969,4.39049,-0.043329,56.88,0.353961
2025-05-30,23.42,80.84,3.15359,4.39247,-0.0356508,57.42,0.353961
2025-06-02,23.92,82.51,3.17471,4.41292,-0.0226804,58.59,0.353961
2025-06-03,25.24,83.24,3.22843,4.42173,-0.032885,58,0.353961
2025-06-04,24.16,80.52,3.1847,4.38851,-0.0506281,56.36,0.353961
2025-06-05,24.01,81.19,3.17847,4.39679,-0.0401371,57.18,0.353961
2025-06-06,24.92,81.72,3.21567,4.4033,-0.0467979,56.8,0.353961
2025-06-09,25.59,81.12,3.2422,4.39593,-0.0635581,55.53,0.353961
2025-06-10,25.99,81.72,3.25771,4.4033,-0.0616789,55.73,0.353961
2025-06-11,26.8,82.9,3.2884,4.41764,-0.0582056,56.1,0.353961
2025-06-12,27.13,82.65,3.30064,4.41461,-0.0655577,55.52,0.353961
2025-06-13,28.26,83.75,3.34145,4.42784,-0.0667806,55.49,0.353961
