Date,SM Raw Price,OKE Raw Price,SM Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,39.607,99.4384,3.67901,4.59954,-0.0145616,59.8313,0.353961
2025-01-03,40.0213,100.542,3.68941,4.61058,-0.00720179,60.5212,0.353961
2025-01-06,40.2974,99.2918,3.69629,4.59806,-0.022153,58.9944,0.353961
2025-01-07,42.0923,99.282,3.73987,4.59796,-0.0376767,57.1897,0.353961
2025-01-08,42.0628,100.494,3.73916,4.61009,-0.0252981,58.4309,0.353961
2025-01-10,42.7531,99.4188,3.75544,4.59934,-0.0418132,56.6657,0.353961
2025-01-13,43.118,101.598,3.76394,4.62102,-0.0231418,58.4797,0.353961
2025-01-14,43.3153,103.611,3.76851,4.64064,-0.00513947,60.2953,0.353961
2025-01-15,44.0747,104.431,3.78588,4.64853,-0.00340096,60.3566,0.353961
2025-01-16,43.5125,106.171,3.77305,4.66505,0.0176598,62.658,0.353961
2025-01-17,42.615,106.464,3.75221,4.6678,0.0277937,63.8486,0.353961
2025-01-21,41.3034,107.333,3.72094,4.67594,0.0469948,66.0299,0.353961
2025-01-22,41.2047,103.865,3.71855,4.64309,0.0149906,62.6599,0.353961
2025-01-23,40.6524,102.487,3.70506,4.62973,0.00641385,61.8345,0.353961
2025-01-24,39.7308,102.135,3.68213,4.6263,0.0110931,62.4044,0.353961
2025-01-27,39.3344,98.1486,3.6721,4.58648,-0.0251715,58.8143,0.353961
2025-01-28,39.3244,98.2952,3.67185,4.58798,-0.0235902,58.9707,0.353961
2025-01-29,39.6911,98.0802,3.68113,4.58579,-0.0290647,58.3891,0.353961
2025-01-30,39.2551,97.5819,3.67008,4.58069,-0.030248,58.3268,0.353961
2025-01-31,37.6199,94.9438,3.62753,4.55328,-0.0425948,57.3239,0.353961
2025-02-03,37.0451,96.4152,3.61213,4.56866,-0.0217655,59.3702,0.353961
2025-02-04,37.9271,95.8128,3.63567,4.5624,-0.0363621,57.8857,0.353961
2025-02-05,37.5108,96.6917,3.62463,4.57153,-0.0233244,59.1809,0.353961
2025-02-06,36.9063,94.6278,3.60838,4.54995,-0.0391507,57.7214,0.353961
2025-02-07,37.0451,94.6179,3.61213,4.54985,-0.0405833,57.5728,0.353961
2025-02-10,39.0569,97.462,3.66502,4.57946,-0.0296855,58.4052,0.353961
2025-02-11,40.2461,97.6991,3.69501,4.58189,-0.0378735,57.4529,0.353961
2025-02-12,38.5613,96.4054,3.65225,4.56856,-0.0360672,57.844,0.353961
2025-02-13,38.6208,97.7386,3.65379,4.5823,-0.0228783,59.1177,0.353961
2025-02-14,38.1748,96.6325,3.64218,4.57092,-0.0301482,58.4577,0.353961
2025-02-18,38.2739,97.4127,3.64477,4.57896,-0.0230248,59.1387,0.353961
2025-02-19,38.4821,97.9657,3.65019,4.58462,-0.0192832,59.4836,0.353961
2025-02-20,36.7775,97.4028,3.60489,4.57885,-0.00900885,60.6253,0.353961
2025-02-21,34.0422,96.8794,3.5276,4.57347,0.0129588,62.8372,0.353961
2025-02-24,33.517,96.8991,3.51205,4.57367,0.0186667,63.3822,0.353961
2025-02-25,32.7836,94.5784,3.48993,4.54943,0.00225562,61.7948,0.353961
2025-02-26,32.0799,94.5685,3.46823,4.54932,0.00983112,62.4886,0.353961
2025-02-27,32.2286,95.4375,3.47285,4.55847,0.0173423,63.2089,0.353961
2025-02-28,32.4169,99.1409,3.47868,4.59654,0.0533501,66.724,0.353961
2025-03-03,29.7411,95.5561,3.39253,4.55971,0.0470151,65.815,0.353961
2025-03-04,28.5915,92.623,3.35311,4.52854,0.029793,64.0315,0.353961
2025-03-05,27.2734,90.7269,3.30591,4.50785,0.0258153,63.4535,0.353961
2025-03-06,26.9067,88.6234,3.29238,4.4844,0.00714845,61.7167,0.353961
2025-03-07,27.3428,88.4555,3.30845,4.4825,-0.000438028,61.1127,0.353961
2025-03-10,27.1248,90.2825,3.30045,4.50294,0.0228395,63.1577,0.353961
2025-03-11,28.8095,91.4676,3.36071,4.51598,0.0145509,62.6581,0.353961
2025-03-12,29.5132,91.8132,3.38484,4.51976,0.00978156,62.3001,0.353961
2025-03-13,28.5122,92.3366,3.35033,4.52544,0.0276791,63.8244,0.353961
2025-03-14,29.7213,95.2302,3.39186,4.5563,0.0438348,65.5089,0.353961
2025-03-17,29.9889,97.2152,3.40083,4.57693,0.0612922,67.2263,0.353961
2025-03-18,30.0285,96.7905,3.40215,4.57255,0.0564469,66.762,0.353961
2025-03-19,30.9204,98.8051,3.43142,4.59315,0.0666869,67.8847,0.353961
2025-03-20,30.6529,99.3977,3.42273,4.59913,0.0757423,68.7448,0.353961
2025-03-21,30.3952,98.104,3.41428,4.58603,0.0656295,67.7088,0.353961
2025-03-24,31.525,101.027,3.45078,4.61539,0.0820728,69.5022,0.353961
2025-03-25,30.2564,101.106,3.40971,4.61617,0.097392,70.8497,0.353961
2025-03-26,30.5141,100,3.41819,4.60517,0.0833905,69.486,0.353961
2025-03-27,29.9789,97.4522,3.4005,4.57936,0.0638442,67.4732,0.353961
2025-03-28,29.1366,97.2547,3.37199,4.57733,0.0719038,68.1181,0.353961
2025-03-31,29.6816,97.9855,3.39053,4.58482,0.0728294,68.3038,0.353961
2025-04-01,29.5032,98.262,3.3845,4.58764,0.0777812,68.7587,0.353961
2025-04-02,30.2465,99.1211,3.40938,4.59634,0.07768,68.8746,0.353961
2025-04-03,25.103,91.5466,3.22299,4.51685,0.0641609,66.4435,0.353961
2025-04-04,22.0605,79.8539,3.09379,4.3802,-0.0267572,57.7934,0.353961
2025-04-07,21.6146,79.9033,3.07337,4.38082,-0.0189101,58.2887,0.353961
2025-04-08,20.2073,77.7306,3.00604,4.35325,-0.0226473,57.5233,0.353961
2025-04-09,24.3994,83.8041,3.19456,4.42848,-0.0141415,59.4047,0.353961
2025-04-10,21.0497,80.2292,3.04689,4.38489,-0.0054661,59.1795,0.353961
2025-04-11,21.4758,81.5327,3.06693,4.401,0.00355712,60.0569,0.353961
2025-04-14,21.7632,82.3425,3.08022,4.41089,0.00873483,60.5793,0.353961
2025-04-15,21.5254,83.1128,3.06923,4.4202,0.0219359,61.5875,0.353961
2025-04-16,22.12,83.7449,3.09648,4.42777,0.0198663,61.6249,0.353961
2025-04-17,23.03,85.1571,3.1368,4.4445,0.0223188,62.1271,0.353961
2025-04-21,22.02,80.8019,3.09195,4.392,-0.0143037,58.7819,0.353961
2025-04-22,22.88,83.0042,3.13026,4.41889,-0.000974487,60.1242,0.353961
2025-04-23,22.99,83.6066,3.13506,4.42612,0.00455921,60.6166,0.353961
2025-04-24,23.17,85.2065,3.14286,4.44508,0.0207532,62.0365,0.353961
2025-04-25,23.48,85.2361,3.15615,4.44542,0.0163964,61.7561,0.353961
2025-04-28,23.6,86.7767,3.16125,4.46334,0.0325051,63.1767,0.353961
2025-04-29,23.26,86.7668,3.14674,4.46322,0.0375278,63.5068,0.353961
