Date,PSX Raw Price,OKE Raw Price,PSX Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,112.306,99.4384,4.72123,4.59954,0.111038,12.8677,0.652302
2025-01-03,113.955,100.542,4.73581,4.61058,0.112572,13.4127,0.652302
2025-01-06,113.052,99.2918,4.72785,4.59806,0.105245,13.7603,0.652302
2025-01-07,113.072,99.282,4.72802,4.59796,0.105033,13.7897,0.652302
2025-01-08,114.112,100.494,4.73718,4.61009,0.111188,13.6186,0.652302
2025-01-10,111.835,99.4188,4.71702,4.59934,0.113584,12.4161,0.652302
2025-01-13,113.847,101.598,4.73486,4.62102,0.123631,12.2495,0.652302
2025-01-14,115.114,103.611,4.74592,4.64064,0.136034,11.503,0.652302
2025-01-15,116.812,104.431,4.76056,4.64853,0.134372,12.3804,0.652302
2025-01-16,117.43,106.171,4.76584,4.66505,0.147444,11.2596,0.652302
2025-01-17,118.314,106.464,4.77334,4.6678,0.145312,11.8499,0.652302
2025-01-21,118.274,107.333,4.77301,4.67594,0.153664,10.941,0.652302
2025-01-22,116.37,103.865,4.75677,4.64309,0.131402,12.5054,0.652302
2025-01-23,120.365,102.487,4.79053,4.62973,0.0960297,17.8782,0.652302
2025-01-24,119.619,102.135,4.78431,4.6263,0.0966472,17.484,0.652302
2025-01-27,120.817,98.1486,4.79427,4.58648,0.0503351,22.6681,0.652302
2025-01-28,118.952,98.2952,4.77872,4.58798,0.0619755,20.6564,0.652302
2025-01-29,119.914,98.0802,4.78677,4.58579,0.0545321,21.8334,0.652302
2025-01-30,118.618,97.5819,4.77591,4.58069,0.0565254,21.036,0.652302
2025-01-31,115.702,94.9438,4.75102,4.55328,0.0453506,20.7587,0.652302
2025-02-03,115.693,96.4152,4.75094,4.56866,0.0607853,19.2775,0.652302
2025-02-04,121.337,95.8128,4.79857,4.5624,0.0234459,25.5241,0.652302
2025-02-05,121.052,96.6917,4.79622,4.57153,0.0341096,24.3605,0.652302
2025-02-06,118.598,94.6278,4.77574,4.54995,0.025892,23.9705,0.652302
2025-02-07,118.088,94.6179,4.77143,4.54985,0.0286011,23.4699,0.652302
2025-02-10,121.435,97.462,4.79938,4.57946,0.0399849,23.9731,0.652302
2025-02-11,127.168,97.6991,4.84551,4.58189,0.0123252,29.4687,0.652302
2025-02-12,122.741,96.4054,4.81007,4.56856,0.0221082,26.3353,0.652302
2025-02-13,123.231,97.7386,4.81406,4.5823,0.0332394,25.4929,0.652302
2025-02-14,125.685,96.6325,4.83378,4.57092,0.00899609,29.053,0.652302
2025-02-18,127.884,97.4127,4.85113,4.57896,0.00572409,30.4716,0.652302
2025-02-19,127.57,97.9657,4.84867,4.58462,0.0129894,29.6045,0.652302
2025-02-20,129.131,97.4028,4.86083,4.57885,-0.000705208,31.7281,0.652302
2025-02-21,126.412,96.8794,4.83955,4.57347,0.00778859,29.5325,0.652302
2025-02-24,125.867,96.8991,4.83523,4.57367,0.0108096,28.968,0.652302
2025-02-25,125.055,94.5784,4.82875,4.54943,-0.00920957,30.4766,0.652302
2025-02-26,124.243,94.5685,4.82224,4.54932,-0.00506375,29.6743,0.652302
2025-02-27,126.194,95.4375,4.83782,4.55847,-0.00608069,30.7564,0.652302
2025-02-28,128.452,99.1409,4.85556,4.59654,0.0204194,29.3113,0.652302
2025-03-03,123.797,95.5561,4.81864,4.55971,0.00766926,28.241,0.652302
2025-03-04,121.123,92.623,4.79681,4.52854,-0.009261,28.4998,0.652302
2025-03-05,118.597,90.7269,4.77573,4.50785,-0.0161989,27.8703,0.652302
