Date,PSX Raw Price,OKE Raw Price,PSX Log Price,OKE Log Price,Residual,Spread,Beta
2025-03-06,121.618,88.6234,4.80089,4.4844,-0.0560643,32.9947,0.652302
2025-03-07,124.976,88.4555,4.82812,4.4825,-0.0757251,36.5202,0.652302
2025-03-10,124.926,90.2825,4.82772,4.50294,-0.0550228,34.6437,0.652302
2025-03-11,122.371,91.4676,4.80706,4.51598,-0.0285007,30.9032,0.652302
2025-03-12,122.797,91.8132,4.81053,4.51976,-0.0269952,30.9835,0.652302
2025-03-13,121.331,92.3366,4.79852,4.52544,-0.013477,28.9942,0.652302
2025-03-14,125.52,95.2302,4.83247,4.5563,-0.00476531,30.2903,0.652302
2025-03-17,127.957,97.2152,4.85169,4.57693,0.00332387,30.7418,0.652302
2025-03-18,127.184,96.7905,4.84564,4.57255,0.00289641,30.3939,0.652302
2025-03-19,127.769,98.8051,4.85022,4.59315,0.0205067,28.9637,0.652302
2025-03-20,127.591,99.3977,4.84883,4.59913,0.0273966,28.1929,0.652302
2025-03-21,124.292,98.104,4.82264,4.58603,0.0313796,26.1883,0.652302
2025-03-24,125.263,101.027,4.83042,4.61539,0.0556666,24.2358,0.652302
2025-03-25,124.292,101.106,4.82264,4.61617,0.0615226,23.1862,0.652302
2025-03-26,125.362,100,4.83121,4.60517,0.0449329,25.3619,0.652302
2025-03-27,123.53,97.4522,4.81648,4.57936,0.0287284,26.0775,0.652302
2025-03-28,120.598,97.2547,4.79246,4.57733,0.0423674,23.3432,0.652302
2025-03-31,122.301,97.9855,4.80649,4.58482,0.0407036,24.316,0.652302
2025-04-01,123.163,98.262,4.81351,4.58764,0.0389418,24.9012,0.652302
2025-04-02,122.876,99.1211,4.81118,4.59634,0.0491705,23.7548,0.652302
2025-04-03,106.157,91.5466,4.66492,4.51685,0.0650785,14.6105,0.652302
2025-04-04,97.8669,79.8539,4.58361,4.3802,-0.0185314,18.013,0.652302
2025-04-07,95.6681,79.9033,4.56089,4.38082,-0.00309048,15.7648,0.652302
2025-04-08,91.9836,77.7306,4.52161,4.35325,-0.00503892,14.253,0.652302
2025-04-09,102.146,83.8041,4.6264,4.42848,0.00183919,18.3416,0.652302
2025-04-10,96.0643,80.2292,4.56502,4.38489,-0.001716,15.8351,0.652302
2025-04-11,96.4506,81.5327,4.56903,4.401,0.0117839,14.9178,0.652302
2025-04-14,96.8864,82.3425,4.57354,4.41089,0.0187263,14.5438,0.652302
2025-04-15,95.2917,83.1128,4.55694,4.4202,0.0388631,12.1789,0.652302
2025-04-16,95.6483,83.7449,4.56068,4.42777,0.0440027,11.9034,0.652302
2025-04-17,98.1542,85.1571,4.58654,4.4445,0.0438559,12.9971,0.652302
2025-04-21,96.0841,80.8019,4.56522,4.392,0.00526346,15.2822,0.652302
2025-04-22,99.937,83.0042,4.60454,4.41889,0.00650779,16.9328,0.652302
2025-04-23,101.799,83.6066,4.623,4.42612,0.00169713,18.1924,0.652302
2025-04-24,103.691,85.2065,4.64141,4.44508,0.00864093,18.4844,0.652302
2025-04-25,102.978,85.2361,4.63451,4.44542,0.0134902,17.7416,0.652302
2025-04-28,104.77,86.7767,4.65177,4.46334,0.0201452,17.9937,0.652302
2025-04-29,104.988,86.7668,4.65385,4.46322,0.018676,18.2215,0.652302
2025-04-30,103.067,81.1377,4.63538,4.39615,-0.036351,21.9291,0.652302
2025-05-01,102.473,79.923,4.62959,4.38106,-0.047663,22.5495,0.652302
2025-05-02,106.127,81.75,4.66464,4.40367,-0.0479209,24.3773,0.652302
2025-05-05,105.88,80.15,4.6623,4.3839,-0.0661631,25.7297,0.652302
2025-05-06,104.384,79.29,4.64808,4.37311,-0.0676712,25.0941,0.652302
2025-05-07,104.543,80.25,4.64959,4.38515,-0.0566261,24.2926,0.652302
2025-05-08,108.148,82.25,4.6835,4.40976,-0.0541256,25.8979,0.652302
2025-05-09,109.861,82.3,4.69922,4.41037,-0.0637718,27.5613,0.652302
2025-05-12,117.547,85.04,4.76684,4.44312,-0.0751309,32.5073,0.652302
2025-05-13,124.372,86.51,4.82327,4.46026,-0.0948038,37.8615,0.652302
2025-05-14,123.51,86.61,4.81632,4.46142,-0.0891133,36.8998,0.652302
2025-05-15,123.579,86.03,4.81688,4.4547,-0.0961986,37.5492,0.652302
2025-05-16,124.53,85.67,4.82455,4.4505,-0.105392,38.86,0.652302
2025-05-19,122.18,84.73,4.8055,4.43947,-0.103997,37.45,0.652302
2025-05-20,120.9,83.71,4.79496,4.42736,-0.109239,37.19,0.652302
2025-05-21,111.78,81.83,4.71653,4.40464,-0.0807927,29.95,0.652302
2025-05-22,112.98,81.37,4.72721,4.39901,-0.0933953,31.61,0.652302
2025-05-23,113.13,81.14,4.72854,4.39618,-0.0970914,31.99,0.652302
2025-05-27,114.33,81.74,4.73909,4.40354,-0.0966067,32.59,0.652302
2025-05-28,112.77,80.59,4.72535,4.38937,-0.101814,32.18,0.652302
2025-05-29,114.68,80.68,4.74215,4.39049,-0.111653,34,0.652302
2025-05-30,113.48,80.84,4.73163,4.39247,-0.102811,32.64,0.652302
2025-06-02,114.28,82.51,4.73865,4.41292,-0.0869453,31.77,0.652302
2025-06-03,115.97,83.24,4.75333,4.42173,-0.0877127,32.73,0.652302
2025-06-04,112.48,80.52,4.72278,4.38851,-0.101003,31.96,0.652302
2025-06-05,112.23,81.19,4.72055,4.39679,-0.0912653,31.04,0.652302
2025-06-06,114.29,81.72,4.73874,4.4033,-0.0966231,32.57,0.652302
2025-06-09,116.1,81.12,4.75445,4.39593,-0.114242,34.98,0.652302
2025-06-10,118.7,81.72,4.7766,4.4033,-0.121319,36.98,0.652302
2025-06-11,120.95,82.9,4.79538,4.41764,-0.119232,38.05,0.652302
2025-06-12,121.52,82.65,4.80008,4.41461,-0.125319,38.87,0.652302
2025-06-13,122.15,83.75,4.80525,4.42784,-0.115471,38.4,0.652302
