Date,APA Raw Price,OKE Raw Price,APA Log Price,OKE Log Price,Residual,Spread,Beta
2025-05-30,17.01,80.84,2.8338,4.39247,-0.0501391,63.83,0.530813
2025-06-02,17.33,82.51,2.85244,4.41292,-0.0395846,65.18,0.530813
2025-06-03,18.27,83.24,2.90526,4.42173,-0.0588143,64.97,0.530813
2025-06-04,17.92,80.52,2.88592,4.38851,-0.0817693,62.6,0.530813
2025-06-05,17.85,81.19,2.882,4.39679,-0.0714052,63.34,0.530813
2025-06-06,18.5,81.72,2.91777,4.4033,-0.0838842,63.22,0.530813
2025-06-09,18.63,81.12,2.92477,4.39593,-0.0949704,62.49,0.530813
2025-06-10,19.28,81.72,2.95907,4.4033,-0.105805,62.44,0.530813
2025-06-11,19.61,82.9,2.97604,4.41764,-0.100478,63.29,0.530813
2025-06-12,19.95,82.65,2.99323,4.41461,-0.112622,62.7,0.530813
2025-06-13,21.01,83.75,3.045,4.42784,-0.126881,62.74,0.530813
