Date,APA Raw Price,OKE Raw Price,APA Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,22.7603,99.4384,3.12502,4.59954,0.00234683,76.6781,0.530813
2025-01-03,22.7992,100.542,3.12673,4.61058,0.0124817,77.7433,0.530813
2025-01-06,23.0328,99.2918,3.13692,4.59806,-0.00544745,76.259,0.530813
2025-01-07,23.0328,99.282,3.13692,4.59796,-0.00554588,76.2492,0.530813
2025-01-08,23.0523,100.494,3.13777,4.61009,0.00613529,77.4413,0.530813
2025-01-10,23.0523,99.4188,3.13777,4.59934,-0.00461751,76.3665,0.530813
2025-01-13,23.7337,101.598,3.1669,4.62102,0.00159846,77.864,0.530813
2025-01-14,24.1913,103.611,3.18599,4.64064,0.0110806,79.4193,0.530813
2025-01-15,24.7754,104.431,3.20985,4.64853,0.00630677,79.6559,0.530813
2025-01-16,24.4833,106.171,3.19799,4.66505,0.0291182,81.6872,0.530813
2025-01-17,23.7532,106.464,3.16772,4.6678,0.0479454,82.7104,0.530813
2025-01-21,23.0718,107.333,3.13861,4.67594,0.0715313,84.2615,0.530813
2025-01-22,22.9832,103.865,3.13476,4.64309,0.040722,80.8814,0.530813
2025-01-23,23.1308,102.487,3.14117,4.62973,0.0239713,79.3561,0.530813
2025-01-24,22.9439,102.135,3.13305,4.6263,0.0248405,79.1913,0.530813
2025-01-27,23.0029,98.1486,3.13562,4.58648,-0.0163375,75.1457,0.530813
2025-01-28,22.9635,98.2952,3.13391,4.58798,-0.0139364,75.3316,0.530813
2025-01-29,22.8061,98.0802,3.12703,4.58579,-0.0124743,75.2741,0.530813
2025-01-30,22.6192,97.5819,3.1188,4.58069,-0.013199,74.9627,0.530813
2025-01-31,21.5763,94.9438,3.0716,4.55328,-0.01555,73.3675,0.530813
2025-02-03,21.1237,96.4152,3.0504,4.56866,0.011082,75.2915,0.530813
2025-02-04,22.0289,95.8128,3.09235,4.5624,-0.0174574,73.7839,0.530813
2025-02-05,21.8321,96.6917,3.08338,4.57153,-0.00356306,74.8597,0.530813
2025-02-06,21.291,94.6278,3.05828,4.54995,-0.0118178,73.3368,0.530813
2025-02-07,21.3205,94.6179,3.05967,4.54985,-0.0126576,73.2974,0.530813
2025-02-10,22.6192,97.462,3.1188,4.57946,-0.0144282,74.8428,0.530813
2025-02-11,22.934,97.6991,3.13262,4.58189,-0.0193368,74.765,0.530813
2025-02-12,22.0092,96.4054,3.09146,4.56856,-0.0108178,74.3962,0.530813
2025-02-13,22.1273,97.7386,3.09681,4.5823,7.66999e-05,75.6113,0.530813
2025-02-14,22.7668,96.6325,3.1253,4.57092,-0.0264282,73.8657,0.530813
2025-02-18,23.1898,97.4127,3.14371,4.57896,-0.0281604,74.2228,0.530813
2025-02-19,23.2095,97.9657,3.14456,4.58462,-0.0229495,74.7562,0.530813
2025-02-20,23.239,97.4028,3.14583,4.57885,-0.0293867,74.1638,0.530813
2025-02-21,22.4224,96.8794,3.11006,4.57347,-0.0157866,74.457,0.530813
2025-02-24,22.5011,96.8991,3.11357,4.57367,-0.0174427,74.398,0.530813
2025-02-25,22.019,94.5784,3.09191,4.54943,-0.030188,72.5593,0.530813
2025-02-26,21.655,94.5685,3.07524,4.54932,-0.0214433,72.9135,0.530813
2025-02-27,20.0906,95.4375,3.00025,4.55847,0.0275058,75.3469,0.530813
2025-02-28,20.3661,99.1409,3.01387,4.59654,0.0583465,78.7748,0.530813
2025-03-03,18.5853,95.5561,2.92237,4.55971,0.0700877,76.9707,0.530813
2025-03-04,18.2705,92.623,2.90529,4.52854,0.0479812,74.3525,0.530813
2025-03-05,18.241,90.7269,2.90367,4.50785,0.0281558,72.4859,0.530813
2025-03-06,18.4476,88.6234,2.91493,4.4844,-0.00128087,70.1758,0.530813
2025-03-07,18.5361,88.4555,2.91972,4.4825,-0.00571876,69.9194,0.530813
2025-03-10,18.7132,90.2825,2.92923,4.50294,0.00967758,71.5693,0.530813
2025-03-11,18.8903,91.4676,2.93865,4.51598,0.0177186,72.5772,0.530813
2025-03-12,19.3331,91.8132,2.96182,4.51976,0.00919306,72.4802,0.530813
2025-03-13,18.7329,92.3366,2.93028,4.52544,0.0316169,73.6037,0.530813
2025-03-14,19.2937,95.2302,2.95978,4.5563,0.0468152,75.9365,0.530813
2025-03-17,19.7069,97.2152,2.98097,4.57693,0.0561963,77.5082,0.530813
2025-03-18,19.8447,96.7905,2.98794,4.57255,0.0481214,76.9458,0.530813
2025-03-19,20.4744,98.8051,3.01917,4.59315,0.0521408,78.3308,0.530813
2025-03-20,20.2382,99.3977,3.00757,4.59913,0.0642772,79.1594,0.530813
2025-03-21,20.2776,98.104,3.00952,4.58603,0.0501451,77.8264,0.530813
2025-03-24,20.5039,101.027,3.02061,4.61539,0.0736157,80.5233,0.530813
2025-03-25,20.5531,101.106,3.02301,4.61617,0.0731254,80.5531,0.530813
2025-03-26,20.7597,100,3.03301,4.60517,0.0568161,79.2404,0.530813
2025-03-27,20.8581,97.4522,3.03774,4.57936,0.0284971,76.5941,0.530813
2025-03-28,20.5826,97.2547,3.02445,4.57733,0.0335258,76.6721,0.530813
2025-03-31,20.681,97.9855,3.02921,4.58482,0.0384806,77.3045,0.530813
2025-04-01,20.7892,98.262,3.03443,4.58764,0.0385281,77.4728,0.530813
2025-04-02,20.8974,99.1211,3.03963,4.59634,0.0444776,78.2237,0.530813
2025-04-03,17.4539,91.5466,2.85956,4.51685,0.0605631,74.0927,0.530813
2025-04-04,14.9352,79.8539,2.70372,4.3802,0.00663737,64.9187,0.530813
2025-04-07,14.7187,79.9033,2.68912,4.38082,0.0150049,65.1846,0.530813
2025-04-08,13.8037,77.7306,2.62494,4.35325,0.0215062,63.9269,0.530813
2025-04-09,16.4405,83.8041,2.79975,4.42848,0.00394785,67.3636,0.530813
2025-04-10,14.3645,80.2292,2.66476,4.38489,0.0320049,65.8646,0.530813
2025-04-11,14.7974,81.5327,2.69445,4.401,0.0323616,66.7353,0.530813
2025-04-14,14.9548,82.3425,2.70503,4.41089,0.0366277,67.3877,0.530813
2025-04-15,14.6498,83.1128,2.68443,4.4202,0.0568768,68.463,0.530813
2025-04-16,15.1221,83.7449,2.71616,4.42777,0.0476111,68.6228,0.530813
2025-04-17,15.8502,85.1571,2.76318,4.4445,0.0393735,69.3069,0.530813
2025-04-21,15.25,80.8019,2.72458,4.392,0.00736646,65.5519,0.530813
2025-04-22,15.86,83.0042,2.7638,4.41889,0.0134378,67.1442,0.530813
2025-04-23,15.65,83.6066,2.75047,4.42612,0.0277445,67.9566,0.530813
2025-04-24,16.26,85.2065,2.78871,4.44508,0.0264023,68.9465,0.530813
2025-04-25,16.35,85.2361,2.79423,4.44542,0.0238199,68.8861,0.530813
2025-04-28,16.55,86.7767,2.80639,4.46334,0.0352793,70.2267,0.530813
2025-04-29,16.24,86.7668,2.78748,4.46322,0.0452024,70.5268,0.530813
2025-04-30,15.54,81.1377,2.74342,4.39615,0.00151395,65.5977,0.530813
2025-05-01,16.22,79.923,2.78625,4.38106,-0.0363035,63.703,0.530813
2025-05-02,16.46,81.75,2.80093,4.40367,-0.0214983,65.29,0.530813
2025-05-05,15.5,80.15,2.74084,4.3839,-0.00936601,64.65,0.530813
2025-05-06,15.73,79.29,2.75557,4.37311,-0.0279726,63.56,0.530813
2025-05-07,15.48,80.25,2.73955,4.38515,-0.00743377,64.77,0.530813
2025-05-08,16.18,82.25,2.78378,4.40976,-0.00629344,66.07,0.530813
2025-05-09,16.72,82.3,2.81661,4.41037,-0.0231121,65.58,0.530813
2025-05-12,17.71,85.04,2.87413,4.44312,-0.0208959,67.33,0.530813
2025-05-13,18.46,86.51,2.91561,4.46026,-0.025774,68.05,0.530813
2025-05-14,18.17,86.61,2.89977,4.46142,-0.0162137,68.44,0.530813
2025-05-15,17.76,86.03,2.87695,4.4547,-0.0108181,68.27,0.530813
2025-05-16,17.59,85.67,2.86733,4.4505,-0.00990601,68.08,0.530813
2025-05-19,17.32,84.73,2.85186,4.43947,-0.0127279,67.41,0.530813
2025-05-20,17.25,83.71,2.84781,4.42736,-0.0226896,66.46,0.530813
2025-05-21,16.71,81.83,2.81601,4.40464,-0.0285217,65.12,0.530813
2025-05-22,16.74,81.37,2.8178,4.39901,-0.0351111,64.63,0.530813
2025-05-23,16.85,81.14,2.82435,4.39618,-0.0414184,64.29,0.530813
2025-05-27,17.31,81.74,2.85128,4.40354,-0.0483477,64.43,0.530813
2025-05-28,17.18,80.59,2.84375,4.38937,-0.0585151,63.41,0.530813
2025-05-29,17.34,80.68,2.85302,4.39049,-0.0623196,63.34,0.530813
