Date,SHEL Raw Price,APA Raw Price,SHEL Log Price,APA Log Price,Residual,Spread,Beta
2025-03-18,70.216,19.8447,4.25158,2.98794,-0.0254787,50.3713,0.951691
2025-03-19,70.7601,20.4744,4.2593,3.01917,-0.00158833,50.2858,0.951691
2025-03-20,71.1855,20.2382,4.26529,3.00757,-0.0188929,50.9473,0.951691
2025-03-21,70.2555,20.2776,4.25214,3.00952,-0.0044348,49.978,0.951691
2025-03-24,70.5227,20.5039,4.25593,3.02061,0.0030513,50.0188,0.951691
2025-03-25,71.2647,20.5531,4.2664,3.02301,-0.00451371,50.7116,0.951691
2025-03-26,72.2541,20.7597,4.28019,3.03301,-0.00763273,51.4944,0.951691
2025-03-27,72.5113,20.8581,4.28374,3.03774,-0.00628682,51.6532,0.951691
2025-03-28,71.9573,20.5826,4.27607,3.02445,-0.0122827,51.3747,0.951691
2025-03-31,72.5014,20.681,4.28361,3.02921,-0.0146837,51.8204,0.951691
2025-04-01,72.2739,20.7892,4.28046,3.03443,-0.00647266,51.4847,0.951691
2025-04-02,71.9474,20.8974,4.27593,3.03963,0.00302869,51.05,0.951691
2025-04-03,69.0287,17.4539,4.23452,2.85956,-0.137624,51.5748,0.951691
2025-04-04,63.4486,14.9352,4.15023,2.70372,-0.213247,48.5135,0.951691
2025-04-07,61.6579,14.7187,4.1216,2.68912,-0.200599,46.9392,0.951691
2025-04-08,59.1152,13.8037,4.07949,2.62494,-0.224702,45.3115,0.951691
2025-04-09,63.2112,16.4405,4.14648,2.79975,-0.11365,46.7707,0.951691
2025-04-10,59.1449,14.3645,4.07999,2.66476,-0.185357,44.7803,0.951691
2025-04-11,61.4303,14.7974,4.1179,2.69445,-0.191747,46.6329,0.951691
2025-04-14,61.8755,14.9548,4.12512,2.70503,-0.188037,46.9207,0.951691
2025-04-15,62.113,14.6498,4.12895,2.68443,-0.212288,47.4631,0.951691
2025-04-16,63.3497,15.1221,4.14867,2.71616,-0.199323,48.2276,0.951691
2025-04-17,64.349,15.8502,4.16432,2.76318,-0.167195,48.4988,0.951691
2025-04-21,63.9631,15.25,4.15831,2.72458,-0.200072,48.7131,0.951691
2025-04-22,64.4776,15.86,4.16632,2.7638,-0.168475,48.6176,0.951691
2025-04-23,63.8246,15.65,4.15614,2.75047,-0.172117,48.1746,0.951691
2025-04-24,64.3589,16.26,4.16447,2.78871,-0.141813,48.0989,0.951691
2025-04-25,65.1603,16.35,4.17685,2.79423,-0.148071,48.8103,0.951691
2025-04-28,65.3186,16.55,4.17928,2.80639,-0.138222,48.7686,0.951691
2025-04-29,64.814,16.24,4.17152,2.78748,-0.14975,48.574,0.951691
2025-04-30,63.7949,15.54,4.15567,2.74342,-0.178728,48.2549,0.951691
2025-05-01,64.1115,16.22,4.16062,2.78625,-0.140612,47.8915,0.951691
2025-05-02,65.932,16.46,4.18862,2.80093,-0.15257,49.472,0.951691
2025-05-05,64.4281,15.5,4.16555,2.74084,-0.190705,48.9281,0.951691
2025-05-06,64.4083,15.73,4.16524,2.75557,-0.175683,48.6783,0.951691
2025-05-07,64.3589,15.48,4.16447,2.73955,-0.190972,48.8789,0.951691
2025-05-08,64.3885,16.18,4.16494,2.78378,-0.147184,48.2085,0.951691
2025-05-09,65.4472,16.72,4.18124,2.81661,-0.129874,48.7272,0.951691
2025-05-12,65.6747,17.71,4.18471,2.87413,-0.0756536,47.9647,0.951691
2025-05-13,66.8917,18.46,4.20307,2.91561,-0.05165,48.4317,0.951691
2025-05-14,66.3772,18.17,4.19535,2.89977,-0.0601363,48.2072,0.951691
2025-05-15,66.674,17.76,4.19982,2.87695,-0.0872057,48.914,0.951691
2025-05-16,66.62,17.59,4.199,2.86733,-0.0960528,49.03,0.951691
2025-05-19,66.67,17.32,4.19976,2.85186,-0.112235,49.35,0.951691
2025-05-20,66.62,17.25,4.199,2.84781,-0.115571,49.37,0.951691
2025-05-21,66.36,16.71,4.19509,2.81601,-0.143655,49.65,0.951691
2025-05-22,65.95,16.74,4.1889,2.8178,-0.135963,49.21,0.951691
2025-05-23,66.3,16.85,4.19419,2.82435,-0.13445,49.45,0.951691
2025-05-27,66.69,17.31,4.20006,2.85128,-0.113098,49.38,0.951691
2025-05-28,66.04,17.18,4.19026,2.84375,-0.111316,48.86,0.951691
2025-05-29,66.44,17.34,4.1963,2.85302,-0.107792,49.1,0.951691
2025-05-30,66.22,17.01,4.19298,2.8338,-0.123851,49.21,0.951691
2025-06-02,67.45,17.33,4.21139,2.85244,-0.122728,50.12,0.951691
2025-06-03,67.83,18.27,4.217,2.90526,-0.0752531,49.56,0.951691
2025-06-04,67.27,17.92,4.20871,2.88592,-0.0867063,49.35,0.951691
2025-06-05,67.53,17.85,4.21257,2.882,-0.0942914,49.68,0.951691
2025-06-06,68.02,18.5,4.2198,2.91777,-0.0654048,49.52,0.951691
2025-06-09,68.26,18.63,4.22332,2.92477,-0.0617545,49.63,0.951691
2025-06-10,70.05,19.28,4.24921,2.95907,-0.0520941,50.77,0.951691
2025-06-11,71.02,19.61,4.26296,2.97604,-0.0482106,51.41,0.951691
2025-06-12,71.44,19.95,4.26886,2.99323,-0.0366327,51.49,0.951691
2025-06-13,72.54,21.01,4.28414,3.045,0.000594615,51.53,0.951691
