Date,SHEL Raw Price,APA Raw Price,SHEL Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,61.7661,22.7603,4.12335,3.12502,0.233628,39.0058,0.951691
2025-01-03,63.1561,22.7992,4.14561,3.12673,0.214159,40.3569,0.951691
2025-01-06,63.3812,23.0328,4.14917,3.13692,0.220967,40.3484,0.951691
2025-01-07,64.5363,23.0328,4.16723,3.13692,0.20378,41.5034,0.951691
2025-01-08,63.3518,23.0523,4.1487,3.13777,0.222253,40.2995,0.951691
2025-01-10,63.5672,23.0523,4.1521,3.13777,0.219024,40.5149,0.951691
2025-01-13,63.5868,23.7337,4.15241,3.1669,0.247863,39.853,0.951691
2025-01-14,64.5167,24.1913,4.16692,3.18599,0.25314,40.3254,0.951691
2025-01-15,64.9572,24.7754,4.17373,3.20985,0.270523,40.1818,0.951691
2025-01-16,65.0453,24.4833,4.17508,3.19799,0.257375,40.5619,0.951691
2025-01-17,65.3096,23.7532,4.17914,3.16772,0.223241,41.5563,0.951691
2025-01-21,65.3585,23.0718,4.17989,3.13861,0.19342,42.2867,0.951691
2025-01-22,64.5558,22.9832,4.16753,3.13476,0.201335,41.5726,0.951691
2025-01-23,65.2508,23.1308,4.17824,3.14117,0.197545,42.12,0.951691
2025-01-24,64.0077,22.9439,4.159,3.13305,0.207737,41.0638,0.951691
2025-01-27,63.763,23.0029,4.15517,3.13562,0.213952,40.7601,0.951691
2025-01-28,63.2148,22.9635,4.14654,3.13391,0.220457,40.2513,0.951691
2025-01-29,63.4106,22.8061,4.14963,3.12703,0.210635,40.6044,0.951691
2025-01-30,65.241,22.6192,4.17809,3.1188,0.175321,42.6218,0.951691
2025-01-31,64.458,21.5763,4.16601,3.0716,0.13961,42.8817,0.951691
2025-02-03,63.7923,21.1237,4.15563,3.0504,0.128289,42.6686,0.951691
2025-02-04,65.2215,22.0289,4.17779,3.09235,0.149162,43.1926,0.951691
2025-02-05,65.1236,21.8321,4.17629,3.08338,0.141619,43.2915,0.951691
2025-02-06,64.7614,21.291,4.17071,3.05828,0.121828,43.4704,0.951691
2025-02-07,64.4971,21.3205,4.16662,3.05967,0.127105,43.1766,0.951691
2025-02-10,64.732,22.6192,4.17026,3.1188,0.182775,42.1128,0.951691
2025-02-11,65.9556,22.934,4.18898,3.13262,0.178777,43.0216,0.951691
2025-02-12,65.3487,22.0092,4.17974,3.09146,0.146413,43.3395,0.951691
2025-02-13,65.9458,22.1273,4.18883,3.09681,0.143107,43.8186,0.951691
2025-02-14,66.4168,22.7668,4.19595,3.1253,0.164827,43.65,0.951691
2025-02-18,67.0994,23.1898,4.20618,3.14371,0.173507,43.9096,0.951691
2025-02-19,66.8818,23.2095,4.20293,3.14456,0.177447,43.6723,0.951691
2025-02-20,67.6535,23.239,4.2144,3.14583,0.1678,44.4144,0.951691
2025-02-21,65.9913,22.4224,4.18952,3.11006,0.155702,43.5689,0.951691
2025-02-24,66.1793,22.5011,4.19237,3.11357,0.156499,43.6782,0.951691
2025-02-25,66.1892,22.019,4.19252,3.09191,0.134698,44.1702,0.951691
2025-02-26,66.6839,21.655,4.19996,3.07524,0.110941,45.0289,0.951691
2025-02-27,66.5553,20.0906,4.19803,3.00025,0.0377961,46.4646,0.951691
2025-02-28,66.7433,20.3661,4.20085,3.01387,0.0487309,46.3771,0.951691
2025-03-03,65.7539,18.5853,4.18592,2.92237,-0.0285573,47.1686,0.951691
2025-03-04,65.4966,18.2705,4.182,2.90529,-0.0419121,47.2262,0.951691
2025-03-05,65.3977,18.241,4.18049,2.90367,-0.0420901,47.1567,0.951691
2025-03-06,65.3087,18.4476,4.17912,2.91493,-0.0295303,46.8611,0.951691
2025-03-07,66.0804,18.5361,4.19087,2.91972,-0.0359214,47.5442,0.951691
2025-03-10,66.0804,18.7132,4.19087,2.92923,-0.0264126,47.3671,0.951691
2025-03-11,66.1002,18.8903,4.19117,2.93865,-0.0172782,47.2098,0.951691
2025-03-12,66.6641,19.3331,4.19967,2.96182,-0.00219634,47.331,0.951691
2025-03-13,67.0203,18.7329,4.205,2.93028,-0.0388027,48.2874,0.951691
2025-03-14,68.0393,19.2937,4.22009,2.95978,-0.0236669,48.7456,0.951691
2025-03-17,69.3552,19.7069,4.23924,2.98097,-0.0207053,49.6483,0.951691
