Date,AR Raw Price,KMI Raw Price,AR Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,35.57,27.5159,3.5715,3.31476,0.0332427,8.05412,0.385539
2025-01-03,34.94,27.6725,3.55363,3.32044,0.0458082,7.2675,0.385539
2025-01-06,36.01,27.2418,3.5838,3.30475,0.018492,8.7682,0.385539
2025-01-07,36.68,27.2222,3.60223,3.30403,0.0106657,9.45778,0.385539
2025-01-08,37.86,27.6921,3.6339,3.32115,0.0155709,10.1679,0.385539
2025-01-10,38.32,27.5648,3.64597,3.31654,0.00630899,10.7552,0.385539
2025-01-13,38.3,27.9172,3.64545,3.32924,0.0192134,10.3828,0.385539
2025-01-14,38.59,28.5045,3.65299,3.35006,0.0371248,10.0855,0.385539
2025-01-15,40.23,28.8178,3.69461,3.36099,0.0320078,11.4122,0.385539
2025-01-16,40.57,29.4247,3.70303,3.38183,0.0496041,11.1453,0.385539
2025-01-17,40.46,29.6694,3.70031,3.39012,0.0589332,10.7906,0.385539
2025-01-21,39.93,30.5601,3.68713,3.4197,0.0935981,9.36985,0.385539
2025-01-22,40.74,30.1294,3.70721,3.4055,0.0716618,10.6106,0.385539
2025-01-23,40.55,29.8358,3.70254,3.39571,0.0636696,10.7142,0.385539
2025-01-24,40.15,29.6302,3.69262,3.38879,0.060578,10.5198,0.385539
2025-01-27,36.35,26.8796,3.59319,3.29137,0.00148473,9.47038,0.385539
2025-01-28,37.22,26.8796,3.61685,3.29137,-0.00763408,10.3404,0.385539
2025-01-29,37.35,26.723,3.62033,3.28552,-0.0148221,10.627,0.385539
2025-01-30,37.85,27.5061,3.63363,3.31441,0.008934,10.3439,0.385539
2025-01-31,37.32,26.8992,3.61953,3.2921,-0.00794046,10.4208,0.385539
2025-02-03,38.33,27.283,3.64623,3.30626,-0.0040676,11.047,0.385539
2025-02-04,38.73,27.2039,3.65661,3.30336,-0.010975,11.5261,0.385539
2025-02-05,39.6,27.3424,3.67883,3.30844,-0.0144616,12.2576,0.385539
2025-02-06,38.3,26.4916,3.64545,3.27683,-0.0332012,11.8084,0.385539
2025-02-07,37.85,26.7488,3.63363,3.28649,-0.0189827,11.1012,0.385539
2025-02-10,40.02,26.7785,3.68938,3.2876,-0.039367,13.2415,0.385539
2025-02-11,40.02,26.5015,3.68938,3.2772,-0.0497644,13.5185,0.385539
2025-02-12,39.38,25.997,3.67326,3.25798,-0.0627695,13.383,0.385539
2025-02-13,40.15,26.274,3.69262,3.26858,-0.0596372,13.876,0.385539
2025-02-14,39.84,26.2641,3.68487,3.2682,-0.0570255,13.5759,0.385539
2025-02-18,39.74,26.462,3.68236,3.27571,-0.0485518,13.278,0.385539
2025-02-19,40.35,26.6004,3.69759,3.28093,-0.0492047,13.7496,0.385539
2025-02-20,39.51,26.3037,3.67655,3.26971,-0.0523131,13.2063,0.385539
2025-02-21,38.15,26.1256,3.64153,3.26292,-0.045601,12.0244,0.385539
2025-02-24,37.9,26.185,3.63495,3.26519,-0.040797,11.715,0.385539
2025-02-25,37.35,25.819,3.62033,3.25111,-0.0492377,11.531,0.385539
2025-02-26,37.04,25.8882,3.612,3.25379,-0.043346,11.1518,0.385539
2025-02-27,35.58,25.9278,3.57178,3.25531,-0.0263145,9.65224,0.385539
2025-02-28,36.7,26.8082,3.60278,3.28871,-0.00487076,9.89182,0.385539
2025-03-03,36.15,26.8478,3.58768,3.29018,0.00242574,9.30225,0.385539
2025-03-04,36.52,26.6994,3.59786,3.28464,-0.00704251,9.82063,0.385539
2025-03-05,36.38,26.4422,3.59402,3.27496,-0.0152416,9.93783,0.385539
2025-03-06,33.78,26.0267,3.51987,3.25912,-0.00249122,7.75331,0.385539
2025-03-07,33.64,25.8585,3.51572,3.25264,-0.00737243,7.78148,0.385539
2025-03-10,34.69,25.8585,3.54645,3.25264,-0.0192222,8.83148,0.385539
2025-03-11,35.86,26.1256,3.57962,3.26292,-0.0217349,9.73439,0.385539
2025-03-12,36.01,26.2344,3.5838,3.26707,-0.0191877,9.77557,0.385539
2025-03-13,36.37,26.2542,3.59374,3.26783,-0.022269,10.1158,0.385539
2025-03-14,37.57,26.8082,3.62621,3.28871,-0.0139036,10.7618,0.385539
2025-03-17,38.9,27.4908,3.66099,3.31385,-0.0021733,11.4092,0.385539
2025-03-18,39.87,27.2237,3.68562,3.30409,-0.0214323,12.6463,0.385539
2025-03-19,41.02,27.5501,3.71406,3.31601,-0.0204754,13.4699,0.385539
2025-03-20,40.97,27.7578,3.71284,3.32352,-0.0124931,13.2122,0.385539
2025-03-21,40.77,27.6292,3.70795,3.31887,-0.0152501,13.1408,0.385539
2025-03-24,41.21,28.4008,3.71868,3.34642,0.00815544,12.8092,0.385539
2025-03-25,41.42,28.5196,3.72376,3.35059,0.0103669,12.9004,0.385539
2025-03-26,40.97,28.1733,3.71284,3.33838,0.00236388,12.7967,0.385539
2025-03-27,39.53,27.926,3.67706,3.32956,0.00734175,11.604,0.385539
2025-03-28,39.69,28.0645,3.6811,3.33451,0.0107315,11.6255,0.385539
2025-03-31,40.44,28.2228,3.69982,3.34013,0.00913802,12.2172,0.385539
2025-04-01,40.92,28.3217,3.71162,3.34363,0.00808778,12.5983,0.385539
2025-04-02,42,28.6086,3.73767,3.35371,0.00812248,13.3914,0.385539
2025-04-03,38.79,27.4215,3.65816,3.31133,-0.00360368,11.3685,0.385539
2025-04-04,33.46,25.0177,3.51035,3.21958,-0.0383615,8.44232,0.385539
2025-04-07,34.15,25.0968,3.53076,3.22274,-0.0430728,9.05319,0.385539
2025-04-08,32.24,24.9385,3.47321,3.21641,-0.0272099,7.30147,0.385539
2025-04-09,34.89,25.9673,3.5522,3.25684,-0.0172393,8.92266,0.385539
