Date,AR Raw Price,KMI Raw Price,AR Log Price,KMI Log Price,Residual,Spread,Beta
2025-04-10,31.92,25.5123,3.46323,3.23916,-0.000618011,6.40771,0.385539
2025-04-11,33.1,26.185,3.49953,3.26519,0.0114119,6.91503,0.385539
2025-04-14,33.23,26.5114,3.50345,3.27758,0.0222905,6.71859,0.385539
2025-04-15,33.1,26.9269,3.49953,3.29313,0.0393519,6.17311,0.385539
2025-04-16,34.3,26.6598,3.53515,3.28316,0.0156534,7.6402,0.385539
2025-04-17,34.42,26.8082,3.53864,3.28871,0.0198573,7.61181,0.385539
2025-04-21,32.06,25.5123,3.46761,3.23916,-0.00230529,6.54771,0.385539
2025-04-22,32.83,26.3136,3.49134,3.27008,0.0194689,6.51643,0.385539
2025-04-23,34.29,26.3136,3.53485,3.27008,0.00269368,7.97643,0.385539
2025-04-24,34.54,26.5807,3.54212,3.28018,0.00999226,7.95934,0.385539
2025-04-25,35.33,26.5609,3.56473,3.27944,0.00052891,8.76912,0.385539
2025-04-28,35.93,26.7785,3.58157,3.2876,0.00219666,9.15149,0.385539
2025-04-29,36.18,26.917,3.58851,3.29276,0.00468176,9.263,0.385539
2025-04-30,34.83,26.3,3.55048,3.26957,-0.00384629,8.53,0.385539
2025-05-01,34.65,26.3,3.5453,3.26957,-0.00184867,8.35,0.385539
2025-05-02,35.76,26.83,3.57683,3.28952,0.00594622,8.93,0.385539
2025-05-05,35.49,26.87,3.56925,3.29101,0.010358,8.62,0.385539
2025-05-06,35.5,27.21,3.56953,3.30358,0.0228234,8.29,0.385539
2025-05-07,36.71,27.62,3.60305,3.31854,0.0248572,9.09,0.385539
2025-05-08,37.39,27.04,3.6214,3.29732,-0.00344192,10.35,0.385539
2025-05-09,38.71,27.31,3.6561,3.30725,-0.00688242,11.4,0.385539
2025-05-12,39.4,27.31,3.67377,3.30725,-0.0136941,12.09,0.385539
2025-05-13,41.04,27.5,3.71455,3.31419,-0.0224838,13.54,0.385539
2025-05-14,40.5,27.46,3.7013,3.31273,-0.0188329,13.04,0.385539
2025-05-15,40.23,28,3.69461,3.3322,0.00322013,12.23,0.385539
2025-05-16,39.8,28.09,3.68387,3.33541,0.0105723,11.71,0.385539
2025-05-19,39.42,28,3.67427,3.3322,0.0110619,11.42,0.385539
2025-05-20,39.77,27.98,3.68311,3.33149,0.00693931,11.79,0.385539
2025-05-21,39.11,27.47,3.66638,3.31309,-0.00500431,11.64,0.385539
2025-05-22,39.05,27.34,3.66484,3.30835,-0.00915601,11.71,0.385539
2025-05-23,39.49,27.86,3.67605,3.32719,0.00536531,11.63,0.385539
2025-05-27,40.17,28.19,3.69312,3.33897,0.0105584,11.98,0.385539
2025-05-28,38.97,27.95,3.66279,3.33042,0.013701,11.02,0.385539
2025-05-29,38.84,27.92,3.65945,3.32934,0.0139153,10.92,0.385539
2025-05-30,37.45,28.04,3.62301,3.33363,0.0322547,9.41,0.385539
2025-06-02,38.65,28.65,3.65455,3.35515,0.0416161,10,0.385539
2025-06-03,38.36,28.56,3.64702,3.35201,0.0413735,9.8,0.385539
2025-06-04,37.3,28.03,3.61899,3.33328,0.0334453,9.27,0.385539
2025-06-05,37.19,28.24,3.61604,3.34074,0.042048,8.95,0.385539
2025-06-06,38.65,28.14,3.65455,3.33719,0.0236547,10.51,0.385539
2025-06-09,38.92,27.53,3.66151,3.31528,-0.000944865,11.39,0.385539
2025-06-10,38.39,27.38,3.6478,3.30981,-0.00112221,11.01,0.385539
2025-06-11,39.22,27.52,3.66919,3.31491,-0.00426859,11.7,0.385539
2025-06-12,40.04,27.66,3.68988,3.31999,-0.00717192,12.38,0.385539
2025-06-13,41.66,27.64,3.72954,3.31926,-0.0231867,14.02,0.385539
