Date,CVX Raw Price,ET Raw Price,CVX Log Price,ET Log Price,Residual,Spread,Beta
2025-05-08,135.391,17.042,4.90817,2.83568,-0.00595028,118.349,0.687739
2025-05-09,136.823,17.21,4.91869,2.84549,-0.00337945,119.613,0.687739
2025-05-12,139.916,17.44,4.94104,2.85877,-0.00547395,122.476,0.687739
2025-05-13,140.637,18,4.94618,2.89037,0.0225954,122.637,0.687739
2025-05-14,139.965,18.16,4.94139,2.89922,0.0347382,121.805,0.687739
2025-05-15,140.548,17.97,4.94555,2.8887,0.0213623,122.578,0.687739
2025-05-16,140.39,17.95,4.94442,2.88759,0.0210226,122.44,0.687739
2025-05-19,138.49,18,4.9308,2.89037,0.0331755,120.49,0.687739
2025-05-20,137.27,18.14,4.92195,2.89812,0.0470085,119.13,0.687739
2025-05-21,135.56,17.76,4.90941,2.87695,0.034459,117.8,0.687739
2025-05-22,135.29,17.88,4.90742,2.88368,0.0425641,117.41,0.687739
2025-05-23,136.54,17.85,4.91662,2.882,0.0345598,118.69,0.687739
2025-05-27,137.83,17.95,4.92602,2.88759,0.0336793,119.88,0.687739
2025-05-28,136.02,17.76,4.9128,2.87695,0.0321292,118.26,0.687739
2025-05-29,137.91,17.68,4.9266,2.87243,0.0181241,120.23,0.687739
2025-05-30,136.7,17.48,4.91779,2.86106,0.0128082,119.22,0.687739
2025-06-02,137.84,17.48,4.92609,2.86106,0.00709661,120.36,0.687739
2025-06-03,139.55,17.9,4.93842,2.8848,0.0223605,121.65,0.687739
2025-06-04,137.37,17.53,4.92268,2.86391,0.012302,119.84,0.687739
2025-06-05,136.9,17.67,4.91925,2.87187,0.0226137,119.23,0.687739
2025-06-06,140.21,17.93,4.94314,2.88648,0.0207901,122.28,0.687739
2025-06-09,140.76,17.71,4.94706,2.87413,0.00575179,123.05,0.687739
2025-06-10,143.35,17.99,4.96529,2.88982,0.00889891,125.36,0.687739
2025-06-11,144.78,18.25,4.97522,2.90417,0.0164214,126.53,0.687739
2025-06-12,144.97,18.45,4.97653,2.91506,0.0264187,126.52,0.687739
2025-06-13,145.91,18.32,4.98299,2.90799,0.0149027,127.59,0.687739
