Date,CVX Raw Price,ET Raw Price,CVX Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,143.354,19.0293,4.96532,2.94598,0.0650403,124.325,0.687739
2025-01-03,144.468,18.9617,4.97306,2.94242,0.0561592,125.507,0.687739
2025-01-06,143.892,18.9424,4.96906,2.9414,0.0578903,124.95,0.687739
2025-01-07,146.169,18.8169,4.98476,2.93475,0.0404458,127.352,0.687739
2025-01-08,146.862,19.0486,4.9895,2.94699,0.0494281,127.814,0.687739
2025-01-10,149.637,18.7493,5.00822,2.93116,0.0207173,130.888,0.687739
2025-01-13,151.797,18.7976,5.02254,2.93373,0.0134347,132.999,0.687739
2025-01-14,153.311,19.2417,5.03247,2.95708,0.0299581,134.07,0.687739
2025-01-15,154.709,19.3479,5.04154,2.96258,0.0292226,135.361,0.687739
2025-01-16,155.735,19.5506,5.04815,2.97301,0.0351012,136.184,0.687739
2025-01-17,157.777,19.5893,5.06118,2.97498,0.0281146,138.188,0.687739
2025-01-21,154.621,20.1878,5.04098,3.00508,0.0721107,134.433,0.687739
2025-01-22,152.833,20.1975,5.02934,3.00556,0.0805889,132.635,0.687739
2025-01-23,152.442,20.3327,5.02678,3.01223,0.0890197,132.109,0.687739
2025-01-24,152.09,20.323,5.02447,3.01175,0.0901335,131.767,0.687739
2025-01-27,153.634,19.1258,5.03457,2.95104,0.0224738,134.508,0.687739
2025-01-28,152.637,19.6472,5.02806,2.97793,0.0538441,132.99,0.687739
2025-01-29,152.129,19.821,5.02473,2.98674,0.0649436,132.308,0.687739
2025-01-30,152.745,20.352,5.02877,3.01318,0.0886037,132.393,0.687739
2025-01-31,145.778,19.7727,4.98208,2.9843,0.0918345,126.005,0.687739
2025-02-03,145.924,20.043,4.98309,2.99788,0.104723,125.881,0.687739
2025-02-04,149.716,20.0527,5.00874,2.99836,0.0875643,129.663,0.687739
2025-02-05,149.491,20.072,5.00724,2.99932,0.0895599,129.419,0.687739
2025-02-06,148.426,19.6665,5.00009,2.97892,0.0740685,128.759,0.687739
2025-02-07,149.129,19.5537,5.00481,2.97316,0.0650628,129.576,0.687739
2025-02-10,152.207,19.7106,5.02524,2.98116,0.0590087,132.497,0.687739
2025-02-11,153.839,19.4359,5.03591,2.96712,0.0376393,134.403,0.687739
2025-02-12,151.357,19.2789,5.01964,2.95901,0.0407157,132.078,0.687739
2025-02-13,152.315,19.4457,5.02595,2.96763,0.0449925,132.869,0.687739
2025-02-14,153.471,19.6125,5.03351,2.97617,0.0483336,133.858,0.687739
2025-02-18,154.281,19.9167,5.03877,2.99156,0.0601014,134.364,0.687739
2025-02-19,155.338,19.7401,5.0456,2.98265,0.0464987,135.598,0.687739
2025-02-20,156.879,19.5635,5.05548,2.97366,0.0307222,137.316,0.687739
2025-02-21,155.032,19.0239,5.04363,2.94569,0.010899,136.008,0.687739
2025-02-24,155.99,18.6118,5.04979,2.9238,-0.0152378,137.378,0.687739
2025-02-25,154.538,18.5627,5.04044,2.92116,-0.011444,135.975,0.687739
2025-02-26,153.273,18.7982,5.03222,2.93376,0.00681219,134.475,0.687739
2025-02-27,154.785,18.5824,5.04203,2.92221,-0.0114857,136.202,0.687739
2025-02-28,156.711,18.9257,5.0544,2.94052,-0.00168209,137.785,0.687739
2025-03-03,151.248,18.6707,5.01892,2.92695,0.00915247,132.577,0.687739
2025-03-04,150.171,18.1212,5.01177,2.89708,-0.0158022,132.05,0.687739
2025-03-05,148.995,17.8563,5.00391,2.88236,-0.0251229,131.139,0.687739
2025-03-06,151.109,17.3658,5.018,2.8545,-0.0626703,133.744,0.687739
2025-03-07,154.459,17.1303,5.03993,2.84085,-0.0913991,137.328,0.687739
2025-03-10,155.674,16.9341,5.04776,2.82933,-0.10831,138.74,0.687739
2025-03-11,152.226,17.4933,5.02537,2.86182,-0.060415,134.733,0.687739
2025-03-12,150.833,18.0526,5.01617,2.89329,-0.0226242,132.78,0.687739
2025-03-13,151.761,17.8269,5.02231,2.88071,-0.0394244,133.935,0.687739
2025-03-14,155.13,18.3763,5.04427,2.91106,-0.0241701,136.754,0.687739
2025-03-17,156.81,18.5431,5.05503,2.9201,-0.0225405,138.267,0.687739
2025-03-18,158.875,18.3273,5.06812,2.90839,-0.0432459,140.548,0.687739
2025-03-19,162.076,18.5824,5.08806,2.92221,-0.0431421,143.494,0.687739
2025-03-20,162.787,18.4941,5.09244,2.91745,-0.0509171,144.293,0.687739
2025-03-21,162.767,18.2488,5.09232,2.9041,-0.0641849,144.519,0.687739
2025-03-24,163.034,18.5235,5.09396,2.91904,-0.0503696,144.511,0.687739
2025-03-25,163.943,18.5235,5.09952,2.91904,-0.0541931,145.42,0.687739
2025-03-26,165.949,18.5725,5.11168,2.92168,-0.0599106,147.376,0.687739
2025-03-27,164.645,18.5235,5.10379,2.91904,-0.0571294,146.121,0.687739
2025-03-28,164.091,18.3567,5.10042,2.90999,-0.0638595,145.735,0.687739
2025-03-31,165.277,18.239,5.10762,2.90356,-0.0752448,147.038,0.687739
2025-04-01,166.482,18.3763,5.11489,2.91106,-0.0727395,148.106,0.687739
2025-04-02,164.467,18.5725,5.10271,2.92168,-0.0537414,145.894,0.687739
2025-04-03,154.241,17.3952,5.03852,2.85619,-0.0750851,136.846,0.687739
2025-04-04,141.556,15.8548,4.95269,2.76348,-0.10878,125.701,0.687739
2025-04-07,138.463,15.5703,4.93061,2.74537,-0.111698,122.893,0.687739
2025-04-08,135.282,15.3545,4.90736,2.73141,-0.109672,119.928,0.687739
2025-04-09,144.273,16.3552,4.97171,2.79455,-0.0907827,127.917,0.687739
2025-04-10,133.356,15.6096,4.89302,2.74788,-0.0833305,117.746,0.687739
2025-04-11,133.998,16.0216,4.89782,2.77394,-0.0605783,117.976,0.687739
2025-04-14,133.692,16.5024,4.89554,2.8035,-0.0294399,117.189,0.687739
2025-04-15,132.921,16.7869,4.88975,2.8206,-0.00836965,116.134,0.687739
2025-04-16,133.731,16.6005,4.89583,2.80943,-0.0237154,117.131,0.687739
2025-04-17,136.211,16.9439,4.9142,2.82991,-0.0158769,119.267,0.687739
2025-04-21,132.121,16.2473,4.88372,2.78793,-0.0368896,115.873,0.687739
2025-04-22,135.648,16.6594,4.91006,2.81297,-0.0299624,118.988,0.687739
2025-04-23,135.035,16.7771,4.90554,2.82001,-0.0198074,118.258,0.687739
2025-04-24,137.396,17.2578,4.92287,2.84827,-0.0034773,120.139,0.687739
2025-04-25,137.061,17.1205,4.92042,2.84028,-0.00978465,119.94,0.687739
2025-04-28,138.414,16.9537,4.93025,2.83049,-0.0263329,121.46,0.687739
2025-04-29,137.624,16.7182,4.92452,2.8165,-0.0363808,120.905,0.687739
2025-04-30,134.423,16.2277,4.90099,2.78672,-0.0499774,118.195,0.687739
2025-05-01,134.62,16.2179,4.90246,2.78611,-0.0515923,118.402,0.687739
2025-05-02,136.833,16.3552,4.91876,2.79455,-0.0543726,120.478,0.687739
2025-05-05,133.869,15.8843,4.89686,2.76533,-0.0685289,117.985,0.687739
2025-05-06,133.968,15.5115,4.8976,2.74158,-0.0927874,118.457,0.687739
2025-05-07,134.156,16.5711,4.899,2.80766,-0.0276713,117.585,0.687739
