Date,BP Raw Price,RRC Raw Price,BP Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,29.0449,35.8827,3.36884,3.58026,-0.0192009,6.83785,0.590452
2025-01-03,29.5689,35.7434,3.38672,3.57636,-0.0336501,6.17447,0.590452
2025-01-06,30.1026,36.6392,3.40461,3.60112,-0.0194591,6.53656,0.590452
2025-01-07,30.8887,36.6093,3.43039,3.6003,-0.0354947,5.72065,0.590452
2025-01-08,30.1997,37.3459,3.40783,3.62022,-0.002255,7.14622,0.590452
2025-01-10,30.3646,37.9929,3.41328,3.6374,0.011704,7.62823,0.590452
2025-01-13,30.2967,38.3114,3.41104,3.64575,0.0213752,8.01468,0.590452
2025-01-14,30.1706,39.4361,3.40687,3.67468,0.0527744,9.26559,0.590452
2025-01-15,30.3743,40.1429,3.4136,3.69244,0.0665612,9.76851,0.590452
2025-01-16,30.8402,41.0984,3.42882,3.71597,0.0810997,10.2582,0.590452
2025-01-17,30.7528,40.8794,3.42598,3.71063,0.0774318,10.1266,0.590452
2025-01-21,30.5878,40.7799,3.4206,3.70819,0.0781701,10.192,0.590452
2025-01-22,30.2094,40.8097,3.40815,3.70892,0.0862532,10.6004,0.590452
2025-01-23,30.5587,40.3718,3.41965,3.69813,0.0686745,9.81306,0.590452
2025-01-24,30.5199,39.9836,3.41838,3.68847,0.0597629,9.46368,0.590452
2025-01-27,30.5199,37.0971,3.41838,3.61354,-0.0151686,6.57714,0.590452
2025-01-28,30.2385,37.2264,3.40912,3.61702,-0.00621683,6.98796,0.590452
2025-01-29,30.2094,37.4156,3.40815,3.62209,-0.00058077,7.20619,0.590452
2025-01-30,30.6752,37.3957,3.42345,3.62155,-0.0101477,6.72048,0.590452
2025-01-31,30.1414,36.8681,3.4059,3.60735,-0.0139912,6.72667,0.590452
2025-02-03,29.9571,37.2663,3.39977,3.61809,0.000373026,7.3092,0.590452
2025-02-04,30.7043,37.5649,3.4244,3.62607,-0.00619313,6.86058,0.590452
2025-02-05,30.7334,38.7593,3.42535,3.65737,0.0245486,8.02589,0.590452
2025-02-06,31.0148,37.4554,3.43447,3.62315,-0.0150539,6.44055,0.590452
2025-02-07,31.3157,37.0771,3.44412,3.613,-0.0309032,5.76148,0.590452
2025-02-10,33.4021,39.5257,3.50862,3.67695,-0.00503606,6.12365,0.590452
2025-02-11,33.5282,39.3864,3.51239,3.67342,-0.0107937,5.85814,0.590452
2025-02-12,33.6544,38.3014,3.51614,3.64549,-0.0409438,4.64705,0.590452
2025-02-13,33.47,38.6199,3.51065,3.65377,-0.0294185,5.14994,0.590452
2025-02-14,33.9649,38.4906,3.52533,3.65041,-0.0414417,4.52562,0.590452
2025-02-18,34.2658,38.7394,3.53415,3.65686,-0.0402041,4.47364,0.590452
2025-02-19,33.5185,39.7148,3.5121,3.68173,-0.00231765,6.19632,0.590452
2025-02-20,33.6253,39.4859,3.51528,3.67594,-0.0099763,5.86063,0.590452
2025-02-21,33.3497,38.3014,3.50705,3.64549,-0.0355745,4.9517,0.590452
2025-02-24,33.2021,37.8137,3.50261,3.63267,-0.0457711,4.61158,0.590452
2025-02-25,32.7003,37.326,3.48738,3.61969,-0.0497598,4.62572,0.590452
2025-02-26,32.159,38.3711,3.47069,3.6473,-0.0122901,6.21208,0.590452
2025-02-27,32.592,36.2311,3.48407,3.58992,-0.0775741,3.63908,0.590452
2025-02-28,32.592,36.9477,3.48407,3.6095,-0.0579871,4.35573,0.590452
2025-03-03,31.3029,36.6292,3.44371,3.60085,-0.0428165,5.32633,0.590452
2025-03-04,30.9388,37.6843,3.43201,3.62924,-0.00751112,6.74551,0.590452
2025-03-05,31.3718,37.3558,3.44591,3.62049,-0.0244717,5.98406,0.590452
2025-03-06,31.2045,35.2158,3.44056,3.5615,-0.0803086,4.01133,0.590452
2025-03-07,31.5588,35.0566,3.45185,3.55696,-0.0915067,3.49781,0.590452
2025-03-10,31.6965,36.2908,3.45621,3.59156,-0.059477,4.59429,0.590452
2025-03-11,31.4702,37.2762,3.44904,3.61836,-0.0284547,5.80603,0.590452
2025-03-12,31.6867,37.4255,3.4559,3.62235,-0.0285054,5.73884,0.590452
2025-03-13,31.854,37.2862,3.46116,3.61862,-0.0353449,5.4322,0.590452
2025-03-14,32.8577,38.234,3.49219,3.64373,-0.0285596,5.37632,0.590452
2025-03-17,33.2218,38.8826,3.50321,3.66055,-0.0182462,5.66077,0.590452
2025-03-18,33.6745,39.5511,3.51674,3.67759,-0.00919072,5.87659,0.590452
2025-03-19,34.0583,40.4191,3.52807,3.6993,0.00582824,6.36086,0.590452
2025-03-20,34.196,40.1797,3.53211,3.69336,-0.0024974,5.98363,0.590452
2025-03-21,33.9992,39.7905,3.52634,3.68363,-0.00882114,5.79132,0.590452
2025-03-24,33.5662,40.5788,3.51352,3.70324,0.0183623,7.01253,0.590452
2025-03-25,33.7434,40.05,3.51878,3.69013,0.0021373,6.30659,0.590452
2025-03-26,33.8713,39.7506,3.52257,3.68263,-0.00759873,5.87934,0.590452
2025-03-27,33.8615,38.703,3.52228,3.65592,-0.0341362,4.84153,0.590452
2025-03-28,33.3202,39.1021,3.50616,3.66618,-0.0143633,5.78186,0.590452
2025-03-31,33.2513,39.8404,3.50409,3.68488,0.00556505,6.58909,0.590452
2025-04-01,33.271,40.1298,3.50469,3.69212,0.0124521,6.85876,0.590452
2025-04-02,33.271,40.5189,3.50469,3.70177,0.022102,7.24788,0.590452
2025-04-03,30.8404,37.9846,3.42883,3.63718,0.00230677,7.14421,0.590452
2025-04-04,27.9276,33.375,3.32961,3.50781,-0.0684889,5.44738,0.590452
2025-04-07,26.7369,33.4348,3.28604,3.5096,-0.0409701,6.69796,0.590452
2025-04-08,25.6938,32.028,3.24625,3.46661,-0.0604609,6.33422,0.590452
2025-04-09,27.4552,34.4825,3.31256,3.54045,-0.0257717,7.02724,0.590452
2025-04-10,25.8119,32.1777,3.25083,3.47127,-0.0585062,6.3658,0.590452
2025-04-11,26.1661,33.3151,3.26447,3.50601,-0.0318165,7.14898,0.590452
2025-04-14,26.481,33.3849,3.27643,3.5081,-0.0367858,6.90392,0.590452
2025-04-15,26.7762,33.2652,3.28751,3.50451,-0.0469246,6.48898,0.590452
2025-04-16,27.2191,34.0235,3.30392,3.52705,-0.0340703,6.80445,0.590452
2025-04-17,27.8685,34.1033,3.3275,3.52939,-0.0456503,6.23479,0.590452
2025-04-21,27.6324,32.5468,3.31899,3.48268,-0.0873403,4.91446,0.590452
2025-04-22,28.4098,33.2153,3.34673,3.50301,-0.0833912,4.80555,0.590452
2025-04-23,28.1441,33.9736,3.33734,3.52558,-0.0552702,5.82954,0.590452
2025-04-24,28.5377,33.784,3.35123,3.51999,-0.0690666,5.24635,0.590452
2025-04-25,28.7247,34.712,3.35776,3.54708,-0.0458269,5.98729,0.590452
2025-04-28,28.6656,35.1709,3.3557,3.56022,-0.0314764,6.5053,0.590452
2025-04-29,27.6225,35.0213,3.31863,3.55596,-0.0138545,7.39874,0.590452
2025-04-30,27.0222,33.8539,3.29666,3.52205,-0.0347831,6.83164,0.590452
2025-05-01,27.4355,34.1432,3.31184,3.53056,-0.0352349,6.70769,0.590452
2025-05-02,27.6717,34.9315,3.32041,3.55339,-0.0174727,7.25974,0.590452
2025-05-05,28.7148,34.9814,3.35741,3.55482,-0.0378936,6.26653,0.590452
2025-05-06,27.9473,34.9514,3.33032,3.55396,-0.0227518,7.00416,0.590452
2025-05-07,27.6816,35.7396,3.32077,3.57626,0.00519017,8.05808,0.590452
2025-05-08,28.1342,36.6476,3.33699,3.60135,0.0207001,8.51337,0.590452
2025-05-09,29.2954,37.7751,3.37743,3.63165,0.0271212,8.47965,0.590452
2025-05-12,29.7087,38.9125,3.39144,3.66132,0.0485157,9.20379,0.590452
2025-05-13,30.0728,40.5289,3.40362,3.70201,0.0820221,10.4561,0.590452
2025-05-14,29.876,40.3293,3.39706,3.69708,0.0809632,10.4533,0.590452
2025-05-15,29.63,40.2096,3.38879,3.69411,0.0828721,10.5796,0.590452
2025-05-16,29.76,40.03,3.39317,3.68963,0.0758107,10.27,0.590452
2025-05-19,29.4,39.3415,3.38099,3.67228,0.0656489,9.94155,0.590452
2025-05-20,29.2,39.6309,3.37417,3.67961,0.0770072,10.4309,0.590452
2025-05-21,28.88,39.2318,3.36315,3.66949,0.073392,10.3518,0.590452
2025-05-22,28.94,39.3216,3.36522,3.67177,0.0744529,10.3816,0.590452
2025-05-23,29.09,39.4613,3.37039,3.67532,0.0749465,10.3713,0.590452
2025-05-27,29.15,39.7207,3.37245,3.68187,0.0802824,10.5707,0.590452
2025-05-28,28.94,39.2518,3.36522,3.67,0.0726752,10.3118,0.590452
2025-05-29,29.17,39.122,3.37314,3.66669,0.064691,9.95204,0.590452
2025-05-30,29.1,37.9547,3.37074,3.63639,0.0358161,8.85467,0.590452
2025-06-02,29.58,38.8327,3.3871,3.65926,0.0490262,9.25269,0.590452
2025-06-03,29.56,38.9524,3.38642,3.66234,0.0525041,9.39242,0.590452
2025-06-04,28.92,37.6254,3.36453,3.62768,0.0307668,8.7054,0.590452
2025-06-05,29.05,37.3161,3.36902,3.61942,0.019864,8.2661,0.590452
2025-06-06,29.29,38.3039,3.37725,3.64555,0.0411322,9.01388,0.590452
2025-06-09,29.46,38.7229,3.38303,3.65643,0.0485961,9.26294,0.590452
2025-06-10,30.23,38.6431,3.40883,3.65437,0.0312981,8.41312,0.590452
2025-06-11,30.81,39.2418,3.42784,3.66974,0.0354501,8.43178,0.590452
2025-06-12,30.92,40.03,3.4314,3.68963,0.053233,9.11,0.590452
2025-06-13,31.72,41.39,3.45695,3.72304,0.0715606,9.67,0.590452
