Date,SHEL Raw Price,ENB Raw Price,SHEL Log Price,ENB Log Price,Residual,Spread,Beta
2025-02-28,66.7433,42.73,4.20085,3.7549,-0.0393939,24.0133,0.182267
2025-03-03,65.7539,42.67,4.18592,3.7535,-0.038077,23.0839,0.182267
2025-03-04,65.4966,41.55,4.182,3.7269,-0.0639611,23.9466,0.182267
2025-03-05,65.3977,42.49,4.18049,3.74927,-0.0413142,22.9077,0.182267
2025-03-06,65.3087,41.6,4.17912,3.7281,-0.0622346,23.7087,0.182267
2025-03-07,66.0804,42,4.19087,3.73767,-0.0548062,24.0804,0.182267
2025-03-10,66.0804,42.68,4.19087,3.75373,-0.0387454,23.4004,0.182267
2025-03-11,66.1002,42.3,4.19117,3.74479,-0.0477433,23.8002,0.182267
2025-03-12,66.6641,42.54,4.19967,3.75044,-0.043634,24.1241,0.182267
2025-03-13,67.0203,42.55,4.205,3.75068,-0.0443702,24.4703,0.182267
2025-03-14,68.0393,42.83,4.22009,3.75724,-0.0405618,25.2093,0.182267
2025-03-17,69.3552,43.5,4.23924,3.77276,-0.028531,25.8552,0.182267
2025-03-18,70.216,43.41,4.25158,3.77069,-0.0328503,26.806,0.182267
2025-03-19,70.7601,43.75,4.2593,3.77849,-0.0264556,27.0101,0.182267
2025-03-20,71.1855,44.23,4.26529,3.7894,-0.0166365,26.9555,0.182267
2025-03-21,70.2555,43.87,4.25214,3.78123,-0.0224121,26.3855,0.182267
2025-03-24,70.5227,44.26,4.25593,3.79008,-0.0142533,26.2627,0.182267
2025-03-25,71.2647,44.42,4.2664,3.79369,-0.0125526,26.8447,0.182267
2025-03-26,72.2541,44.52,4.28019,3.79594,-0.0128168,27.7341,0.182267
2025-03-27,72.5113,44.36,4.28374,3.79234,-0.0170649,28.1513,0.182267
2025-03-28,71.9573,44.46,4.27607,3.79459,-0.0134152,27.4973,0.182267
2025-03-31,72.5014,44.31,4.28361,3.79121,-0.0181678,28.1914,0.182267
2025-04-01,72.2739,44.57,4.28046,3.79706,-0.0117443,27.7039,0.182267
2025-04-02,71.9474,45.14,4.27593,3.80977,0.00178872,26.8074,0.182267
2025-04-03,69.0287,45.34,4.23452,3.81419,0.0137578,23.6887,0.182267
2025-04-04,63.4486,43.35,4.15023,3.76931,-0.0157616,20.0986,0.182267
2025-04-07,61.6579,41.95,4.1216,3.73648,-0.0433715,19.7079,0.182267
2025-04-08,59.1152,41.09,4.07949,3.71576,-0.0564093,18.0252,0.182267
2025-04-09,63.2112,41.77,4.14648,3.73218,-0.0522065,21.4412,0.182267
2025-04-10,59.1449,41.82,4.07999,3.73337,-0.0388909,17.3249,0.182267
2025-04-11,61.4303,43.24,4.1179,3.76677,-0.01241,18.1903,0.182267
2025-04-14,61.8755,44.02,4.12512,3.78464,0.00415183,17.8555,0.182267
2025-04-15,62.113,44.28,4.12895,3.79053,0.0093427,17.833,0.182267
2025-04-16,63.3497,44.57,4.14867,3.79706,0.0122772,18.7797,0.182267
2025-04-17,64.349,45.37,4.16432,3.81485,0.0272146,18.979,0.182267
2025-04-21,63.9631,44.99,4.15831,3.80644,0.0199001,18.9731,0.182267
2025-04-22,64.4776,45.64,4.16632,3.82078,0.0327841,18.8376,0.182267
2025-04-23,63.8246,45.61,4.15614,3.82013,0.0339819,18.2146,0.182267
2025-04-24,64.3589,46.36,4.16447,3.83644,0.0487726,17.9989,0.182267
2025-04-25,65.1603,46.19,4.17685,3.83276,0.0428433,18.9703,0.182267
2025-04-28,65.3186,46.64,4.17928,3.84246,0.0520963,18.6786,0.182267
2025-04-29,64.814,46.64,4.17152,3.84246,0.0535097,18.174,0.182267
2025-04-30,63.7949,46.69,4.15567,3.84353,0.0574697,17.1049,0.182267
2025-05-01,64.1115,46.48,4.16062,3.83902,0.0520595,17.6315,0.182267
2025-05-02,65.932,46.86,4.18862,3.84716,0.0550985,19.072,0.182267
2025-05-05,64.4281,46.59,4.16555,3.84139,0.0535254,17.8381,0.182267
2025-05-06,64.4083,46.16,4.16524,3.83211,0.0443091,18.2483,0.182267
2025-05-07,64.3589,46.69,4.16447,3.84353,0.0558655,17.6689,0.182267
2025-05-08,64.3885,45.78,4.16494,3.82385,0.0360988,18.6085,0.182267
2025-05-09,65.4472,46.1,4.18124,3.83081,0.0400921,19.3472,0.182267
2025-05-12,65.6747,44.55,4.18471,3.79661,0.00525867,21.1247,0.182267
2025-05-13,66.8917,44.57,4.20307,3.79706,0.00236106,22.3217,0.182267
2025-05-14,66.3772,44.87,4.19535,3.80377,0.0104768,21.5072,0.182267
2025-05-15,66.674,44.92,4.19982,3.80488,0.0107772,21.754,0.182267
2025-05-16,66.62,44.85,4.199,3.80332,0.00936536,21.77,0.182267
2025-05-19,66.67,44.94,4.19976,3.80533,0.0112333,21.73,0.182267
2025-05-20,66.62,45.61,4.199,3.82013,0.0261688,21.01,0.182267
2025-05-21,66.36,45.57,4.19509,3.81925,0.0260041,20.79,0.182267
2025-05-22,65.95,45.17,4.1889,3.81043,0.0183173,20.78,0.182267
2025-05-23,66.3,46.06,4.19419,3.82994,0.0368643,20.24,0.182267
2025-05-27,66.69,46.04,4.20006,3.82951,0.035361,20.65,0.182267
2025-05-28,66.04,45.57,4.19026,3.81925,0.0268852,20.47,0.182267
2025-05-29,66.44,45.85,4.1963,3.82538,0.0319101,20.59,0.182267
2025-05-30,66.22,46.48,4.19298,3.83902,0.0461616,19.74,0.182267
2025-06-02,67.45,47.16,4.21139,3.85355,0.0573311,20.29,0.182267
2025-06-03,67.83,47.07,4.217,3.85164,0.0543969,20.76,0.182267
2025-06-04,67.27,46.66,4.20871,3.84289,0.0471594,20.61,0.182267
2025-06-05,67.53,46.87,4.21257,3.84738,0.0509468,20.66,0.182267
2025-06-06,68.02,46.52,4.2198,3.83988,0.0421336,21.5,0.182267
2025-06-09,68.26,45.82,4.22332,3.82472,0.0263299,22.44,0.182267
2025-06-10,70.05,45.85,4.24921,3.82538,0.0222663,24.2,0.182267
2025-06-11,71.02,45.87,4.26296,3.82581,0.0201959,25.15,0.182267
2025-06-12,71.44,46.81,4.26886,3.8461,0.0394067,24.63,0.182267
2025-06-13,72.54,46.67,4.28414,3.8431,0.0336263,25.87,0.182267
