Date,SHEL Raw Price,ENB Raw Price,SHEL Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,61.7661,42.98,4.12335,3.76073,-0.0194347,18.7861,0.182267
2025-01-03,63.1561,43.09,4.14561,3.76329,-0.0209349,20.0661,0.182267
2025-01-06,63.3812,42.99,4.14917,3.76097,-0.0239069,20.3912,0.182267
2025-01-07,64.5363,43.64,4.16723,3.77597,-0.012192,20.8963,0.182267
2025-01-08,63.3518,44.02,4.1487,3.78464,-0.0001459,19.3318,0.182267
2025-01-10,63.5672,43.48,4.1521,3.7723,-0.0131074,20.0872,0.182267
2025-01-13,63.5868,43.4,4.15241,3.77046,-0.0150052,20.1868,0.182267
2025-01-14,64.5167,44.07,4.16692,3.78578,-0.00233162,20.4467,0.182267
2025-01-15,64.9572,44.33,4.17373,3.79166,0.00231061,20.6272,0.182267
2025-01-16,65.0453,44.03,4.17508,3.78487,-0.00472692,21.0153,0.182267
2025-01-17,65.3096,44.51,4.17914,3.79571,0.00537665,20.7996,0.182267
2025-01-21,65.3585,45.31,4.17989,3.81353,0.0230541,20.0485,0.182267
2025-01-22,64.5558,44.76,4.16753,3.80131,0.0130934,19.7958,0.182267
2025-01-23,65.2508,44.86,4.17824,3.80355,0.0133733,20.3908,0.182267
2025-01-24,64.0077,45.06,4.159,3.80799,0.0213278,18.9477,0.182267
2025-01-27,63.763,44.7,4.15517,3.79997,0.0140045,19.063,0.182267
2025-01-28,63.2148,44.46,4.14654,3.79459,0.0101946,18.7548,0.182267
2025-01-29,63.4106,44.26,4.14963,3.79008,0.00512244,19.1506,0.182267
2025-01-30,65.241,44.5,4.17809,3.79549,0.00534332,20.741,0.182267
2025-01-31,64.458,43.24,4.16601,3.76677,-0.0211788,21.218,0.182267
2025-02-03,63.7923,42.92,4.15563,3.75934,-0.026715,20.8723,0.182267
2025-02-04,65.2215,43.72,4.17779,3.77781,-0.0122855,21.5015,0.182267
2025-02-05,65.1236,43.93,4.17629,3.7826,-0.00721992,21.1936,0.182267
2025-02-06,64.7614,44.2,4.17071,3.78872,-7.61015e-05,20.5614,0.182267
2025-02-07,64.4971,44.45,4.16662,3.79436,0.00630944,20.0471,0.182267
2025-02-10,64.732,44.81,4.17026,3.80243,0.0137131,19.922,0.182267
2025-02-11,65.9556,45.25,4.18898,3.8122,0.0200713,20.7056,0.182267
2025-02-12,65.3487,45.1,4.17974,3.80888,0.0184358,20.2487,0.182267
2025-02-13,65.9458,45.45,4.18883,3.81661,0.0245085,20.4958,0.182267
2025-02-14,66.4168,43.07,4.19595,3.76283,-0.0305746,23.3468,0.182267
2025-02-18,67.0994,42.75,4.20618,3.75537,-0.039896,24.3494,0.182267
2025-02-19,66.8818,42.31,4.20293,3.74502,-0.0496495,24.5718,0.182267
2025-02-20,67.6535,41.98,4.2144,3.73719,-0.0595707,25.6735,0.182267
2025-02-21,65.9913,41.78,4.18952,3.73242,-0.0598123,24.2113,0.182267
2025-02-24,66.1793,41.54,4.19237,3.72666,-0.0660917,24.6393,0.182267
2025-02-25,66.1892,41.65,4.19252,3.7293,-0.0634743,24.5392,0.182267
2025-02-26,66.6839,41.75,4.19996,3.7317,-0.0624335,24.9339,0.182267
2025-02-27,66.5553,41.73,4.19803,3.73122,-0.0625607,24.8253,0.182267
