Date,EOG Raw Price,ENB Raw Price,EOG Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,122.706,42.98,4.80979,3.76073,-0.0277395,79.7259,-0.184859
2025-01-03,124.536,43.09,4.82459,3.76329,-0.0224467,81.446,-0.184859
2025-01-06,124.359,42.99,4.82317,3.76097,-0.0250332,81.3689,-0.184859
2025-01-07,125.51,43.64,4.83239,3.77597,-0.00832323,81.8701,-0.184859
2025-01-08,126.396,44.02,4.83942,3.78464,0.00164642,82.3756,-0.184859
2025-01-10,129.298,43.48,4.86212,3.7723,-0.00649947,85.8182,-0.184859
2025-01-13,132.329,43.4,4.88529,3.77046,-0.0040583,88.9287,-0.184859
2025-01-14,133.588,44.07,4.89476,3.78578,0.0130126,89.5182,-0.184859
2025-01-15,134.857,44.33,4.90422,3.79166,0.0206431,90.5274,-0.184859
2025-01-16,135.832,44.03,4.91142,3.78487,0.0151831,91.8015,-0.184859
2025-01-17,135.341,44.51,4.9078,3.79571,0.025357,90.831,-0.184859
2025-01-21,134.806,45.31,4.90384,3.81353,0.0424386,89.4959,-0.184859
2025-01-22,132.804,44.76,4.88888,3.80131,0.0274602,88.0442,-0.184859
2025-01-23,132.765,44.86,4.88858,3.80355,0.0296367,87.9046,-0.184859
2025-01-24,130.624,45.06,4.87232,3.80799,0.0310806,85.5642,-0.184859
2025-01-27,130.763,44.7,4.87339,3.79997,0.0232553,86.0629,-0.184859
2025-01-28,129.068,44.46,4.86034,3.79459,0.0154605,84.6084,-0.184859
2025-01-29,129.049,44.26,4.86019,3.79008,0.0109236,84.7886,-0.184859
2025-01-30,128.603,44.5,4.85673,3.79549,0.0156916,84.1027,-0.184859
2025-01-31,124.649,43.24,4.8255,3.76677,-0.0188041,81.4089,-0.184859
2025-02-03,125.253,42.92,4.83034,3.75934,-0.025338,82.3334,-0.184859
2025-02-04,126.958,43.72,4.84385,3.77781,-0.00437168,83.2378,-0.184859
2025-02-05,126.542,43.93,4.84057,3.7826,-0.000186896,82.6116,-0.184859
2025-02-06,125.531,44.2,4.83255,3.78872,0.00445797,81.3308,-0.184859
2025-02-07,125.352,44.45,4.83113,3.79436,0.00983529,80.9025,-0.184859
2025-02-10,129.376,44.81,4.86272,3.80243,0.0237415,84.5656,-0.184859
2025-02-11,131.09,45.25,4.87588,3.8122,0.0359462,85.8399,-0.184859
2025-02-12,127.671,45.1,4.84946,3.80888,0.0277408,82.5712,-0.184859
2025-02-13,127.85,45.45,4.85085,3.81661,0.0357295,82.3996,-0.184859
2025-02-14,128.137,43.07,4.8531,3.76283,-0.0176416,85.067,-0.184859
2025-02-18,129.752,42.75,4.86563,3.75537,-0.0227834,87.0022,-0.184859
2025-02-19,133.31,42.31,4.89267,3.74502,-0.0281291,90.9996,-0.184859
2025-02-20,134.439,41.98,4.90111,3.73719,-0.0343994,92.4593,-0.184859
2025-02-21,131.873,41.78,4.88184,3.73242,-0.0427381,90.0928,-0.184859
2025-02-24,132.418,41.54,4.88596,3.72666,-0.0477366,90.8778,-0.184859
2025-02-25,130.129,41.65,4.86852,3.7293,-0.0483155,88.4787,-0.184859
2025-02-26,128.662,41.75,4.85719,3.7317,-0.0480127,86.9122,-0.184859
2025-02-27,129.425,41.73,4.8631,3.73122,-0.0473988,87.6952,-0.184859
