Date,AR Raw Price,RRC Raw Price,AR Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,35.57,35.8827,3.5715,3.58026,0.00656335,0.31271,0.904289
2025-01-03,34.94,35.7434,3.55363,3.57636,0.0188322,0.80336,0.904289
2025-01-06,36.01,36.6392,3.5838,3.60112,0.0163088,0.629189,0.904289
2025-01-07,36.68,36.6093,3.60223,3.6003,-0.00117727,0.0706787,0.904289
2025-01-08,37.86,37.3459,3.6339,3.62022,-0.00989026,0.514111,0.904289
2025-01-10,38.32,37.9929,3.64597,3.6374,-0.00363541,0.327126,0.904289
2025-01-13,38.3,38.3114,3.64545,3.64575,0.00518541,0.0113945,0.904289
2025-01-14,38.59,39.4361,3.65299,3.67468,0.0272995,0.846146,0.904289
2025-01-15,40.23,40.1429,3.69461,3.69244,0.00742483,0.0871468,0.904289
2025-01-16,40.57,41.0984,3.70303,3.71597,0.0233391,0.528397,0.904289
2025-01-17,40.46,40.8794,3.70031,3.71063,0.0204519,0.419418,0.904289
2025-01-21,39.93,40.7799,3.68713,3.70819,0.029938,0.849884,0.904289
2025-01-22,40.74,40.8097,3.70721,3.70892,0.0125095,0.0697403,0.904289
2025-01-23,40.55,40.3718,3.70254,3.69813,0.00594706,0.178215,0.904289
2025-01-24,40.15,39.9836,3.69262,3.68847,0.00524951,0.166412,0.904289
2025-01-27,36.35,37.0971,3.59319,3.61354,0.0202299,0.747055,0.904289
2025-01-28,37.22,37.2264,3.61685,3.61702,0.00232346,0.00644684,0.904289
2025-01-29,37.35,37.4156,3.62033,3.62209,0.00423791,0.065567,0.904289
2025-01-30,37.85,37.3957,3.63363,3.62155,-0.00831953,0.454338,0.904289
2025-01-31,37.32,36.8681,3.61953,3.60735,-0.00977512,0.451881,0.904289
2025-02-03,38.33,37.2663,3.64623,3.61809,-0.0231816,1.06374,0.904289
2025-02-04,38.73,37.5649,3.65661,3.62607,-0.0245886,1.16513,0.904289
2025-02-05,39.6,38.7593,3.67883,3.65737,-0.0133756,0.840698,0.904289
2025-02-06,38.3,37.4554,3.64545,3.62315,-0.0174116,0.84462,0.904289
2025-02-07,37.85,37.0771,3.63363,3.613,-0.0168736,0.772858,0.904289
2025-02-10,40.02,39.5257,3.68938,3.67695,-0.0033351,0.494274,0.904289
2025-02-11,40.02,39.3864,3.68938,3.67342,-0.0068669,0.633625,0.904289
2025-02-12,39.38,38.3014,3.67326,3.64549,-0.0202212,1.07856,0.904289
2025-02-13,40.15,38.6199,3.69262,3.65377,-0.0294506,1.53005,0.904289
2025-02-14,39.84,38.4906,3.68487,3.65041,-0.0257976,1.34945,0.904289
2025-02-18,39.74,38.7394,3.68236,3.65686,-0.0170807,1.00061,0.904289
2025-02-19,40.35,39.7148,3.69759,3.68173,-0.00598778,0.635151,0.904289
2025-02-20,39.51,39.4859,3.67655,3.67594,0.00725513,0.024086,0.904289
2025-02-21,38.15,38.3014,3.64153,3.64549,0.008474,0.151436,0.904289
2025-02-24,37.9,37.8137,3.63495,3.63267,0.00160367,0.0862923,0.904289
2025-02-25,37.35,37.326,3.62033,3.61969,0.00184083,0.0240135,0.904289
2025-02-26,37.04,38.3711,3.612,3.6473,0.0369927,1.33111,0.904289
2025-02-27,35.58,36.2311,3.57178,3.58992,0.0159712,0.651089,0.904289
2025-02-28,36.7,36.9477,3.60278,3.6095,0.00753154,0.247746,0.904289
2025-03-03,36.15,36.6292,3.58768,3.60085,0.012528,0.479229,0.904289
2025-03-04,36.52,37.6843,3.59786,3.62924,0.0317169,1.16431,0.904289
2025-03-05,36.38,37.3558,3.59402,3.62049,0.0264356,0.975842,0.904289
