Date,OXY Raw Price,MUR Raw Price,OXY Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,49.2819,30.1631,3.89756,3.40662,0.0641778,19.1188,1.44265
2025-01-03,49.9745,30.0559,3.91151,3.40306,0.0404856,19.9186,1.44265
2025-01-06,50.2317,29.9682,3.91665,3.40014,0.0301569,20.2635,1.44265
2025-01-07,51.0034,30.8256,3.93189,3.42834,0.0363684,20.1779,1.44265
2025-01-08,50.6472,31.9265,3.92488,3.46344,0.0815699,18.7208,1.44265
2025-01-10,50.7561,32.3746,3.92703,3.47738,0.0924128,18.3814,1.44265
2025-01-13,52.1214,32.9592,3.95358,3.49527,0.0720123,19.1623,1.44265
2025-01-14,51.5278,33.0274,3.94212,3.49734,0.0906047,18.5004,1.44265
2025-01-15,52.1412,32.5987,3.95396,3.48427,0.0604673,19.5425,1.44265
2025-01-16,51.7455,32.1993,3.94634,3.47194,0.05913,19.5462,1.44265
2025-01-17,51.419,31.4101,3.94001,3.44713,0.0434479,20.0089,1.44265
2025-01-21,50.014,30.6794,3.9123,3.42359,0.0598767,19.3346,1.44265
2025-01-22,49.6677,30.0656,3.90536,3.40338,0.0496911,19.6021,1.44265
2025-01-23,49.8063,29.6175,3.90814,3.38836,0.0306549,20.1888,1.44265
2025-01-24,48.7674,28.9745,3.88706,3.36642,0.0391147,19.7929,1.44265
2025-01-27,49.0345,28.7894,3.89252,3.36001,0.0248244,20.2452,1.44265
2025-01-28,48.4805,28.4484,3.88116,3.34809,0.0293035,20.0321,1.44265
2025-01-29,48.3123,28.4289,3.87769,3.34741,0.033632,19.8834,1.44265
2025-01-30,48.4013,26.7629,3.87953,3.28702,-0.0294134,21.6384,1.44265
2025-01-31,46.1554,25.9445,3.83201,3.25596,0.00807564,20.2109,1.44265
2025-02-03,45.8784,24.8923,3.82599,3.21456,-0.0246403,20.986,1.44265
2025-02-04,47.0854,25.7886,3.85196,3.24993,-0.0267312,21.2968,1.44265
2025-02-05,46.8579,25.9932,3.84712,3.25784,-0.0118398,20.8646,1.44265
2025-02-06,46.4819,25.623,3.83906,3.24349,-0.0145631,20.8589,1.44265
2025-02-07,46.284,26.1296,3.8348,3.26307,0.0111706,20.1544,1.44265
2025-02-10,47.867,27.3085,3.86843,3.3072,0.00678054,20.5586,1.44265
2025-02-11,48.0946,27.9905,3.87317,3.33186,0.0246048,20.1041,1.44265
2025-02-12,47.3229,26.9675,3.85699,3.29463,0.0107098,20.3554,1.44265
2025-02-13,47.3723,27.2013,3.85804,3.30327,0.0178355,20.171,1.44265
2025-02-14,47.5504,27.5326,3.86179,3.31537,0.0245264,20.0179,1.44265
2025-02-18,48.3222,27.7839,3.87789,3.32446,0.0103875,20.5383,1.44265
2025-02-19,50.4494,27.981,3.92097,3.33153,-0.0446923,22.4684,1.44265
2025-02-20,51.5377,27.7938,3.94231,3.32481,-0.0821983,23.744,1.44265
2025-02-21,49.8854,26.9166,3.90973,3.29274,-0.0672585,22.9688,1.44265
2025-02-24,49.3313,27.3108,3.89856,3.30728,-0.0366053,22.0205,1.44265
2025-02-25,48.3716,27.2615,3.87891,3.30548,-0.0100687,21.1101,1.44265
2025-02-26,48.0352,26.542,3.87193,3.27873,-0.0267473,21.4932,1.44265
2025-02-27,48.1342,26.3351,3.87399,3.2709,-0.0375443,21.7991,1.44265
2025-02-28,48.3222,26.1084,3.87789,3.26226,-0.0518125,22.2138,1.44265
2025-03-03,45.9575,24.1076,3.82772,3.18253,-0.0591583,21.8499,1.44265
2025-03-04,46.0367,24.0781,3.82944,3.1813,-0.062868,21.9586,1.44265
2025-03-05,45.0275,23.674,3.80727,3.16438,-0.0478164,21.3535,1.44265
2025-03-06,45.2253,23.812,3.81166,3.17019,-0.0483309,21.4134,1.44265
2025-03-07,46.7391,24.9947,3.84458,3.21866,-0.0473539,21.7445,1.44265
2025-03-10,47.0971,25.2805,3.85221,3.23003,-0.0469915,21.8166,1.44265
2025-03-11,46.0231,24.8862,3.82914,3.21432,-0.0294296,21.1369,1.44265
2025-03-12,45.8441,24.768,3.82525,3.20955,-0.0285716,21.0761,1.44265
2025-03-13,45.1977,24.5216,3.81105,3.19955,-0.0180838,20.6762,1.44265
2025-03-14,46.2717,25.6649,3.83453,3.24512,-0.00639403,20.6069,1.44265
2025-03-17,46.9977,26.2759,3.8501,3.26865,-0.0053213,20.7217,1.44265
2025-03-18,47.3855,25.724,3.85832,3.24742,-0.0384067,21.6615,1.44265
2025-03-19,47.6938,26.7096,3.8648,3.28502,-0.0101633,20.9842,1.44265
2025-03-20,47.6938,26.4435,3.8648,3.27501,-0.0201763,21.2503,1.44265
2025-03-21,47.6739,26.3154,3.86438,3.27015,-0.0244318,21.3586,1.44265
2025-03-24,47.654,26.8673,3.86397,3.29091,-0.00307292,20.7867,1.44265
2025-03-25,48.738,27.3404,3.88646,3.30836,-0.0180653,21.3976,1.44265
2025-03-26,49.4739,27.9416,3.90144,3.33012,-0.0179334,21.5323,1.44265
2025-03-27,49.2352,28.0894,3.89661,3.33539,-0.0056799,21.1458,1.44265
2025-03-28,48.559,27.9613,3.88278,3.33082,0.00969972,20.5977,1.44265
2025-03-31,49.086,27.9909,3.89357,3.33188,-0.00481748,21.0952,1.44265
2025-04-01,48.917,28.3358,3.89012,3.34413,0.0124084,20.5811,1.44265
2025-04-02,49.0562,28.7892,3.89297,3.36,0.0241815,20.267,1.44265
2025-04-03,43.6563,25.0439,3.77635,3.22063,0.0530526,18.6124,1.44265
2025-04-04,40.315,21.9985,3.69672,3.09097,0.0382644,18.3165,1.44265
2025-04-07,38.5349,21.1508,3.65156,3.05168,0.06412,17.3841,1.44265
2025-04-08,35.9096,19.3374,3.581,2.96204,0.0762737,16.5722,1.44265
2025-04-09,40.0067,22.8461,3.68905,3.12878,0.0871452,17.1606,1.44265
2025-04-10,36.2676,19.6823,3.59092,2.97972,0.0796437,16.5853,1.44265
2025-04-11,37.4609,20.5693,3.6233,3.0238,0.0770211,16.8916,1.44265
2025-04-14,37.6896,20.2342,3.62939,3.00738,0.0518139,17.4554,1.44265
