Date,OXY Raw Price,MUR Raw Price,OXY Log Price,MUR Log Price,Residual,Spread,Beta
2025-04-15,37.5902,19.8302,3.62674,2.9872,0.0354528,17.76,1.44265
2025-04-16,38.2366,20.2934,3.64379,3.01029,0.0339471,17.9432,1.44265
2025-04-17,39.4896,21.0621,3.67604,3.04748,0.0246124,18.4274,1.44265
2025-04-21,38.8034,20.5299,3.65851,3.02188,0.0243063,18.2735,1.44265
2025-04-22,39.7481,21.0819,3.68256,3.04841,0.0161327,18.6663,1.44265
2025-04-23,39.6089,20.2934,3.67905,3.01029,-0.0169233,19.3155,1.44265
2025-04-24,40.1459,20.5299,3.69252,3.02188,-0.024762,19.616,1.44265
2025-04-25,40.136,20.7665,3.69227,3.03334,-0.0129488,19.3695,1.44265
2025-04-28,40.2851,20.9044,3.69598,3.03996,-0.0116778,19.3807,1.44265
2025-04-29,40.126,20.9143,3.69203,3.04043,-0.00549729,19.2117,1.44265
2025-04-30,39.1913,20.2342,3.66845,3.00738,-0.00454824,18.957,1.44265
2025-05-01,40.2155,20.8059,3.69425,3.03524,-0.0139087,19.4096,1.44265
2025-05-02,40.3846,21.4662,3.69845,3.06648,0.0112846,18.9184,1.44265
2025-05-05,38.5946,20.3131,3.65311,3.01127,0.0214735,18.2815,1.44265
2025-05-06,39.062,20.6975,3.66515,3.03001,0.0228537,18.3645,1.44265
2025-05-07,38.7935,20.6975,3.65825,3.03001,0.0328043,18.096,1.44265
2025-05-08,41.21,21.072,3.71868,3.04795,-0.0364397,20.138,1.44265
2025-05-09,41.926,21.5451,3.73591,3.07015,-0.0390874,20.3809,1.44265
2025-05-12,43.6166,22.6489,3.77544,3.12011,-0.0461508,20.9676,1.44265
2025-05-13,44.1436,22.9939,3.78745,3.13523,-0.0483633,21.1497,1.44265
2025-05-14,43.5768,22.6489,3.77452,3.12011,-0.0448345,20.9278,1.44265
2025-05-15,43.1293,22.235,3.7642,3.10167,-0.0483887,20.8943,1.44265
2025-05-16,42.8011,22.08,3.75656,3.09467,-0.0443651,20.7211,1.44265
2025-05-19,42.0752,21.62,3.73946,3.07362,-0.0407398,20.4552,1.44265
2025-05-20,41.6674,21.61,3.72972,3.07316,-0.0271545,20.0574,1.44265
2025-05-21,40.9017,20.93,3.71117,3.04118,-0.0323687,19.9717,1.44265
2025-05-22,40.852,21,3.70996,3.04452,-0.027275,19.852,1.44265
2025-05-23,41.0608,20.89,3.71505,3.03927,-0.0398828,20.1708,1.44265
2025-05-27,41.389,21.43,3.72301,3.06479,-0.0258457,19.959,1.44265
2025-05-28,40.8918,21.23,3.71093,3.05542,-0.0177862,19.6618,1.44265
2025-05-29,41.2299,21.25,3.71916,3.05636,-0.028724,19.9799,1.44265
2025-05-30,40.5536,20.93,3.70263,3.04118,-0.0200396,19.6236,1.44265
2025-06-02,41.21,21.27,3.71868,3.0573,-0.0270871,19.94,1.44265
2025-06-03,42.453,22.03,3.7484,3.09241,-0.0348524,20.423,1.44265
2025-06-04,41.6774,21.67,3.72996,3.07593,-0.024726,20.0074,1.44265
2025-06-05,41.5879,21.54,3.72781,3.06991,-0.0276417,20.0479,1.44265
2025-06-06,42.3039,22.5,3.74488,3.11352,-0.00866452,19.8039,1.44265
2025-06-09,43,23.02,3.7612,3.13636,-0.00936217,19.98,1.44265
2025-06-10,43.91,23.79,3.78214,3.16927,-0.00667221,20.12,1.44265
2025-06-11,44.84,24.32,3.8031,3.1913,-0.0148744,20.52,1.44265
2025-06-12,44.76,24.41,3.80131,3.19499,-0.00860434,20.35,1.44265
2025-06-13,46.45,25.43,3.83838,3.23593,-0.0211347,21.02,1.44265
