Date,SM Raw Price,KMI Raw Price,SM Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,39.607,27.5159,3.67901,3.31476,-0.00357165,12.0912,0.0481445
2025-01-03,40.0213,27.6725,3.68941,3.32044,0.00160324,12.3488,0.0481445
2025-01-06,40.2974,27.2418,3.69629,3.30475,-0.0144144,13.0556,0.0481445
2025-01-07,42.0923,27.2222,3.73987,3.30403,-0.0172315,14.8701,0.0481445
2025-01-08,42.0628,27.6921,3.73916,3.32115,-8.48421e-05,14.3707,0.0481445
2025-01-10,42.7531,27.5648,3.75544,3.31654,-0.00547446,15.1883,0.0481445
2025-01-13,43.118,27.9172,3.76394,3.32924,0.00681945,15.2008,0.0481445
2025-01-14,43.3153,28.5045,3.76851,3.35006,0.0274193,14.8107,0.0481445
2025-01-15,44.0747,28.8178,3.78588,3.36099,0.0375116,15.2569,0.0481445
2025-01-16,43.5125,29.4247,3.77305,3.38183,0.0589707,14.0878,0.0481445
2025-01-17,42.615,29.6694,3.75221,3.39012,0.0682564,12.9457,0.0481445
2025-01-21,41.3034,30.5601,3.72094,3.4197,0.0993428,10.7432,0.0481445
2025-01-22,41.2047,30.1294,3.71855,3.4055,0.0852642,11.0753,0.0481445
2025-01-23,40.6524,29.8358,3.70506,3.39571,0.0761193,10.8167,0.0481445
2025-01-24,39.7308,29.6302,3.68213,3.38879,0.0703099,10.1005,0.0481445
2025-01-27,39.3344,26.8796,3.6721,3.29137,-0.0266341,12.4547,0.0481445
2025-01-28,39.3244,26.8796,3.67185,3.29137,-0.0266219,12.4448,0.0481445
2025-01-29,39.6911,26.723,3.68113,3.28552,-0.0329125,12.9681,0.0481445
2025-01-30,39.2551,27.5061,3.67008,3.31441,-0.00349771,11.749,0.0481445
2025-01-31,37.6199,26.8992,3.62753,3.2921,-0.0237604,10.7207,0.0481445
2025-02-03,37.0451,27.283,3.61213,3.30626,-0.00885099,9.76204,0.0481445
2025-02-04,37.9271,27.2039,3.63567,3.30336,-0.0128888,10.7232,0.0481445
2025-02-05,37.5108,27.3424,3.62463,3.30844,-0.00727947,10.1685,0.0481445
2025-02-06,36.9063,26.4916,3.60838,3.27683,-0.0381059,10.4147,0.0481445
2025-02-07,37.0451,26.7488,3.61213,3.28649,-0.0286246,10.2962,0.0481445
2025-02-10,39.0569,26.7785,3.66502,3.2876,-0.0300618,12.2784,0.0481445
2025-02-11,40.2461,26.5015,3.69501,3.2772,-0.0419033,13.7446,0.0481445
2025-02-12,38.5613,25.997,3.65225,3.25798,-0.059065,12.5643,0.0481445
2025-02-13,38.6208,26.274,3.65379,3.26858,-0.0485411,12.3468,0.0481445
2025-02-14,38.1748,26.2641,3.64218,3.2682,-0.0483586,11.9107,0.0481445
2025-02-18,38.2739,26.462,3.64477,3.27571,-0.0409786,11.812,0.0481445
2025-02-19,38.4821,26.6004,3.65019,3.28093,-0.0360197,11.8816,0.0481445
2025-02-20,36.7775,26.3037,3.60489,3.26971,-0.0450576,10.4738,0.0481445
2025-02-21,34.0422,26.1256,3.5276,3.26292,-0.0481293,7.91659,0.0481445
2025-02-24,33.517,26.185,3.51205,3.26519,-0.0451114,7.33199,0.0481445
2025-02-25,32.7836,25.819,3.48993,3.25111,-0.058123,6.96464,0.0481445
2025-02-26,32.0799,25.8882,3.46823,3.25379,-0.0544,6.19175,0.0481445
2025-02-27,32.2286,25.9278,3.47285,3.25531,-0.0530953,6.30084,0.0481445
2025-02-28,32.4169,26.8082,3.47868,3.28871,-0.019983,5.60872,0.0481445
2025-03-03,29.7411,26.8478,3.39253,3.29018,-0.0143604,2.89334,0.0481445
2025-03-04,28.5915,26.6994,3.35311,3.28464,-0.0180048,1.89212,0.0481445
2025-03-05,27.2734,26.4422,3.30591,3.27496,-0.0254124,0.83124,0.0481445
2025-03-06,26.9067,26.0267,3.29238,3.25912,-0.0405982,0.880032,0.0481445
2025-03-07,27.3428,25.8585,3.30845,3.25264,-0.0478546,1.48426,0.0481445
2025-03-10,27.1248,25.8585,3.30045,3.25264,-0.0474691,1.26623,0.0481445
2025-03-11,28.8095,26.1256,3.36071,3.26292,-0.0400942,2.6839,0.0481445
2025-03-12,29.5132,26.2344,3.38484,3.26707,-0.0370995,3.27872,0.0481445
2025-03-13,28.5122,26.2542,3.35033,3.26783,-0.0346845,2.25799,0.0481445
2025-03-14,29.7213,26.8082,3.39186,3.28871,-0.0158033,2.91309,0.0481445
2025-03-17,29.9889,27.4908,3.40083,3.31385,0.00890777,2.4981,0.0481445
2025-03-18,30.0285,27.2237,3.40215,3.30409,-0.000919094,2.80483,0.0481445
2025-03-19,30.9204,27.5501,3.43142,3.31601,0.00959165,3.37032,0.0481445
2025-03-20,30.6529,27.7578,3.42273,3.32352,0.0175222,2.895,0.0481445
2025-03-21,30.3952,27.6292,3.41428,3.31887,0.013285,2.76593,0.0481445
2025-03-24,31.525,28.4008,3.45078,3.34642,0.0390719,3.12412,0.0481445
2025-03-25,30.2564,28.5196,3.40971,3.35059,0.0452204,1.73688,0.0481445
2025-03-26,30.5141,28.1733,3.41819,3.33838,0.0325976,2.34078,0.0481445
2025-03-27,29.9789,27.926,3.4005,3.32956,0.0246326,2.05293,0.0481445
2025-03-28,29.1366,28.0645,3.37199,3.33451,0.0309519,1.07205,0.0481445
2025-03-31,29.6816,28.2228,3.39053,3.34013,0.0356834,1.45885,0.0481445
2025-04-01,29.5032,28.3217,3.3845,3.34363,0.0394726,1.18154,0.0481445
2025-04-02,30.2465,28.6086,3.40938,3.35371,0.048353,1.63794,0.0481445
2025-04-03,25.103,27.4215,3.22299,3.31133,0.0149475,2.31848,0.0481445
2025-04-04,22.0605,25.0177,3.09379,3.21958,-0.0705773,2.95714,0.0481445
2025-04-07,21.6146,25.0968,3.07337,3.22274,-0.0664358,3.48224,0.0481445
2025-04-08,20.2073,24.9385,3.00604,3.21641,-0.0695212,4.73124,0.0481445
2025-04-09,24.3994,25.9673,3.19456,3.25684,-0.0381719,1.56794,0.0481445
2025-04-10,21.0497,25.5123,3.04689,3.23916,-0.0487414,4.46261,0.0481445
2025-04-11,21.4758,26.185,3.06693,3.26519,-0.0236812,4.70914,0.0481445
2025-04-14,21.7632,26.5114,3.08022,3.27758,-0.0119313,4.74819,0.0481445
2025-04-15,21.5254,26.9269,3.06923,3.29313,0.00414788,5.40152,0.0481445
2025-04-16,22.12,26.6598,3.09648,3.28316,-0.00713272,4.5398,0.0481445
2025-04-17,23.03,26.8082,3.1368,3.28871,-0.00352329,3.77818,0.0481445
2025-04-21,22.02,25.5123,3.09195,3.23916,-0.050911,3.49229,0.0481445
2025-04-22,22.88,26.3136,3.13026,3.27008,-0.0218312,3.43357,0.0481445
2025-04-23,22.99,26.3136,3.13506,3.27008,-0.0220621,3.32357,0.0481445
2025-04-24,23.17,26.5807,3.14286,3.28018,-0.0123383,3.41066,0.0481445
2025-04-25,23.48,26.5609,3.15615,3.27944,-0.0137228,3.08088,0.0481445
2025-04-28,23.6,26.7785,3.16125,3.2876,-0.00580798,3.17851,0.0481445
2025-04-29,23.26,26.917,3.14674,3.29276,4.90594e-05,3.657,0.0481445
2025-04-30,22.79,26.3,3.12632,3.26957,-0.0221572,3.51,0.0481445
2025-05-01,23.67,26.3,3.16421,3.26957,-0.0239813,2.63,0.0481445
2025-05-02,22.82,26.83,3.12764,3.28952,-0.0022688,4.01,0.0481445
2025-05-05,21,26.87,3.04452,3.29101,0.00322252,5.87,0.0481445
2025-05-06,21.52,27.21,3.06898,3.30358,0.014619,5.69,0.0481445
2025-05-07,21.2,27.62,3.054,3.31854,0.0302959,6.42,0.0481445
2025-05-08,22.83,27.04,3.12808,3.29732,0.00550673,4.21,0.0481445
2025-05-09,23.16,27.31,3.14243,3.30725,0.0147514,4.15,0.0481445
2025-05-12,24.79,27.31,3.21044,3.30725,0.0114769,2.52,0.0481445
2025-05-13,25.63,27.5,3.24376,3.31419,0.0168057,1.87,0.0481445
