Date,VLO Raw Price,DVN Raw Price,VLO Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,121.125,32.9309,4.79682,3.49441,0.0247102,88.1938,0.806981
2025-01-03,122.216,33.4535,4.80579,3.51016,0.0332127,88.763,0.806981
2025-01-06,120.112,33.276,4.78842,3.50484,0.0419124,86.8357,0.806981
2025-01-07,121.951,34.2028,4.80362,3.53231,0.0571199,87.7481,0.806981
2025-01-08,123.131,34.6564,4.81325,3.54548,0.0625205,88.4748,0.806981
2025-01-10,125.059,35.4846,4.82879,3.5691,0.0736007,89.5744,0.806981
2025-01-13,131.157,36.2536,4.8764,3.59054,0.0566216,94.9034,0.806981
2025-01-14,131.855,36.6578,4.88171,3.60163,0.0634251,95.1975,0.806981
2025-01-15,135.642,37.8903,4.91002,3.63469,0.0736437,97.7517,0.806981
2025-01-16,137.078,37.8804,4.92055,3.63443,0.0648853,99.1976,0.806981
2025-01-17,138.73,37.417,4.93253,3.62213,0.0429071,101.313,0.806981
2025-01-21,137.235,36.2142,4.9217,3.58945,0.018975,101.021,0.806981
2025-01-22,132.859,35.948,4.88928,3.58207,0.0377532,96.9106,0.806981
2025-01-23,138.396,35.9381,4.93012,3.5818,0.00452685,102.458,0.806981
2025-01-24,137.334,35.455,4.92241,3.56826,-0.00278986,101.879,0.806981
2025-01-27,138.986,34.8338,4.93437,3.55059,-0.0301159,104.152,0.806981
2025-01-28,135.858,34.3901,4.91161,3.53777,-0.0245672,101.468,0.806981
2025-01-29,137.186,34.5775,4.92134,3.5432,-0.0269835,102.609,0.806981
2025-01-30,134.281,34.5578,4.89993,3.54263,-0.0102799,99.7231,0.806981
2025-01-31,131.881,33.6211,4.8819,3.51515,-0.0232069,98.2601,0.806981
2025-02-03,135.034,33.276,4.90553,3.50484,-0.0525913,101.758,0.806981
2025-02-04,141.787,33.9366,4.95433,3.52449,-0.0723124,107.851,0.806981
2025-02-05,139.358,33.6605,4.93704,3.51633,-0.0665338,105.697,0.806981
2025-02-06,133.16,32.9506,4.89155,3.49501,-0.051139,100.21,0.806981
2025-02-07,131.961,32.6844,4.8825,3.4869,-0.0519467,99.2761,0.806981
2025-02-10,135.659,33.7789,4.91015,3.51983,-0.041318,101.88,0.806981
2025-02-11,135.738,34.6268,4.91073,3.54463,-0.0169975,101.112,0.806981
2025-02-12,129.809,33.4929,4.86606,3.51133,-0.0142446,96.3158,0.806981
2025-02-13,129.888,33.7394,4.86667,3.51867,-0.00740518,96.1487,0.806981
2025-02-14,134.172,34.1535,4.89912,3.53087,-0.0213908,100.018,0.806981
2025-02-18,137.028,34.3901,4.92018,3.53777,-0.0314821,102.637,0.806981
2025-02-19,135.996,37.0424,4.91263,3.61206,0.0489064,98.9539,0.806981
2025-02-20,137.97,38.0086,4.92703,3.63781,0.0630316,99.9609,0.806981
2025-02-21,133.607,36.9635,4.8949,3.60993,0.0610811,96.6431,0.806981
2025-02-24,133.924,36.786,4.89727,3.60512,0.054354,97.1378,0.806981
2025-02-25,132.536,35.3761,4.88685,3.56604,0.0236812,97.1595,0.806981
2025-02-26,129.065,34.962,4.86032,3.55426,0.0333195,94.1031,0.806981
2025-02-27,128.54,35.3761,4.85624,3.56604,0.048387,93.1634,0.806981
2025-02-28,129.63,35.7113,4.86469,3.57547,0.0509995,93.919,0.806981
2025-03-03,127.32,33.9267,4.8467,3.5242,0.0142478,93.3931,0.806981
2025-03-04,126.537,33.769,4.84053,3.51954,0.0145675,92.7675,0.806981
2025-03-05,120.736,33.1873,4.7936,3.50217,0.0350602,87.5485,0.806981
2025-03-06,124.94,33.3943,4.82783,3.50839,0.0136567,91.5457,0.806981
2025-03-07,125.783,34.2225,4.83456,3.53288,0.0327293,91.5604,0.806981
2025-03-10,125.733,33.7296,4.83416,3.51837,0.0185376,92.0038,0.806981
2025-03-11,121.995,33.9267,4.80398,3.5242,0.0487237,88.0683,0.806981
2025-03-12,124.127,34.262,4.8213,3.53404,0.0445755,89.865,0.806981
2025-03-13,124.742,33.3155,4.82625,3.50602,0.0125739,91.4263,0.806981
2025-03-14,128.054,34.3085,4.85245,3.53539,0.0207985,93.7452,0.806981
2025-03-17,131.832,34.8645,4.88153,3.55147,0.0134133,96.9671,0.806981
2025-03-18,130.919,35.1227,4.87458,3.55885,0.026395,95.7966,0.806981
2025-03-19,132.714,35.798,4.8882,3.57789,0.03445,96.9161,0.806981
2025-03-20,133.696,35.8774,4.89557,3.58011,0.0307195,97.8184,0.806981
2025-03-21,130.404,35.8973,4.87064,3.58066,0.0513925,94.5064,0.806981
2025-03-24,130.84,36.7016,4.87398,3.60282,0.0708563,94.1384,0.806981
2025-03-25,130.89,36.7115,4.87435,3.60309,0.070821,94.1781,0.806981
2025-03-26,133.388,37.208,4.89327,3.61653,0.0689941,96.1804,0.806981
2025-03-27,132.109,36.6222,4.88363,3.60065,0.0608989,95.4871,0.806981
2025-03-28,130.374,36.503,4.87041,3.59739,0.0683099,93.871,0.806981
2025-03-31,130.959,37.1385,4.87488,3.61466,0.0819572,93.8205,0.806981
2025-04-01,132.615,37.3074,4.88745,3.61919,0.0763521,95.3076,0.806981
2025-04-02,132.496,37.6549,4.88655,3.62846,0.0863493,94.8411,0.806981
