Date,VLO Raw Price,DVN Raw Price,VLO Log Price,DVN Log Price,Residual,Spread,Beta
2025-04-03,113.329,32.9282,4.73029,3.49433,0.0783146,80.4004,0.806981
2025-04-04,103.809,29.1051,4.64256,3.37091,0.0256999,74.7042,0.806981
2025-04-07,105.773,28.41,4.66129,3.34674,-0.0135924,77.3627,0.806981
2025-04-08,104.295,26.6126,4.64723,3.28139,-0.0675953,77.6826,0.806981
2025-04-09,114.925,30.8528,4.74428,3.42923,0.00192441,84.0722,0.806981
2025-04-10,108.093,27.556,4.68299,3.31622,-0.0616242,80.537,0.806981
2025-04-11,109.769,28.0326,4.69838,3.33337,-0.0568895,81.7361,0.806981
2025-04-14,109.402,28.5291,4.69503,3.35093,-0.0366312,80.8727,0.806981
2025-04-15,106.645,28.3305,4.66951,3.34394,-0.0230226,78.3147,0.806981
2025-04-16,106.229,29.0952,4.6656,3.37057,0.00676622,77.1336,0.806981
2025-04-17,109.134,30.0981,4.69258,3.40446,0.0188819,79.0361,0.806981
2025-04-21,107.924,29.2739,4.68143,3.3767,0.000111572,78.6505,0.806981
2025-04-22,111.514,30.9819,4.71415,3.4334,0.0304142,80.5321,0.806981
2025-04-23,113.537,30.8627,4.73213,3.42955,0.0120534,82.6741,0.806981
2025-04-24,112.406,31.25,4.72212,3.44202,0.0325984,81.1564,0.806981
2025-04-25,112.912,31.1308,4.72661,3.4382,0.0251555,81.7813,0.806981
2025-04-28,113.785,31.3294,4.73431,3.44456,0.0253024,82.4553,0.806981
2025-04-29,114.548,31.0812,4.741,3.4366,0.01195,83.467,0.806981
2025-04-30,115.113,30.1974,4.74592,3.40776,-0.0208686,84.916,0.806981
2025-05-01,113.914,30.9422,4.73544,3.43212,0.0119503,82.9715,0.806981
2025-05-02,117.93,31.2202,4.77009,3.44107,-0.00706338,86.7093,0.806981
2025-05-05,118.336,30.4059,4.77353,3.41464,-0.0362681,87.9302,0.806981
2025-05-06,116.016,30.3761,4.75373,3.41366,-0.0212681,85.6396,0.806981
2025-05-07,115.966,30.0782,4.7533,3.4038,-0.0307786,85.888,0.806981
2025-05-08,120.706,31.7068,4.79336,3.45653,-0.0103771,88.9992,0.806981
2025-05-09,121.896,32.3026,4.80317,3.47515,0.000323391,89.5933,0.806981
2025-05-12,129.392,33.3155,4.86285,3.50602,-0.0169643,96.0769,0.806981
2025-05-13,133.973,34.0503,4.89764,3.52784,-0.0232243,99.9232,0.806981
2025-05-14,133.19,33.7226,4.89178,3.51817,-0.0281625,99.4675,0.806981
2025-05-15,134.231,33.1665,4.89956,3.50154,-0.0510736,101.065,0.806981
2025-05-16,134.598,33.0275,4.90229,3.49734,-0.0574769,101.571,0.806981
2025-05-19,133.2,32.4615,4.89185,3.48005,-0.0663367,100.739,0.806981
2025-05-20,132.21,31.9451,4.88439,3.46402,-0.0763514,100.265,0.806981
2025-05-21,127.8,31.2798,4.85047,3.44297,-0.0700213,96.5202,0.806981
2025-05-22,128.72,30.9223,4.85764,3.43148,-0.0873041,97.7977,0.806981
2025-05-23,128.55,30.9422,4.85632,3.43212,-0.0855956,97.6078,0.806981
2025-05-27,130.71,31.1308,4.87298,3.4382,-0.0929634,99.5792,0.806981
2025-05-28,126.93,30.6443,4.84364,3.42245,-0.0850357,96.2857,0.806981
2025-05-29,129.16,30.8925,4.86105,3.43051,-0.0910217,98.2675,0.806981
2025-05-30,128.97,30.0485,4.85958,3.40281,-0.117536,98.9215,0.806981
2025-06-02,128.3,30.9223,4.85437,3.43148,-0.0846667,97.3777,0.806981
2025-06-03,130.95,31.7862,4.87482,3.45903,-0.0736097,99.1638,0.806981
2025-06-04,126.54,31.3394,4.84056,3.44487,-0.0601227,95.2006,0.806981
2025-06-05,126.88,31.2003,4.84324,3.44043,-0.0667339,95.6797,0.806981
2025-06-06,128.35,32.0643,4.85476,3.46774,-0.0487167,96.2857,0.806981
2025-06-09,128.26,32.4217,4.85406,3.47883,-0.0370633,95.8382,0.806981
2025-06-10,131.93,33.236,4.88227,3.50363,-0.0350251,98.694,0.806981
2025-06-11,134.06,34.229,4.89829,3.53307,-0.0185099,99.831,0.806981
2025-06-12,133.5,34.09,4.8941,3.529,-0.0192018,99.41,0.806981
2025-06-13,134.11,35.11,4.89866,3.55849,0.00660122,99,0.806981
