Date,XOM Raw Price,MPC Raw Price,XOM Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,105.388,139.888,4.65765,4.94084,-0.0326589,34.4998,0.510588
2025-01-03,105.928,141.124,4.66276,4.94964,-0.0264735,35.1955,0.510588
2025-01-06,105.81,138.939,4.66165,4.93403,-0.0415089,33.1284,0.510588
2025-01-07,106.802,140.056,4.67098,4.94204,-0.0382642,33.2537,0.510588
2025-01-08,105.015,140.718,4.6541,4.94676,-0.0249284,35.7035,0.510588
2025-01-10,104.632,140.659,4.65045,4.94634,-0.0234845,36.0272,0.510588
2025-01-13,107.333,145.088,4.67593,4.97734,-0.00549265,37.7557,0.510588
2025-01-14,107.755,147.728,4.67986,4.99537,0.010533,39.9732,0.510588
2025-01-15,109.513,150.229,4.69604,5.01216,0.0190607,40.7166,0.510588
2025-01-16,109.326,149.982,4.69434,5.01052,0.0182848,40.656,0.510588
2025-01-17,110.308,150.971,4.70328,5.01709,0.020289,40.6626,0.510588
2025-01-21,109.474,149.112,4.69568,5.0047,0.0117795,39.6387,0.510588
2025-01-22,107.568,145.939,4.67813,4.98319,-0.000769515,38.3703,0.510588
2025-01-23,108.177,152.563,4.68377,5.02758,0.0407384,44.3855,0.510588
2025-01-24,106.714,149.893,4.67015,5.00992,0.0300401,43.1794,0.510588
2025-01-27,108.197,150.872,4.68395,5.01643,0.0295022,42.6752,0.510588
2025-01-28,106.105,148.934,4.66443,5.0035,0.0265433,42.8293,0.510588
2025-01-29,106.724,149.676,4.67024,5.00847,0.0285409,42.9521,0.510588
2025-01-30,107.608,148.262,4.67849,4.99898,0.0148391,40.6544,0.510588
2025-01-31,104.917,144.06,4.65317,4.97023,-0.000980691,39.1434,0.510588
2025-02-03,105.172,145.335,4.6556,4.97904,0.0065924,40.1635,0.510588
2025-02-04,107.991,155.133,4.68204,5.04428,0.0583287,47.1427,0.510588
2025-02-05,107.912,155.529,4.68132,5.04683,0.0612462,47.6167,0.510588
2025-02-06,106.488,150.21,4.66803,5.01203,0.0332304,43.7216,0.510588
2025-02-07,106.94,148.42,4.67227,5.00005,0.019084,41.4804,0.510588
2025-02-10,108.982,152.039,4.69119,5.02413,0.0335108,43.0562,0.510588
2025-02-11,109.67,153.541,4.69748,5.03397,0.0401358,43.8715,0.510588
2025-02-12,106.37,147.52,4.66693,4.99397,0.0157297,41.1501,0.510588
2025-02-13,107.143,152.345,4.67417,5.02615,0.0442153,45.202,0.510588
2025-02-14,107.252,154.293,4.67518,5.03885,0.0563998,47.0407,0.510588
2025-02-18,109.135,157.229,4.69258,5.0577,0.0663672,48.0944,0.510588
2025-02-19,109.293,155.758,4.69404,5.0483,0.0562219,46.4641,0.510588
2025-02-20,110.978,157.378,4.70933,5.05865,0.0587649,46.4005,0.510588
2025-02-21,109.68,152.874,4.69757,5.02961,0.0357325,43.1941,0.510588
2025-02-24,110.255,151.84,4.70279,5.02283,0.0262764,41.5852,0.510588
2025-02-25,108.729,149.742,4.68885,5.00891,0.0194781,41.013,0.510588
2025-02-26,108.461,145.476,4.68639,4.98001,-0.00816557,37.0147,0.510588
2025-02-27,109.145,147.146,4.69268,4.99143,4.37258e-05,38.0016,0.510588
2025-02-28,110.314,149.334,4.70333,5.00618,0.00936042,39.0199,0.510588
2025-03-03,106.777,144.999,4.67074,4.97672,-0.00345986,38.2219,0.510588
2025-03-04,106.559,141.817,4.66869,4.95453,-0.0246056,35.2579,0.510588
2025-03-05,104.478,134.359,4.64897,4.90051,-0.0685569,29.881,0.510588
2025-03-06,106.638,136.785,4.66944,4.91841,-0.0611089,30.1472,0.510588
2025-03-07,108.025,136.775,4.68236,4.91834,-0.0677808,28.75,0.510588
2025-03-10,110.78,135.492,4.70754,4.90892,-0.0900603,24.7127,0.510588
