Date,COP Raw Price,RRC Raw Price,COP Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,98.4366,35.8827,4.58941,3.58026,-0.0708109,62.5539,0.537954
2025-01-03,99.4301,35.7434,4.59945,3.57636,-0.0801037,63.6867,0.537954
2025-01-06,98.3481,36.6392,4.58851,3.60112,-0.0494641,61.7089,0.537954
2025-01-07,100.001,36.6093,4.60518,3.6003,-0.059243,63.3912,0.537954
2025-01-08,99.9514,37.3459,4.60468,3.62022,-0.0390584,62.6055,0.537954
2025-01-10,100.246,37.9929,4.60763,3.6374,-0.0234684,62.2535,0.537954
2025-01-13,102.519,38.3114,4.63004,3.64575,-0.0271763,64.2071,0.537954
2025-01-14,103.158,39.4361,4.63626,3.67468,-0.00158514,63.7217,0.537954
2025-01-15,103.748,40.1429,4.64196,3.69244,0.0131077,63.6051,0.537954
2025-01-16,103.876,41.0984,4.6432,3.71597,0.0359698,62.7774,0.537954
2025-01-17,104.112,40.8794,4.64547,3.71063,0.0294063,63.2325,0.537954
2025-01-21,102.568,40.7799,4.63052,3.70819,0.0350074,61.7878,0.537954
2025-01-22,101.368,40.8097,4.61875,3.70892,0.04207,60.558,0.537954
2025-01-23,102.282,40.3718,4.62774,3.69813,0.0264477,61.9106,0.537954
2025-01-24,100.158,39.9836,4.60675,3.68847,0.0280773,60.1743,0.537954
2025-01-27,101.004,37.0971,4.61516,3.61354,-0.0513785,63.9067,0.537954
2025-01-28,99.7153,37.2264,4.60232,3.61702,-0.0409898,62.4888,0.537954
2025-01-29,99.8923,37.4156,4.60409,3.62209,-0.0368767,62.4768,0.537954
2025-01-30,99.794,37.3957,4.60311,3.62155,-0.0368789,62.3983,0.537954
2025-01-31,97.2072,36.8681,4.57684,3.60735,-0.0369579,60.3391,0.537954
2025-02-03,96.8629,37.2663,4.5733,3.61809,-0.0243082,59.5967,0.537954
2025-02-04,98.9284,37.5649,4.5944,3.62607,-0.027678,61.3636,0.537954
2025-02-05,98.5645,38.7593,4.59071,3.65737,0.00560599,59.8052,0.537954
2025-02-06,98.2989,37.4554,4.58801,3.62315,-0.027163,60.8436,0.537954
2025-02-07,96.7449,37.0771,4.57208,3.613,-0.02874,59.6677,0.537954
2025-02-10,97.8465,39.5257,4.5834,3.67695,0.0291201,58.3208,0.537954
2025-02-11,100.04,39.3864,4.60557,3.67342,0.0136625,60.6535,0.537954
