Date,COP Raw Price,RRC Raw Price,COP Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-12,96.7842,38.3014,4.57248,3.64549,0.00352808,58.4828,0.537954
2025-02-13,95.3089,38.6199,4.55712,3.65377,0.0200733,56.6889,0.537954
2025-02-14,95.4477,38.4906,4.55858,3.65041,0.0159341,56.9571,0.537954
2025-02-18,96.6276,38.7394,4.57086,3.65686,0.0157688,57.8882,0.537954
2025-02-19,98.7297,39.7148,4.59239,3.68173,0.0290593,59.0149,0.537954
2025-02-20,101.139,39.4859,4.6165,3.67594,0.010307,61.6533,0.537954
2025-02-21,97.1135,38.3014,4.57588,3.64549,0.00170097,58.8121,0.537954
2025-02-24,97.9861,37.8137,4.58483,3.63267,-0.0159267,60.1724,0.537954
2025-02-25,96.2608,37.326,4.56706,3.61969,-0.0193521,58.9348,0.537954
2025-02-26,95.3188,38.3711,4.55723,3.6473,0.0135533,56.9477,0.537954
2025-02-27,96.5483,36.2311,4.57004,3.58992,-0.0507289,60.3172,0.537954
2025-02-28,98.3133,36.9477,4.58816,3.6095,-0.0408873,61.3655,0.537954
2025-03-03,91.8483,36.6292,4.52014,3.60085,-0.0129532,55.2191,0.537954
2025-03-04,89.8751,37.6843,4.49842,3.62924,0.027127,52.1908,0.537954
2025-03-05,88.13,37.3558,4.47881,3.62049,0.028921,50.7741,0.537954
2025-03-06,87.8523,35.2158,4.47566,3.5615,-0.0283755,52.6365,0.537954
2025-03-07,89.8652,35.0566,4.49831,3.55696,-0.0450946,54.8086,0.537954
2025-03-10,92.116,36.2908,4.52305,3.59156,-0.023801,55.8252,0.537954
2025-03-11,94.6049,37.2762,4.54971,3.61836,-0.0113518,57.3286,0.537954
2025-03-12,96.9251,37.4255,4.57394,3.62235,-0.020389,59.4996,0.537954
2025-03-13,95.3783,37.2862,4.55785,3.61862,-0.0154649,58.0921,0.537954
2025-03-14,98.115,38.234,4.58614,3.64373,-0.00557954,59.8809,0.537954
2025-03-17,98.5215,38.8826,4.59028,3.66055,0.00901624,59.6389,0.537954
2025-03-18,99.6816,39.5511,4.60198,3.67759,0.0197652,60.1306,0.537954
2025-03-19,100.475,40.4191,4.60991,3.6993,0.0372114,60.0558,0.537954
2025-03-20,101.447,40.1797,4.61953,3.69336,0.0260916,61.267,0.537954
2025-03-21,101.06,39.7905,4.61571,3.68363,0.0184143,61.2694,0.537954
2025-03-24,101.328,40.5788,4.61836,3.70324,0.0366067,60.7489,0.537954
2025-03-25,101.685,40.05,4.62188,3.69013,0.0215976,61.6346,0.537954
2025-03-26,102.329,39.7506,4.62819,3.68263,0.0106968,62.5785,0.537954
2025-03-27,101.952,38.703,4.62451,3.65592,-0.0140277,63.2493,0.537954
2025-03-28,101.506,39.1021,4.62012,3.66618,-0.00140904,62.404,0.537954
2025-03-31,104.134,39.8404,4.64568,3.68488,0.0035488,64.2933,0.537954
2025-04-01,104.501,40.1298,4.64919,3.69212,0.00889326,64.3709,0.537954
2025-04-02,105.205,40.5189,4.65591,3.70177,0.0149313,64.6857,0.537954
2025-04-03,94.4462,37.9846,4.54803,3.63718,0.0083763,56.4616,0.537954
2025-04-04,85.5618,33.375,4.44924,3.50781,-0.0678532,52.1869,0.537954
2025-04-07,84.947,33.4348,4.44203,3.5096,-0.0621819,51.5122,0.537954
2025-04-08,81.9624,32.028,4.40626,3.46661,-0.0859289,49.9345,0.537954
2025-04-09,90.7378,34.4825,4.50797,3.54045,-0.0668045,56.2553,0.537954
2025-04-10,82.5871,32.1777,4.41385,3.47127,-0.0853513,50.4095,0.537954
2025-04-11,85.661,33.3151,4.4504,3.50601,-0.0702716,52.3459,0.537954
2025-04-14,85.7205,33.3849,4.45109,3.5081,-0.0685509,52.3355,0.537954
2025-04-15,84.9966,33.2652,4.44261,3.50451,-0.0675818,51.7314,0.537954
2025-04-16,85.6312,34.0235,4.45005,3.52705,-0.0490439,51.6077,0.537954
2025-04-17,88.2291,34.1033,4.47994,3.52939,-0.0627784,54.1258,0.537954
2025-04-21,86.8112,32.5468,4.46374,3.48268,-0.100778,54.2644,0.537954
2025-04-22,89.0025,33.2153,4.48866,3.50301,-0.0938572,55.7872,0.537954
2025-04-23,89.1711,33.9736,4.49056,3.52558,-0.0723022,55.1975,0.537954
2025-04-24,91.0253,33.784,4.51114,3.51999,-0.0889693,57.2413,0.537954
2025-04-25,90.946,34.712,4.51027,3.54708,-0.0614046,56.234,0.537954
2025-04-28,92.1458,35.1709,4.52337,3.56022,-0.0553195,56.9749,0.537954
2025-04-29,91.1046,35.0213,4.51201,3.55596,-0.0534711,56.0834,0.537954
2025-04-30,88.3679,33.8539,4.48151,3.52205,-0.0709652,54.514,0.537954
2025-05-01,89.885,34.1432,4.49853,3.53056,-0.0716116,55.7418,0.537954
2025-05-02,90.6386,34.9315,4.50688,3.55339,-0.0532796,55.7071,0.537954
2025-05-05,86.8707,34.9814,4.46442,3.55482,-0.0290109,51.8893,0.537954
2025-05-06,86.8905,34.9514,4.46465,3.55396,-0.0299899,51.9391,0.537954
2025-05-07,86.9698,35.7396,4.46556,3.57626,-0.00817918,51.2302,0.537954
2025-05-08,88.0705,36.6476,4.47814,3.60135,0.0101429,51.4229,0.537954
2025-05-09,87.8424,37.7751,4.47554,3.63165,0.0418392,50.0673,0.537954
2025-05-12,91.4913,38.9125,4.51624,3.66132,0.0496109,52.5788,0.537954
2025-05-13,93.3753,40.5289,4.53663,3.70201,0.0793448,52.8464,0.537954
2025-05-14,91.7888,40.3293,4.51949,3.69708,0.0836277,51.4595,0.537954
2025-05-15,92.1755,40.2096,4.52369,3.69411,0.0783927,51.9659,0.537954
2025-05-16,91.65,40.03,4.51798,3.68963,0.0769921,51.62,0.537954
2025-05-19,90.41,39.3415,4.50435,3.67228,0.0669722,51.0685,0.537954
2025-05-20,89.69,39.6309,4.49636,3.67961,0.0786013,50.0591,0.537954
2025-05-21,87.15,39.2318,4.46763,3.66949,0.0839344,47.9182,0.537954
2025-05-22,86.13,39.3216,4.45586,3.67177,0.092554,46.8084,0.537954
2025-05-23,85.19,39.4613,4.44488,3.67532,0.102003,45.7287,0.537954
2025-05-27,85.55,39.7207,4.4491,3.68187,0.106287,45.8293,0.537954
2025-05-28,84.58,39.2518,4.4377,3.67,0.100546,45.3283,0.537954
2025-05-29,85.6,39.122,4.44969,3.66669,0.0907868,46.478,0.537954
2025-05-30,85.35,37.9547,4.44676,3.63639,0.0620667,47.3953,0.537954
2025-06-02,86.72,38.8327,4.46268,3.65926,0.0763702,47.8873,0.537954
2025-06-03,87.91,38.9524,4.47631,3.66234,0.0721169,48.9576,0.537954
2025-06-04,85.95,37.6254,4.45377,3.62768,0.0495852,48.3246,0.537954
2025-06-05,85.35,37.3161,4.44676,3.61942,0.0450991,48.0339,0.537954
2025-06-06,87.22,38.3039,4.46843,3.64555,0.0595662,48.9161,0.537954
2025-06-09,88.04,38.7229,4.47779,3.65643,0.0654132,49.3171,0.537954
2025-06-10,91.18,38.6431,4.51284,3.65437,0.0444974,52.5369,0.537954
2025-06-11,93.35,39.2418,4.53636,3.66974,0.0472178,54.1082,0.537954
2025-06-12,94.69,40.03,4.55061,3.68963,0.0594379,54.66,0.537954
2025-06-13,96.96,41.39,4.5743,3.72304,0.0801038,55.57,0.537954
