Date,MTDR Raw Price,RRC Raw Price,MTDR Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-11,58.5832,39.3864,4.07045,3.67342,-0.00033264,19.1968,0.258764
2025-02-12,55.6723,38.3014,4.01948,3.64549,-0.0150771,17.3709,0.258764
2025-02-13,56.363,38.6199,4.03181,3.65377,-0.00998633,17.7431,0.258764
2025-02-14,56.4321,38.4906,4.03304,3.65041,-0.0136594,17.9415,0.258764
2025-02-18,57.034,38.7394,4.04365,3.65686,-0.00996059,18.2946,0.258764
2025-02-19,55.8795,39.7148,4.0232,3.68173,0.0201992,16.1647,0.258764
2025-02-20,55.7315,39.4859,4.02055,3.67594,0.0151043,16.2456,0.258764
2025-02-21,52.4062,38.3014,3.95902,3.64549,0.000567352,14.1047,0.258764
2025-02-24,52.6923,37.8137,3.96447,3.63267,-0.0136575,14.8786,0.258764
2025-02-25,51.7648,37.326,3.94671,3.61969,-0.0220439,14.4388,0.258764
2025-02-26,51.4392,38.3711,3.9404,3.6473,0.00720419,13.068,0.258764
2025-02-27,51.8141,36.2311,3.94766,3.58992,-0.0520625,15.583,0.258764
2025-02-28,51.9561,36.9477,3.9504,3.6095,-0.0331834,15.0083,0.258764
2025-03-03,47.3898,36.6292,3.85841,3.60085,-0.0180374,10.7606,0.258764
2025-03-04,46.0894,37.6843,3.83058,3.62924,0.0175597,8.40511,0.258764
2025-03-05,45.3846,37.3558,3.81517,3.62049,0.0127927,8.02879,0.258764
2025-03-06,44.4614,35.2158,3.79462,3.5615,-0.0408834,9.24563,0.258764
2025-03-07,44.9379,35.0566,3.80528,3.55696,-0.0481742,9.88136,0.258764
2025-03-10,44.6898,36.2908,3.79974,3.59156,-0.0121396,8.39895,0.258764
2025-03-11,46.6552,37.2762,3.84279,3.61836,0.00351397,9.37902,0.258764
2025-03-12,47.9258,37.4255,3.86965,3.62235,0.000558268,10.5003,0.258764
2025-03-13,46.5858,37.2862,3.84129,3.61862,0.00416651,9.29958,0.258764
2025-03-14,48.2634,38.234,3.87667,3.64373,0.0201157,10.0293,0.258764
2025-03-17,49.9906,38.8826,3.91183,3.66055,0.0278372,11.108,0.258764
2025-03-18,50.1891,39.5511,3.9158,3.67759,0.0438581,10.6381,0.258764
2025-03-19,52.234,40.4191,3.95573,3.6993,0.0552344,11.8149,0.258764
2025-03-20,51.9263,40.1797,3.94983,3.69336,0.0508213,11.7466,0.258764
2025-03-21,51.1322,39.7905,3.93441,3.68363,0.0450775,11.3416,0.258764
2025-03-24,52.5814,40.5788,3.96236,3.70324,0.0574607,12.0027,0.258764
2025-03-25,51.9362,40.05,3.95002,3.69013,0.0475384,11.8863,0.258764
2025-03-26,51.8568,39.7506,3.94849,3.68263,0.0404325,12.1062,0.258764
2025-03-27,51.1222,38.703,3.93422,3.65592,0.0174152,12.4192,0.258764
2025-03-28,50.1395,39.1021,3.91481,3.66618,0.0326971,11.0374,0.258764
2025-03-31,50.7152,39.8404,3.92623,3.68488,0.048449,10.8748,0.258764
2025-04-01,50.7351,40.1298,3.92662,3.69212,0.0555842,10.6053,0.258764
2025-04-02,51.8469,40.5189,3.94829,3.70177,0.0596249,11.328,0.258764
2025-04-03,44.2431,37.9846,3.7897,3.63718,0.0360761,6.25846,0.258764
2025-04-04,38.0985,33.375,3.64017,3.50781,-0.0546071,4.72351,0.258764
2025-04-07,38.0488,33.4348,3.63887,3.5096,-0.0524777,4.61401,0.258764
2025-04-08,36.401,32.028,3.5946,3.46661,-0.084009,4.37302,0.258764
2025-04-09,42.1882,34.4825,3.74214,3.54045,-0.0483474,7.70577,0.258764
2025-04-10,37.5624,32.1777,3.626,3.47127,-0.0874742,5.38478,0.258764
2025-04-11,39.1209,33.3151,3.66666,3.50601,-0.0632553,5.80582,0.258764
2025-04-14,38.9422,33.3849,3.66208,3.5081,-0.0599765,5.5573,0.258764
2025-04-15,38.6643,33.2652,3.65492,3.50451,-0.0617157,5.39908,0.258764
2025-04-16,39.8356,34.0235,3.68476,3.52705,-0.0468992,5.81213,0.258764
2025-04-17,41.1658,34.1033,3.71761,3.52939,-0.0530553,7.06248,0.258764
2025-04-21,39.7364,32.5468,3.68227,3.48268,-0.0906254,7.18954,0.258764
2025-04-22,40.7191,33.2153,3.7067,3.50301,-0.0766157,7.50378,0.258764
2025-04-23,40.5404,33.9736,3.7023,3.52558,-0.0529048,6.56681,0.258764
2025-04-24,40.4511,33.784,3.70009,3.51999,-0.0579295,6.66704,0.258764
2025-04-25,40.7687,34.712,3.70792,3.54708,-0.0328579,6.05678,0.258764
2025-04-28,41.2353,35.1709,3.71929,3.56022,-0.0226668,6.06437,0.258764
2025-04-29,40.7191,35.0213,3.7067,3.55596,-0.0236716,5.69785,0.258764
2025-04-30,39.25,33.8539,3.66995,3.52205,-0.0480643,5.39608,0.258764
2025-05-01,40.193,34.1432,3.69369,3.53056,-0.0456972,6.04976,0.258764
2025-05-02,40.7886,34.9315,3.7084,3.55339,-0.0266802,5.85713,0.258764
2025-05-05,39.3592,34.9814,3.67273,3.55482,-0.0160218,4.3778,0.258764
2025-05-06,40.0342,34.9514,3.68973,3.55396,-0.0212782,5.08275,0.258764
2025-05-07,39.7463,35.7396,3.68252,3.57626,0.00289086,4.00665,0.258764
2025-05-08,42.357,36.6476,3.74613,3.60135,0.0115164,5.7094,0.258764
2025-05-09,42.75,37.7751,3.75537,3.63165,0.0394279,4.97493,0.258764
2025-05-12,44.69,38.9125,3.79975,3.66132,0.0576104,5.77748,0.258764
2025-05-13,46.36,40.5289,3.83644,3.70201,0.0888158,5.83112,0.258764
2025-05-14,45.89,40.3293,3.82625,3.69708,0.0865168,5.56067,0.258764
2025-05-15,44.59,40.2096,3.79751,3.69411,0.0909798,4.38041,0.258764
2025-05-16,44.54,40.03,3.79639,3.68963,0.0867936,4.51,0.258764
2025-05-19,44.29,39.3415,3.79076,3.67228,0.0709021,4.94845,0.258764
2025-05-20,44.28,39.6309,3.79053,3.67961,0.0782885,4.6491,0.258764
2025-05-21,43.55,39.2318,3.77391,3.66949,0.0724684,4.31821,0.258764
2025-05-22,43.6,39.3216,3.77506,3.67177,0.0744578,4.27841,0.258764
2025-05-23,43.4,39.4613,3.77046,3.67532,0.0791936,3.93872,0.258764
2025-05-27,44.16,39.7207,3.78782,3.68187,0.081254,4.4393,0.258764
2025-05-28,43.83,39.2518,3.78032,3.67,0.0713186,4.57825,0.258764
2025-05-29,44.04,39.122,3.7851,3.66669,0.0667717,4.91796,0.258764
2025-05-30,43.01,37.9547,3.76143,3.63639,0.042602,5.05533,0.258764
2025-06-02,43.51,38.8327,3.77299,3.65926,0.0624812,4.67731,0.258764
2025-06-03,45.8,38.9524,3.82428,3.66234,0.0522868,6.84758,0.258764
2025-06-04,45.01,37.6254,3.80688,3.62768,0.0221277,7.38459,0.258764
2025-06-05,44.77,37.3161,3.80154,3.61942,0.0152566,7.4539,0.258764
2025-06-06,45.79,38.3039,3.82407,3.64555,0.0355535,7.48612,0.258764
2025-06-09,46.66,38.7229,3.84289,3.65643,0.0415642,7.93706,0.258764
2025-06-10,47.93,38.6431,3.86974,3.65437,0.0325517,9.28688,0.258764
2025-06-11,49.02,39.2418,3.89223,3.66974,0.0421062,9.77822,0.258764
2025-06-12,49.5,40.03,3.90197,3.68963,0.059472,9.47,0.258764
2025-06-13,51.64,41.39,3.9443,3.72304,0.0819302,10.25,0.258764
