Date,MTDR Raw Price,RRC Raw Price,MTDR Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,57.3103,35.8827,4.04848,3.58026,-0.0878126,21.4276,0.258764
2025-01-03,58.2872,35.7434,4.06538,3.57636,-0.0960773,22.5438,0.258764
2025-01-06,57.5767,36.6392,4.05312,3.60112,-0.0681499,20.9375,0.258764
2025-01-07,58.9286,36.6093,4.07633,3.6003,-0.0749707,22.3192,0.258764
2025-01-08,59.2838,37.3459,4.08234,3.62022,-0.0566059,21.9379,0.258764
2025-01-10,60.4383,37.9929,4.10162,3.6374,-0.0444209,22.4454,0.258764
2025-01-13,61.1389,38.3114,4.11315,3.64575,-0.0390545,22.8275,0.258764
2025-01-14,61.8987,39.4361,4.1255,3.67468,-0.0133149,22.4625,0.258764
2025-01-15,62.7769,40.1429,4.13959,3.69244,0.000801159,22.634,0.258764
2025-01-16,62.5401,41.0984,4.13581,3.71597,0.0253038,21.4417,0.258764
2025-01-17,62.9249,40.8794,4.14194,3.71063,0.0183741,22.0455,0.258764
2025-01-21,61.8888,40.7799,4.12534,3.70819,0.0202324,21.1089,0.258764
2025-01-22,62.2046,40.8097,4.13043,3.70892,0.0196474,21.3948,0.258764
2025-01-23,61.3757,40.3718,4.11701,3.69813,0.0123289,21.0039,0.258764
2025-01-24,60.31,39.9836,4.0995,3.68847,0.00719938,20.3264,0.258764
2025-01-27,58.8102,37.0971,4.07431,3.61354,-0.0612155,21.7131,0.258764
2025-01-28,59.4811,37.2264,4.08566,3.61702,-0.0606693,22.2547,0.258764
2025-01-29,59.4614,37.4156,4.08533,3.62209,-0.055516,22.0458,0.258764
2025-01-30,58.751,37.3957,4.07331,3.62155,-0.0529378,21.3553,0.258764
2025-01-31,57.2314,36.8681,4.0471,3.60735,-0.0603643,20.3632,0.258764
2025-02-03,56.7775,37.2663,4.03914,3.61809,-0.0475626,19.5112,0.258764
2025-02-04,57.5965,37.5649,4.05346,3.62607,-0.0432876,20.0316,0.258764
2025-02-05,57.2018,38.7593,4.04658,3.65737,-0.0102069,18.4425,0.258764
2025-02-06,55.7216,37.4554,4.02037,3.62315,-0.0376435,18.2663,0.258764
2025-02-07,55.9289,37.0771,4.02408,3.613,-0.0487537,18.8517,0.258764
2025-02-10,58.4747,39.5257,4.06859,3.67695,0.00367905,18.9489,0.258764
