Date,MPC Raw Price,FANG Raw Price,MPC Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,139.888,164.468,4.94084,5.10271,0.123867,24.5798,0.473258
2025-01-03,141.124,168.59,4.94964,5.12747,0.144459,27.4661,0.473258
2025-01-06,138.939,167.288,4.93403,5.11972,0.144092,28.3493,0.473258
2025-01-07,140.056,170.029,4.94204,5.13597,0.156557,29.9736,0.473258
2025-01-08,140.718,168.619,4.94676,5.12764,0.145996,27.901,0.473258
2025-01-10,140.659,172.347,4.94634,5.14951,0.168061,31.6879,0.473258
2025-01-13,145.088,175.148,4.97734,5.16563,0.169507,30.0592,0.473258
2025-01-14,147.728,175.217,4.99537,5.16602,0.161368,27.4885,0.473258
2025-01-15,150.229,177.07,5.01216,5.17655,0.163947,26.8411,0.473258
2025-01-16,149.982,176.637,5.01052,5.17409,0.162273,26.6544,0.473258
2025-01-17,150.971,177.682,5.01709,5.17999,0.165064,26.711,0.473258
2025-01-21,149.112,174.497,5.0047,5.16191,0.152838,25.3845,0.473258
2025-01-22,145.939,175.128,4.98319,5.16552,0.166629,29.1893,0.473258
2025-01-23,152.563,174.181,5.02758,5.1601,0.140201,21.6185,0.473258
2025-01-24,149.893,170.858,5.00992,5.14083,0.129291,20.9646,0.473258
2025-01-27,150.872,169.221,5.01643,5.1312,0.116584,18.3488,0.473258
2025-01-28,148.934,166.903,5.0035,5.11742,0.108913,17.9692,0.473258
2025-01-29,149.676,168.491,5.00847,5.12688,0.11603,18.8154,0.473258
2025-01-30,148.262,168.047,4.99898,5.12425,0.117884,19.7854,0.473258
2025-01-31,144.06,162.081,4.97023,5.0881,0.0953423,18.0212,0.473258
2025-02-03,145.335,162.2,4.97904,5.08883,0.0919007,16.8641,0.473258
2025-02-04,155.133,163.994,5.04428,5.09983,0.0720298,8.86111,0.473258
2025-02-05,155.529,162.476,5.04683,5.09053,0.0615214,6.94699,0.473258
2025-02-06,150.21,157.811,5.01203,5.0614,0.0488615,7.60167,0.473258
2025-02-07,148.42,155.938,5.00005,5.04946,0.0425897,7.51752,0.473258
2025-02-10,152.039,159.419,5.02413,5.07153,0.0532677,7.38002,0.473258
2025-02-11,153.541,159.764,5.03397,5.0737,0.0507755,6.22237,0.473258
2025-02-12,147.52,153.305,4.99397,5.03243,0.0284382,5.78423,0.473258
2025-02-13,152.345,154.005,5.02615,5.03698,0.0177644,1.65964,0.473258
2025-02-14,154.293,154.813,5.03885,5.04222,0.0169893,0.520584,0.473258
2025-02-18,157.229,154.587,5.0577,5.04075,0.00660114,2.64259,0.473258
2025-02-19,155.758,158.038,5.0483,5.06284,0.0331332,2.28055,0.473258
2025-02-20,157.378,159.843,5.05865,5.07419,0.0395881,2.46434,0.473258
2025-02-21,152.874,153.955,5.02961,5.03666,0.0158045,1.08159,0.473258
2025-02-24,151.84,153.078,5.02283,5.03095,0.0132998,1.23808,0.473258
2025-02-25,149.742,149.814,5.00891,5.00939,-0.00166897,0.0720825,0.473258
2025-02-26,145.476,150.317,4.98001,5.01274,0.0153603,4.84084,0.473258
2025-02-27,147.146,153.433,4.99143,5.03326,0.0304756,6.28648,0.473258
2025-02-28,149.334,156.756,5.00618,5.05469,0.0449199,7.42218,0.473258
2025-03-03,144.999,145.948,4.97672,4.98325,-0.0125776,0.949554,0.473258
2025-03-04,141.817,143.029,4.95453,4.96305,-0.0222791,1.21255,0.473258
2025-03-05,134.359,140.722,4.90051,4.94678,-0.0129785,6.36275,0.473258
2025-03-06,136.785,138.934,4.91841,4.934,-0.0342326,2.14893,0.473258
2025-03-07,136.775,139.143,4.91834,4.9355,-0.0326983,2.36742,0.473258
2025-03-10,135.492,139.609,4.90892,4.93885,-0.0248899,4.11693,0.473258
2025-03-11,133.961,143.651,4.89755,4.96739,0.00902955,9.69014,0.473258
2025-03-12,136.348,145.538,4.91521,4.98044,0.0137225,9.19055,0.473258
2025-03-13,136.248,144.793,4.91448,4.97531,0.00893684,8.54515,0.473258
2025-03-14,140.355,149.163,4.94417,5.00504,0.0246148,8.80804,0.473258
2025-03-17,145.337,151.973,4.97905,5.0237,0.0267744,6.63672,0.473258
2025-03-18,145.177,153.93,4.97796,5.0365,0.0400838,8.75221,0.473258
2025-03-19,148.727,156.512,5.00212,5.05313,0.045286,7.78436,0.473258
2025-03-20,151.094,157.386,5.0179,5.0587,0.0433828,6.2917,0.473258
2025-03-21,149.115,157.406,5.00472,5.05883,0.049748,8.29034,0.473258
2025-03-24,147.842,159.898,4.99615,5.07454,0.0695167,12.0558,0.473258
2025-03-25,148.25,160.484,4.9989,5.0782,0.0718712,12.2341,0.473258
2025-03-26,148.966,161.964,5.00372,5.08737,0.0787692,12.9978,0.473258
2025-03-27,146.52,159.124,4.98716,5.06968,0.0689131,12.6037,0.473258
2025-03-28,143.288,156.452,4.96486,5.05275,0.0625374,13.164,0.473258
2025-03-31,144.869,158.776,4.97583,5.06749,0.0720883,13.9068,0.473258
2025-04-01,145.804,159.759,4.98226,5.07367,0.0752176,13.9552,0.473258
2025-04-02,147.067,160.375,4.99089,5.07751,0.0749829,13.3081,0.473258
2025-04-03,127.866,140.304,4.85098,4.94381,0.00749569,12.4389,0.473258
2025-04-04,120.388,122.518,4.79072,4.80826,-0.0995415,2.13018,0.473258
2025-04-07,120.975,123.67,4.79558,4.81762,-0.0924835,2.69549,0.473258
2025-04-08,117.882,118.427,4.76969,4.77429,-0.123553,0.544426,0.473258
2025-04-09,130.68,133.998,4.87275,4.89783,-0.0487945,3.31865,0.473258
2025-04-10,120.845,122.31,4.79451,4.80656,-0.10304,1.46423,0.473258
2025-04-11,122.735,128.119,4.81002,4.85296,-0.063976,5.38451,0.473258
2025-04-14,124.147,126.759,4.82146,4.84228,-0.0800656,2.61199,0.473258
2025-04-15,121.541,126.262,4.80025,4.83836,-0.0739535,4.72067,0.473258
2025-04-16,123.371,129.321,4.8152,4.8623,-0.0570881,5.94978,0.473258
2025-04-17,127,136.69,4.84419,4.91771,-0.0153937,9.6891,0.473258
2025-04-21,126.006,131.436,4.83633,4.87852,-0.0508653,5.43001,0.473258
2025-04-22,130.65,135.597,4.87252,4.90969,-0.0368249,4.94737,0.473258
2025-04-23,133.543,134.604,4.89443,4.90234,-0.054543,1.06067,0.473258
2025-04-24,136.765,135.22,4.91827,4.9069,-0.0612609,1.54533,0.473258
2025-04-25,136.666,135.816,4.91754,4.9113,-0.0565199,0.850067,0.473258
2025-04-28,136.805,136.868,4.91856,4.91902,-0.0492806,0.0634308,0.473258
2025-04-29,137.531,135.706,4.92385,4.91049,-0.0603108,1.8244,0.473258
2025-04-30,136.636,131.098,4.91732,4.87595,-0.0917664,5.53743,0.473258
2025-05-01,136.944,133.899,4.91957,4.89709,-0.0716958,3.04515,0.473258
2025-05-02,140.753,135.865,4.947,4.91166,-0.0700991,4.88725,0.473258
2025-05-05,142.523,132.161,4.9595,4.88402,-0.103656,10.3615,0.473258
2025-05-06,143.736,131.069,4.96798,4.87572,-0.115967,12.667,0.473258
2025-05-07,143.875,128.675,4.96894,4.85729,-0.134854,15.1996,0.473258
2025-05-08,149.125,135.24,5.00479,4.90705,-0.102061,13.8855,0.473258
2025-05-09,150.04,136.938,5.0109,4.91953,-0.0924762,13.1021,0.473258
2025-05-12,157.249,141.933,5.05783,4.95536,-0.0788573,15.316,0.473258
2025-05-13,161.923,145.161,5.08712,4.97784,-0.0702325,16.7619,0.473258
2025-05-14,162.599,143.82,5.09129,4.96856,-0.0814833,18.7788,0.473258
2025-05-15,164.359,141.95,5.10205,4.95547,-0.0996662,22.4088,0.473258
2025-05-16,163.195,141.13,5.09495,4.94968,-0.102098,22.0654,0.473258
2025-05-19,161.356,139.35,5.08361,4.93699,-0.109425,22.0058,0.473258
2025-05-20,160.62,138.35,5.07904,4.92979,-0.114464,22.27,0.473258
2025-05-21,156.7,136.31,5.05433,4.91493,-0.117626,20.39,0.473258
2025-05-22,158.89,136.29,5.06821,4.91478,-0.124341,22.6,0.473258
2025-05-23,159.11,135.86,5.0696,4.91162,-0.128156,23.25,0.473258
2025-05-27,162.33,137.49,5.08963,4.92355,-0.125712,24.84,0.473258
2025-05-28,158.61,136.28,5.06645,4.91471,-0.12358,22.33,0.473258
2025-05-29,159.92,137.81,5.07467,4.92588,-0.116308,22.11,0.473258
2025-05-30,160.74,134.55,5.07979,4.90194,-0.142669,26.19,0.473258
2025-06-02,158.75,137.59,5.06733,4.92428,-0.114431,21.16,0.473258
2025-06-03,161.97,142.28,5.08741,4.9578,-0.0904153,19.69,0.473258
2025-06-04,156.95,139.35,5.05593,4.93699,-0.0963234,17.6,0.473258
2025-06-05,158.21,137.45,5.06392,4.92326,-0.113836,20.76,0.473258
2025-06-06,160.12,140.56,5.07592,4.94563,-0.0971412,19.56,0.473258
2025-06-09,160.27,142.13,5.07686,4.95674,-0.0864766,18.14,0.473258
2025-06-10,162.64,145.57,5.09154,4.98066,-0.0695087,17.07,0.473258
2025-06-11,164.66,148.92,5.10388,5.00341,-0.0525983,15.74,0.473258
2025-06-12,165.07,149.33,5.10637,5.00616,-0.0510259,15.74,0.473258
2025-06-13,166.15,154.91,5.11289,5.04284,-0.0174264,11.24,0.473258
