Date,SHEL Raw Price,WMB Raw Price,SHEL Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,61.7661,54.9218,4.12335,4.00591,-0.00816462,6.84432,0.484671
2025-01-03,63.1561,55.6294,4.14561,4.01871,-0.00614833,7.52665,0.484671
2025-01-06,63.3812,54.853,4.14917,4.00466,-0.0219289,8.52824,0.484671
2025-01-07,64.5363,54.5974,4.16723,3.99999,-0.0353516,9.93884,0.484671
2025-01-08,63.3518,55.423,4.1487,4.01499,-0.0113656,7.92883,0.484671
2025-01-10,63.5672,54.5679,4.1521,3.99945,-0.0285588,8.99925,0.484671
2025-01-13,63.5868,55.0692,4.15241,4.00859,-0.0195641,8.51758,0.484671
2025-01-14,64.5167,57.0644,4.16692,4.04418,0.00898883,7.45232,0.484671
2025-01-15,64.9572,57.0152,4.17373,4.04332,0.00482943,7.94194,0.484671
2025-01-16,65.0453,58.1652,4.17508,4.06329,0.0241409,6.8801,0.484671
2025-01-17,65.3096,58.1259,4.17914,4.06261,0.0214994,7.1837,0.484671
2025-01-21,65.3585,59.5903,4.17989,4.08749,0.0460186,5.7682,0.484671
2025-01-22,64.5558,58.1848,4.16753,4.06362,0.0281395,6.37101,0.484671
2025-01-23,65.2508,58.4699,4.17824,4.06851,0.0278362,6.78098,0.484671
2025-01-24,64.0077,58.5485,4.159,4.06986,0.038503,5.4592,0.484671
2025-01-27,63.763,53.6146,4.15517,3.98182,-0.0476747,10.1484,0.484671
2025-01-28,63.2148,54.2534,4.14654,3.99367,-0.0316449,8.96138,0.484671
2025-01-29,63.4106,54.3812,4.14963,3.99602,-0.0307912,9.02937,0.484671
2025-01-30,65.241,55.6196,4.17809,4.01854,-0.022067,9.62146,0.484671
2025-01-31,64.458,54.4795,4.16601,3.99782,-0.0369257,9.97848,0.484671
2025-02-03,63.7923,55.2363,4.15563,4.01162,-0.0180988,8.55605,0.484671
2025-02-04,65.2215,54.7645,4.17779,4.00304,-0.0374147,10.457,0.484671
2025-02-05,65.1236,55.8751,4.17629,4.02312,-0.0166097,9.24845,0.484671
2025-02-06,64.7614,55.0495,4.17071,4.00823,-0.0287927,9.71187,0.484671
2025-02-07,64.4971,54.9807,4.16662,4.00698,-0.0280612,9.51637,0.484671
2025-02-10,64.732,55.2068,4.17026,4.01109,-0.0257203,9.52525,0.484671
2025-02-11,65.9556,54.2927,4.18898,3.99439,-0.0514916,11.6629,0.484671
2025-02-12,65.3487,53.8799,4.17974,3.98676,-0.0546435,11.4688,0.484671
2025-02-13,65.9458,56.4747,4.18883,4.03379,-0.012018,9.47116,0.484671
2025-02-14,66.4168,56.0029,4.19595,4.0254,-0.0238556,10.4139,0.484671
2025-02-18,67.0994,56.8088,4.20618,4.03969,-0.0145235,10.2906,0.484671
2025-02-19,66.8818,57.2708,4.20293,4.04779,-0.00485001,9.61099,0.484671
2025-02-20,67.6535,57.4477,4.2144,4.05087,-0.00732603,10.2058,0.484671
2025-02-21,65.9913,56.455,4.18952,4.03344,-0.0127004,9.53632,0.484671
2025-02-24,66.1793,56.3469,4.19237,4.03153,-0.0159959,9.83241,0.484671
2025-02-25,66.1892,55.2166,4.19252,4.01126,-0.0363317,10.9726,0.484671
2025-02-26,66.6839,55.9243,4.19996,4.024,-0.0272061,10.7596,0.484671
2025-02-27,66.5553,55.2952,4.19803,4.01269,-0.0375819,11.26,0.484671
2025-02-28,66.7433,57.1823,4.20085,4.04624,-0.00539092,9.56093,0.484671
2025-03-03,65.7539,56.6123,4.18592,4.03623,-0.00817173,9.14162,0.484671
2025-03-04,65.4966,55.826,4.182,4.02224,-0.0202581,9.67066,0.484671
2025-03-05,65.3977,55.2559,4.18049,4.01198,-0.0297892,10.1418,0.484671
2025-03-06,65.3087,53.6735,4.17912,3.98292,-0.0581844,11.6351,0.484671
2025-03-07,66.0804,53.4475,4.19087,3.9787,-0.0680985,12.6329,0.484671
2025-03-10,66.0804,53.0937,4.19087,3.97206,-0.0747406,12.9867,0.484671
2025-03-11,66.1002,54.0077,4.19117,3.98913,-0.0578163,12.0924,0.484671
2025-03-12,66.6641,55.3346,4.19967,4.0134,-0.037663,11.3295,0.484671
2025-03-13,67.0203,55.2166,4.205,4.01126,-0.0423793,11.8037,0.484671
2025-03-14,68.0393,56.7934,4.22009,4.03942,-0.0215375,11.246,0.484671
2025-03-17,69.3552,57.9041,4.23924,4.05879,-0.0114537,11.4511,0.484671
2025-03-18,70.216,57.914,4.25158,4.05896,-0.0172606,12.302,0.484671
2025-03-19,70.7601,58.8263,4.2593,4.07459,-0.00537156,11.9338,0.484671
2025-03-20,71.1855,59.2527,4.26529,4.08181,-0.00105413,11.9328,0.484671
2025-03-21,70.2555,59.104,4.25214,4.0793,0.00280595,11.1515,0.484671
2025-03-24,70.5227,60.5816,4.25593,4.10399,0.0256593,9.94107,0.484671
2025-03-25,71.2647,60.4031,4.2664,4.10104,0.0176354,10.8616,0.484671
2025-03-26,72.2541,59.4511,4.28019,4.08515,-0.00493347,12.803,0.484671
2025-03-27,72.5113,58.9354,4.28374,4.07644,-0.0153677,13.5759,0.484671
2025-03-28,71.9573,58.6974,4.27607,4.0724,-0.0156967,13.2599,0.484671
2025-03-31,72.5014,59.2627,4.28361,4.08198,-0.00976421,13.2388,0.484671
2025-04-01,72.2739,60.0659,4.28046,4.09544,0.00522259,12.2079,0.484671
2025-04-02,71.9474,61.0873,4.27593,4.1123,0.0242792,10.86,0.484671
2025-04-03,69.0287,58.5387,4.23452,4.06969,0.00173448,10.49,0.484671
2025-04-04,63.4486,54.1159,4.15023,3.99113,-0.0359732,9.33278,0.484671
2025-04-07,61.6579,54.3935,4.1216,3.99625,-0.0169793,7.26434,0.484671
2025-04-08,59.1152,53.8779,4.07949,3.98672,-0.00609384,5.23732,0.484671
