Date,SHEL Raw Price,WMB Raw Price,SHEL Log Price,WMB Log Price,Residual,Spread,Beta
2025-04-09,63.2112,55.9505,4.14648,4.02447,-0.000816591,7.26073,0.484671
2025-04-10,59.1449,54.6117,4.07999,4.00025,0.00719139,4.53316,0.484671
2025-04-11,61.4303,55.9207,4.1179,4.02393,0.0125024,5.50961,0.484671
2025-04-14,61.8755,56.8826,4.12512,4.04099,0.0260578,4.99289,0.484671
2025-04-15,62.113,58.0528,4.12895,4.06135,0.0445645,4.06016,0.484671
2025-04-16,63.3497,57.7751,4.14867,4.05656,0.0302146,5.57455,0.484671
2025-04-17,64.349,58.1321,4.16432,4.06272,0.0287893,6.21682,0.484671
2025-04-21,63.9631,55.9703,4.15831,4.02482,-0.00619358,7.99282,0.484671
2025-04-22,64.4776,57.7156,4.16632,4.05553,0.0206309,6.76194,0.484671
2025-04-23,63.8246,57.9933,4.15614,4.06033,0.0303638,5.83129,0.484671
2025-04-24,64.3589,59.1139,4.16447,4.07947,0.0454622,5.24495,0.484671
2025-04-25,65.1603,58.5387,4.17685,4.06969,0.0296868,6.62152,0.484671
2025-04-28,65.3186,59.1635,4.17928,4.0803,0.0391268,6.15506,0.484671
2025-04-29,64.814,59.1734,4.17152,4.08047,0.0430529,5.64057,0.484671
2025-04-30,63.7949,58.0826,4.15567,4.06187,0.0321271,5.71236,0.484671
2025-05-01,64.1115,58.3106,4.16062,4.06578,0.0336469,5.80087,0.484671
2025-05-02,65.932,59.5007,4.18862,4.08599,0.0402792,6.4313,0.484671
2025-05-05,64.4281,59.6693,4.16555,4.08882,0.0542914,4.75887,0.484671
2025-05-06,64.4083,58.2115,4.16524,4.06408,0.0297062,6.19685,0.484671
2025-05-07,64.3589,58.4495,4.16447,4.06816,0.0341588,5.90938,0.484671
2025-05-08,64.3885,56.5851,4.16494,4.03575,0.00151873,7.80341,0.484671
2025-05-09,65.4472,57.1801,4.18124,4.04621,0.00407529,8.26703,0.484671
2025-05-12,65.6747,56.6546,4.18471,4.03697,-0.00684126,9.02018,0.484671
2025-05-13,66.8917,57.5867,4.20307,4.05329,0.000579876,9.30494,0.484671
2025-05-14,66.3772,57.7156,4.19535,4.05553,0.00655818,8.66154,0.484671
2025-05-15,66.674,58.2809,4.19982,4.06527,0.0141419,8.3931,0.484671
2025-05-16,66.62,58.3007,4.199,4.06561,0.0148748,8.31927,0.484671
2025-05-19,66.67,58.0528,4.19976,4.06135,0.0102498,8.61718,0.484671
2025-05-20,66.62,58.2809,4.199,4.06527,0.0145346,8.3391,0.484671
2025-05-21,66.36,57.4479,4.19509,4.05088,0.00203367,8.91211,0.484671
2025-05-22,65.95,57.2694,4.1889,4.04777,0.00192547,8.68061,0.484671
2025-05-23,66.3,58.4991,4.19419,4.06901,0.0206047,7.80093,0.484671
2025-05-27,66.69,59.5998,4.20006,4.08765,0.0364039,7.09017,0.484671
2025-05-28,66.04,60.1155,4.19026,4.09627,0.049766,5.9245,0.484671
2025-05-29,66.44,59.7684,4.1963,4.09048,0.0410488,6.67159,0.484671
2025-05-30,66.22,60.0064,4.19298,4.09445,0.0466305,6.21358,0.484671
2025-06-02,67.45,60.7601,4.21139,4.10693,0.0501924,6.6899,0.484671
2025-06-03,67.83,60.6014,4.217,4.10432,0.0448546,7.22857,0.484671
2025-06-04,67.27,59.6197,4.20871,4.08799,0.0325397,7.65033,0.484671
2025-06-05,67.53,60.056,4.21257,4.09528,0.0379621,7.47399,0.484671
2025-06-06,68.02,60.056,4.2198,4.09528,0.0344581,7.96399,0.484671
2025-06-09,68.26,59.1635,4.22332,4.0803,0.0177781,9.09651,0.484671
2025-06-10,70.05,58.4693,4.24921,4.0685,-0.00657037,11.5807,0.484671
2025-06-11,71.02,58.9255,4.26296,4.07627,-0.005464,12.0945,0.484671
2025-06-12,71.44,59.58,4.26886,4.08732,0.00272433,11.86,0.484671
2025-06-13,72.54,59.78,4.28414,4.09067,-0.00133037,12.76,0.484671
