Date,XOM Raw Price,HES Raw Price,XOM Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,105.388,134.963,4.65765,4.905,-0.0104061,29.5749,1.54671
2025-01-03,105.928,135.93,4.66276,4.91214,-0.011176,30.0015,1.54671
2025-01-06,105.81,135.461,4.66165,4.90869,-0.0129061,29.6509,1.54671
2025-01-07,106.802,138.142,4.67098,4.92828,-0.0077404,31.3399,1.54671
2025-01-08,105.015,139.338,4.6541,4.9369,0.0269839,34.3233,1.54671
2025-01-10,104.632,141.929,4.65045,4.95533,0.0510613,37.2975,1.54671
2025-01-13,107.333,144.341,4.67593,4.97218,0.0284948,37.0086,1.54671
2025-01-14,107.755,146.185,4.67986,4.98487,0.0351139,38.43,1.54671
2025-01-15,109.513,148.417,4.69604,5.00003,0.0252399,38.9045,1.54671
2025-01-16,109.326,149.225,4.69434,5.00545,0.0333022,39.8984,1.54671
2025-01-17,110.308,150.839,4.70328,5.01621,0.0302314,40.5309,1.54671
2025-01-21,109.474,148.158,4.69568,4.99828,0.0240476,38.6847,1.54671
2025-01-22,107.568,145.099,4.67813,4.97741,0.0303359,37.5303,1.54671
2025-01-23,108.177,144.371,4.68377,4.97239,0.0165785,36.1939,1.54671
2025-01-24,106.714,143.913,4.67015,4.96921,0.0344632,37.1988,1.54671
2025-01-27,108.197,145.617,4.68395,4.98098,0.0248898,37.42,1.54671
2025-01-28,106.105,144.56,4.66443,4.9737,0.0478051,38.4555,1.54671
2025-01-29,106.724,144.67,4.67024,4.97446,0.0395702,37.9464,1.54671
2025-01-30,107.608,145.358,4.67849,4.9792,0.0315553,37.7502,1.54671
2025-01-31,104.917,138.561,4.65317,4.93131,0.0228365,33.6441,1.54671
2025-02-03,105.172,138.361,4.6556,4.92987,0.0176371,33.1894,1.54671
2025-02-04,107.991,142.298,4.68204,4.95792,0.00478612,34.3075,1.54671
2025-02-05,107.912,142.258,4.68132,4.95764,0.00563158,34.3462,1.54671
2025-02-06,106.488,141.451,4.66803,4.95195,0.0204874,34.963,1.54671
2025-02-07,106.94,142.458,4.67227,4.95904,0.0210305,35.5178,1.54671
2025-02-10,108.982,145.338,4.69119,4.97906,0.0117807,36.3553,1.54671
2025-02-11,109.67,146.504,4.69748,4.98705,0.0100457,36.8339,1.54671
2025-02-12,106.37,144.311,4.66693,4.97197,0.0422166,37.9409,1.54671
2025-02-13,107.143,145.358,4.67417,4.9792,0.0382441,38.2145,1.54671
2025-02-14,107.252,146.055,4.67518,4.98399,0.0414594,38.8032,1.54671
2025-02-18,109.135,147.471,4.69258,4.99363,0.0241874,38.3357,1.54671
2025-02-19,109.293,148.766,4.69404,5.00238,0.0306894,39.4728,1.54671
2025-02-20,110.978,150.45,4.70933,5.01363,0.0182907,39.4726,1.54671
2025-02-21,109.68,147.61,4.69757,4.99457,0.0174286,37.9302,1.54671
2025-02-24,110.255,148.248,4.70279,4.99889,0.0136571,37.9934,1.54671
2025-02-25,108.729,146.454,4.68885,4.98671,0.0230387,37.7254,1.54671
2025-02-26,108.461,144.979,4.68639,4.97659,0.0167267,36.5179,1.54671
2025-02-27,109.145,146.414,4.69268,4.98644,0.0168576,37.2694,1.54671
2025-02-28,110.314,148.437,4.70333,5.00016,0.0140998,38.1233,1.54671
2025-03-03,106.777,143.604,4.67074,4.96706,0.031405,36.8271,1.54671
2025-03-04,106.559,141.909,4.66869,4.95519,0.0226976,35.3508,1.54671
2025-03-05,104.478,140.863,4.64897,4.94779,0.0457985,36.3852,1.54671
2025-03-06,106.638,142.856,4.66944,4.96184,0.0281971,36.2183,1.54671
2025-03-07,108.025,146.932,4.68236,4.98997,0.0363403,38.9073,1.54671
2025-03-10,110.78,147.74,4.70754,4.99545,0.00287286,36.9599,1.54671
2025-03-11,108.164,144.122,4.68365,4.97066,0.0150422,35.9581,1.54671
2025-03-12,108.134,143.544,4.68337,4.96664,0.0114485,35.4098,1.54671
2025-03-13,107.678,143.434,4.67915,4.96588,0.0172179,35.7559,1.54671
2025-03-14,110.879,147.63,4.70844,4.99471,0.000747725,36.7512,1.54671
2025-03-17,112.722,150.45,4.72492,5.01363,-0.00582882,37.7282,1.54671
2025-03-18,112.603,152.82,4.72387,5.02926,0.0114337,40.2171,1.54671
2025-03-19,114.357,156.38,4.73932,5.05229,0.0105567,42.0232,1.54671
2025-03-20,114.842,157.37,4.74356,5.0586,0.0103144,42.5277,1.54671
2025-03-21,114.446,156.58,4.7401,5.05357,0.0106292,42.1341,1.54671
2025-03-24,114.743,157.35,4.7427,5.05847,0.0115225,42.6068,1.54671
2025-03-25,115.526,158.29,4.7495,5.06443,0.00696272,42.764,1.54671
2025-03-26,117.191,160.52,4.7638,5.07842,-0.00117574,43.3294,1.54671
2025-03-27,116.814,159.07,4.76058,5.06934,-0.00527233,42.2559,1.54671
2025-03-28,116.656,158.45,4.75923,5.06544,-0.00707717,41.7944,1.54671
2025-03-31,117.845,159.73,4.76937,5.07348,-0.0147168,41.8854,1.54671
2025-04-01,117.954,161.29,4.77029,5.0832,-0.00642768,43.3364,1.54671
2025-04-02,117.587,160.02,4.76718,5.0753,-0.00951773,42.433,1.54671
2025-04-03,111.404,148.38,4.71316,4.99978,-0.00149345,36.9761,1.54671
2025-04-04,103.388,133.56,4.63849,4.89455,0.00878293,30.1722,1.54671
2025-04-07,102.001,130.59,4.62498,4.87206,0.00718847,28.5894,1.54671
2025-04-08,99.8504,127.51,4.60367,4.84819,0.0162743,27.6596,1.54671
2025-04-09,104.834,137.97,4.65238,4.92704,0.0197757,33.1355,1.54671
2025-04-10,99.018,127.16,4.5953,4.84545,0.0264727,28.142,1.54671
2025-04-11,102.199,128.5,4.62692,4.85593,-0.0119474,26.3013,1.54671
2025-04-14,102.446,127.91,4.62934,4.85133,-0.0202939,25.4636,1.54671
2025-04-15,102.159,127.21,4.62653,4.84584,-0.0214371,25.0509,1.54671
2025-04-16,103.239,127.95,4.63705,4.85164,-0.0319032,24.7108,1.54671
2025-04-17,105.944,130.64,4.66291,4.87245,-0.0511024,24.6958,1.54671
2025-04-21,104.389,126.32,4.64812,4.83882,-0.0618494,21.9314,1.54671
2025-04-22,107.312,130.38,4.67574,4.87045,-0.0729301,23.0684,1.54671
2025-04-23,106.39,130.03,4.66711,4.86777,-0.0622788,23.6399,1.54671
2025-04-24,107.639,132.38,4.67878,4.88568,-0.0624125,24.7414,1.54671
2025-04-25,107.579,132.34,4.67823,4.88537,-0.0618603,24.7608,1.54671
2025-04-28,107.639,133.84,4.67878,4.89665,-0.0514441,26.2014,1.54671
2025-04-29,107.371,132.54,4.67629,4.88688,-0.0573556,25.1689,1.54671
2025-04-30,104.666,129.05,4.65077,4.8602,-0.0445733,24.384,1.54671
2025-05-01,104.815,129.79,4.65219,4.86592,-0.0410504,24.9754,1.54671
2025-05-02,105.241,132.31,4.65625,4.88515,-0.0280952,27.0693,1.54671
2025-05-05,102.328,128.8,4.62818,4.85826,-0.0115637,26.4725,1.54671
2025-05-06,103.754,128.87,4.64203,4.8588,-0.0324388,25.1156,1.54671
2025-05-07,103.655,129.09,4.64107,4.86051,-0.0292554,25.4347,1.54671
2025-05-08,105.102,130.88,4.65493,4.87428,-0.0369217,25.778,1.54671
2025-05-09,106.331,132.37,4.66655,4.8856,-0.0435784,26.0393,1.54671
2025-05-12,108.164,135.21,4.68365,4.90683,-0.048788,27.0462,1.54671
2025-05-13,108.461,135.7,4.68639,4.91045,-0.0494155,27.2389,1.54671
2025-05-14,107.49,134.79,4.6774,4.90372,-0.042234,27.3,1.54671
2025-05-15,108.58,135.07,4.68749,4.90579,-0.0557642,26.49,1.54671
2025-05-16,108.19,134.93,4.68389,4.90476,-0.0512358,26.74,1.54671
2025-05-19,106.47,132.79,4.66786,4.88877,-0.0424359,26.32,1.54671
2025-05-20,104.95,132.05,4.65348,4.88318,-0.0257836,27.1,1.54671
2025-05-21,103.66,130.16,4.64112,4.86876,-0.0210706,26.5,1.54671
2025-05-22,102.97,130.02,4.63444,4.86769,-0.0118168,27.05,1.54671
2025-05-23,103.03,131.36,4.63502,4.87794,-0.00246444,28.33,1.54671
2025-05-27,103.52,132.58,4.63976,4.88719,-0.00055836,29.06,1.54671
2025-05-28,102.11,131.07,4.62605,4.87573,0.00919875,28.96,1.54671
2025-05-29,102.69,133.62,4.63171,4.895,0.0197064,30.93,1.54671
2025-05-30,102.3,132.19,4.62791,4.88424,0.0148321,29.89,1.54671
2025-06-02,103.05,133.75,4.63521,4.89597,0.015266,30.7,1.54671
2025-06-03,103.8,135.96,4.64247,4.91236,0.0204382,32.16,1.54671
2025-06-04,102.3,133.45,4.62791,4.89373,0.0243186,31.15,1.54671
2025-06-05,101.83,133.05,4.6233,4.89073,0.0284393,31.22,1.54671
2025-06-06,104.27,136.13,4.64698,4.91361,0.0147003,31.86,1.54671
2025-06-09,104.97,136.63,4.65367,4.91728,0.00801753,31.66,1.54671
2025-06-10,107.22,138.66,4.67488,4.93202,-0.0100371,31.44,1.54671
2025-06-11,109.31,140.58,4.69419,4.94578,-0.0261446,31.27,1.54671
2025-06-12,109.73,141.14,4.69802,4.94975,-0.0281006,31.41,1.54671
2025-06-13,112.12,142.26,4.71957,4.95766,-0.0535234,30.14,1.54671
