Date,EOG Raw Price,MTDR Raw Price,EOG Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,122.706,57.3103,4.80979,4.04848,0.123635,65.3956,1.89621
2025-01-03,124.536,58.2872,4.82459,4.06538,0.112464,66.2488,1.89621
2025-01-06,124.359,57.5767,4.82317,4.05312,0.102899,66.7822,1.89621
2025-01-07,125.51,58.9286,4.83239,4.07633,0.108634,66.5815,1.89621
2025-01-08,126.396,59.2838,4.83942,4.08234,0.101312,67.1119,1.89621
2025-01-10,129.298,60.4383,4.86212,4.10162,0.077546,68.8599,1.89621
2025-01-13,132.329,61.1389,4.88529,4.11315,0.0451405,71.1899,1.89621
2025-01-14,133.588,61.8987,4.89476,4.1255,0.0395292,71.6895,1.89621
2025-01-15,134.857,62.7769,4.90422,4.13959,0.0356862,72.0805,1.89621
2025-01-16,135.832,62.5401,4.91142,4.13581,0.0182592,73.2915,1.89621
2025-01-17,135.341,62.9249,4.9078,4.14194,0.0312535,72.4161,1.89621
2025-01-21,134.806,61.8888,4.90384,4.12534,0.0221631,72.9171,1.89621
2025-01-22,132.804,62.2046,4.88888,4.13043,0.0556193,70.5997,1.89621
2025-01-23,132.765,61.3757,4.88858,4.11701,0.0427709,71.3889,1.89621
2025-01-24,130.624,60.31,4.87232,4.0995,0.0560744,70.3142,1.89621
2025-01-27,130.763,58.8102,4.87339,4.07431,0.0288779,71.9528,1.89621
2025-01-28,129.068,59.4811,4.86034,4.08566,0.0649556,69.5873,1.89621
2025-01-29,129.049,59.4614,4.86019,4.08533,0.064915,69.5872,1.89621
2025-01-30,128.603,58.751,4.85673,4.07331,0.0594583,69.8518,1.89621
2025-01-31,124.649,57.2314,4.8255,4.0471,0.0924657,67.4175,1.89621
2025-02-03,125.253,56.7775,4.83034,4.03914,0.07533,68.4759,1.89621
2025-02-04,126.958,57.5965,4.84385,4.05346,0.0640228,69.3613,1.89621
2025-02-05,126.542,57.2018,4.84057,4.04658,0.0633727,69.3398,1.89621
2025-02-06,125.531,55.7216,4.83255,4.02037,0.0523632,69.8092,1.89621
2025-02-07,125.352,55.9289,4.83113,4.02408,0.0587713,69.4236,1.89621
2025-02-10,129.376,58.4747,4.86272,4.06859,0.0433821,70.901,1.89621
2025-02-11,131.09,58.5832,4.87588,4.07045,0.0202756,72.5067,1.89621
2025-02-12,127.671,55.6723,4.84946,4.01948,0.019418,71.9989,1.89621
2025-02-13,127.85,56.363,4.85085,4.03181,0.0291012,71.4866,1.89621
2025-02-14,128.137,56.4321,4.8531,4.03304,0.0260687,71.7049,1.89621
2025-02-18,129.752,57.034,4.86563,4.04365,0.0129253,72.7182,1.89621
2025-02-19,133.31,55.8795,4.89267,4.0232,-0.0588134,77.4301,1.89621
2025-02-20,134.439,55.7315,4.90111,4.02055,-0.0774664,78.7078,1.89621
2025-02-21,131.873,52.4062,4.88184,3.95902,-0.102438,79.4666,1.89621
