Date,FANG Raw Price,SM Raw Price,FANG Log Price,SM Log Price,Residual,Spread,Beta
2025-05-07,128.675,21.2,4.85729,3.054,-0.00727886,107.475,2.22381
2025-05-08,135.24,22.83,4.90705,3.12808,-0.0438529,112.41,2.22381
2025-05-09,136.938,23.16,4.91953,3.14243,-0.0572521,113.778,2.22381
2025-05-12,141.933,24.79,4.95536,3.21044,-0.0689148,117.143,2.22381
2025-05-13,145.161,25.63,4.97784,3.24376,-0.0855947,119.531,2.22381
2025-05-14,143.82,25.46,4.96856,3.23711,-0.0716156,118.36,2.22381
2025-05-15,141.95,24.56,4.95547,3.20112,-0.0785005,117.39,2.22381
2025-05-16,141.13,24.45,4.94968,3.19663,-0.070106,116.68,2.22381
2025-05-19,139.35,23.92,4.93699,3.17471,-0.0637952,115.43,2.22381
2025-05-20,138.35,23.73,4.92979,3.16674,-0.0557541,114.62,2.22381
2025-05-21,136.31,23.1,4.91493,3.13983,-0.0496266,113.21,2.22381
2025-05-22,136.29,23.18,4.91478,3.14329,-0.045843,113.11,2.22381
2025-05-23,135.86,23.17,4.91162,3.14286,-0.0392474,112.69,2.22381
2025-05-27,137.49,23.83,4.92355,3.17095,-0.0376822,113.66,2.22381
2025-05-28,136.28,23.66,4.91471,3.16379,-0.025184,112.62,2.22381
2025-05-29,137.81,23.8,4.92588,3.16969,-0.0441116,114.01,2.22381
2025-05-30,134.55,23.42,4.90194,3.15359,-0.00696875,111.13,2.22381
2025-06-02,137.59,23.92,4.92428,3.17471,-0.0355293,113.67,2.22381
2025-06-03,142.28,25.24,4.9578,3.22843,-0.0563535,117.04,2.22381
2025-06-04,139.35,24.16,4.93699,3.1847,-0.0538117,115.19,2.22381
2025-06-05,137.45,24.01,4.92326,3.17847,-0.0295099,113.44,2.22381
2025-06-06,140.56,24.92,4.94563,3.21567,-0.0420657,115.64,2.22381
2025-06-09,142.13,25.59,4.95674,3.2422,-0.0402362,116.54,2.22381
2025-06-10,145.57,25.99,4.98066,3.25771,-0.0779084,119.58,2.22381
2025-06-11,148.92,26.8,5.00341,3.2884,-0.0978147,122.12,2.22381
2025-06-12,149.33,27.13,5.00616,3.30064,-0.0916906,122.2,2.22381
2025-06-13,154.91,28.26,5.04284,3.34145,-0.132465,126.65,2.22381
