Date,APA Raw Price,ENB Raw Price,APA Log Price,ENB Log Price,Residual,Spread,Beta
2025-04-23,15.65,45.61,2.75047,3.82013,0.014822,29.96,-0.0634632
2025-04-24,16.26,46.36,2.78871,3.83644,0.0335587,30.1,-0.0634632
2025-04-25,16.35,46.19,2.79423,3.83276,0.0302352,29.84,-0.0634632
2025-04-28,16.55,46.64,2.80639,3.84246,0.0407021,30.09,-0.0634632
2025-04-29,16.24,46.64,2.78748,3.84246,0.039502,30.4,-0.0634632
2025-04-30,15.54,46.69,2.74342,3.84353,0.0377773,31.15,-0.0634632
2025-05-01,16.22,46.48,2.78625,3.83902,0.0359874,30.26,-0.0634632
2025-05-02,16.46,46.86,2.80093,3.84716,0.0450619,30.4,-0.0634632
2025-05-05,15.5,46.59,2.74084,3.84139,0.0354697,31.09,-0.0634632
2025-05-06,15.73,46.16,2.75557,3.83211,0.0271322,30.43,-0.0634632
2025-05-07,15.48,46.69,2.73955,3.84353,0.0375318,31.21,-0.0634632
2025-05-08,16.18,45.78,2.78378,3.82385,0.0206559,29.6,-0.0634632
2025-05-09,16.72,46.1,2.81661,3.83081,0.029705,29.38,-0.0634632
2025-05-12,17.71,44.55,2.87413,3.79661,-0.000845132,26.84,-0.0634632
2025-05-13,18.46,44.57,2.91561,3.79706,0.00223596,26.11,-0.0634632
2025-05-14,18.17,44.87,2.89977,3.80377,0.00793948,26.7,-0.0634632
2025-05-15,17.76,44.92,2.87695,3.80488,0.00760475,27.16,-0.0634632
2025-05-16,17.59,44.85,2.86733,3.80332,0.00543481,27.26,-0.0634632
2025-05-19,17.32,44.94,2.85186,3.80533,0.0064578,27.62,-0.0634632
2025-05-20,17.25,45.61,2.84781,3.82013,0.0209996,28.36,-0.0634632
2025-05-21,16.71,45.57,2.81601,3.81925,0.0181037,28.86,-0.0634632
2025-05-22,16.74,45.17,2.8178,3.81043,0.00940106,28.43,-0.0634632
2025-05-23,16.85,46.06,2.82435,3.82994,0.0293285,29.21,-0.0634632
2025-05-27,17.31,46.04,2.85128,3.82951,0.0306035,28.73,-0.0634632
2025-05-28,17.18,45.57,2.84375,3.81925,0.0198641,28.39,-0.0634632
2025-05-29,17.34,45.85,2.85302,3.82538,0.026578,28.51,-0.0634632
2025-05-30,17.01,46.48,2.8338,3.83902,0.0390055,29.47,-0.0634632
2025-06-02,17.33,47.16,2.85244,3.85355,0.0547123,29.83,-0.0634632
2025-06-03,18.27,47.07,2.90526,3.85164,0.0561543,28.8,-0.0634632
2025-06-04,17.92,46.66,2.88592,3.84289,0.0461781,28.74,-0.0634632
2025-06-05,17.85,46.87,2.882,3.84738,0.0504202,29.02,-0.0634632
2025-06-06,18.5,46.52,2.91777,3.83988,0.0451947,28.02,-0.0634632
2025-06-09,18.63,45.82,2.92477,3.82472,0.0304774,27.19,-0.0634632
2025-06-10,19.28,45.85,2.95907,3.82538,0.0333084,26.57,-0.0634632
2025-06-11,19.61,45.87,2.97604,3.82581,0.0348216,26.26,-0.0634632
2025-06-12,19.95,46.81,2.99323,3.8461,0.0561981,26.86,-0.0634632
2025-06-13,21.01,46.67,3.045,3.8431,0.0564882,25.66,-0.0634632
