Date,APA Raw Price,ENB Raw Price,APA Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,22.7603,42.98,3.12502,3.76073,-0.0208003,20.2197,-0.0634632
2025-01-03,22.7992,43.09,3.12673,3.76329,-0.0181358,20.2908,-0.0634632
2025-01-06,23.0328,42.99,3.13692,3.76097,-0.0198121,19.9572,-0.0634632
2025-01-07,23.0328,43.64,3.13692,3.77597,-0.00480554,20.6072,-0.0634632
2025-01-08,23.0523,44.02,3.13777,3.78464,0.00391803,20.9677,-0.0634632
2025-01-10,23.0523,43.48,3.13777,3.7723,-0.00842501,20.4277,-0.0634632
2025-01-13,23.7337,43.4,3.1669,3.77046,-0.00841775,19.6663,-0.0634632
2025-01-14,24.1913,44.07,3.18599,3.78578,0.00811384,19.8787,-0.0634632
2025-01-15,24.7754,44.33,3.20985,3.79166,0.0155104,19.5546,-0.0634632
2025-01-16,24.4833,44.03,3.19799,3.78487,0.00796733,19.5467,-0.0634632
2025-01-17,23.7532,44.51,3.16772,3.79571,0.0168887,20.7568,-0.0634632
2025-01-21,23.0718,45.31,3.13861,3.81353,0.0328553,22.2382,-0.0634632
2025-01-22,22.9832,44.76,3.13476,3.80131,0.0203983,21.7768,-0.0634632
2025-01-23,23.1308,44.86,3.14117,3.80355,0.0230362,21.7292,-0.0634632
2025-01-24,22.9439,45.06,3.13305,3.80799,0.0269697,22.1161,-0.0634632
2025-01-27,23.0029,44.7,3.13562,3.79997,0.0191113,21.6971,-0.0634632
2025-01-28,22.9635,44.46,3.13391,3.79459,0.013619,21.4965,-0.0634632
2025-01-29,22.8061,44.26,3.12703,3.79008,0.00867387,21.4539,-0.0634632
2025-01-30,22.6192,44.5,3.1188,3.79549,0.0135594,21.8808,-0.0634632
2025-01-31,21.5763,43.24,3.0716,3.76677,-0.0181594,21.6637,-0.0634632
2025-02-03,21.1237,42.92,3.0504,3.75934,-0.0269329,21.7963,-0.0634632
2025-02-04,22.0289,43.72,3.09235,3.77781,-0.00580235,21.6911,-0.0634632
2025-02-05,21.8321,43.93,3.08338,3.7826,-0.00158001,22.0979,-0.0634632
2025-02-06,21.291,44.2,3.05828,3.78872,0.00295451,22.909,-0.0634632
2025-02-07,21.3205,44.45,3.05967,3.79436,0.0086826,23.1295,-0.0634632
2025-02-10,22.6192,44.81,3.1188,3.80243,0.0205016,22.1908,-0.0634632
2025-02-11,22.934,45.25,3.13262,3.8122,0.0311502,22.316,-0.0634632
2025-02-12,22.0092,45.1,3.09146,3.80888,0.0252175,23.0908,-0.0634632
2025-02-13,22.1273,45.45,3.09681,3.81661,0.0332876,23.3227,-0.0634632
2025-02-14,22.7668,43.07,3.1253,3.76283,-0.0186903,20.3032,-0.0634632
2025-02-18,23.1898,42.75,3.14371,3.75537,-0.0249794,19.5602,-0.0634632
2025-02-19,23.2095,42.31,3.14456,3.74502,-0.0352712,19.1005,-0.0634632
2025-02-20,23.239,41.98,3.14583,3.73719,-0.0430208,18.741,-0.0634632
2025-02-21,22.4224,41.78,3.11006,3.73242,-0.0500665,19.3576,-0.0634632
2025-02-24,22.5011,41.54,3.11357,3.72666,-0.055605,19.0389,-0.0634632
2025-02-25,22.019,41.65,3.09191,3.7293,-0.054335,19.631,-0.0634632
2025-02-26,21.655,41.75,3.07524,3.7317,-0.0529949,20.095,-0.0634632
2025-02-27,20.0906,41.73,3.00025,3.73122,-0.0582327,21.6394,-0.0634632
2025-02-28,20.3661,42.73,3.01387,3.7549,-0.0336874,22.3639,-0.0634632
2025-03-03,18.5853,42.67,2.92237,3.7535,-0.0408996,24.0847,-0.0634632
2025-03-04,18.2705,41.55,2.90529,3.7269,-0.0685824,23.2795,-0.0634632
2025-03-05,18.241,42.49,2.90367,3.74927,-0.0463137,24.249,-0.0634632
2025-03-06,18.4476,41.6,2.91493,3.7281,-0.0667676,23.1524,-0.0634632
2025-03-07,18.5361,42,2.91972,3.73767,-0.0568942,23.4639,-0.0634632
2025-03-10,18.7132,42.68,2.92923,3.75373,-0.0402299,23.9668,-0.0634632
2025-03-11,18.8903,42.3,2.93865,3.74479,-0.0485755,23.4097,-0.0634632
2025-03-12,19.3331,42.54,2.96182,3.75044,-0.0414475,23.2069,-0.0634632
2025-03-13,18.7329,42.55,2.93028,3.75068,-0.0432138,23.8171,-0.0634632
2025-03-14,19.2937,42.83,2.95978,3.75724,-0.0347828,23.5363,-0.0634632
2025-03-17,19.7069,43.5,2.98097,3.77276,-0.0179158,23.7931,-0.0634632
2025-03-18,19.8447,43.41,2.98794,3.77069,-0.0195449,23.5653,-0.0634632
2025-03-19,20.4744,43.75,3.01917,3.77849,-0.00976072,23.2756,-0.0634632
2025-03-20,20.2382,44.23,3.00757,3.7894,0.000414784,23.9918,-0.0634632
2025-03-21,20.2776,43.87,3.00952,3.78123,-0.00763451,23.5924,-0.0634632
2025-03-24,20.5039,44.26,3.02061,3.79008,0.00192039,23.7561,-0.0634632
2025-03-25,20.5531,44.42,3.02301,3.79369,0.00568095,23.8669,-0.0634632
2025-03-26,20.7597,44.52,3.03301,3.79594,0.0085645,23.7603,-0.0634632
2025-03-27,20.8581,44.36,3.03774,3.79234,0.0052642,23.5019,-0.0634632
2025-03-28,20.5826,44.46,3.02445,3.79459,0.00667214,23.8774,-0.0634632
2025-03-31,20.681,44.31,3.02921,3.79121,0.00359531,23.629,-0.0634632
2025-04-01,20.7892,44.57,3.03443,3.79706,0.00977711,23.7808,-0.0634632
2025-04-02,20.8974,45.14,3.03963,3.80977,0.0228144,24.2426,-0.0634632
2025-04-03,17.4539,45.34,2.85956,3.81419,0.0158079,27.8861,-0.0634632
2025-04-04,14.9352,43.35,2.70372,3.76931,-0.0389654,28.4148,-0.0634632
2025-04-07,14.7187,41.95,2.68912,3.73648,-0.0727201,27.2313,-0.0634632
2025-04-08,13.8037,41.09,2.62494,3.71576,-0.097507,27.2863,-0.0634632
2025-04-09,16.4405,41.77,2.79975,3.73218,-0.0699994,25.3295,-0.0634632
2025-04-10,14.3645,41.82,2.66476,3.73337,-0.0773698,27.4555,-0.0634632
2025-04-11,14.7974,43.24,2.69445,3.76677,-0.0420941,28.4426,-0.0634632
2025-04-14,14.9548,44.02,2.70503,3.78464,-0.0235445,29.0652,-0.0634632
2025-04-15,14.6498,44.28,2.68443,3.79053,-0.0189632,29.6302,-0.0634632
2025-04-16,15.1221,44.57,2.71616,3.79706,-0.0104217,29.4479,-0.0634632
2025-04-17,15.8502,45.37,2.76318,3.81485,0.0103526,29.5198,-0.0634632
2025-04-21,15.25,44.99,2.72458,3.80644,-0.000507904,29.74,-0.0634632
2025-04-22,15.86,45.64,2.7638,3.82078,0.0163254,29.78,-0.0634632
