Date,DVN Raw Price,ET Raw Price,DVN Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,32.9309,19.0293,3.49441,2.94598,0.0558623,13.9017,0.675748
2025-01-03,33.4535,18.9617,3.51016,2.94242,0.0416659,14.4918,0.675748
2025-01-06,33.276,18.9424,3.50484,2.9414,0.0442414,14.3336,0.675748
2025-01-07,34.2028,18.8169,3.53231,2.93475,0.01903,15.3859,0.675748
2025-01-08,34.6564,19.0486,3.54548,2.94699,0.0223671,15.6078,0.675748
2025-01-10,35.4846,18.7493,3.5691,2.93116,-0.00942863,16.7353,0.675748
2025-01-13,36.2536,18.7976,3.59054,2.93373,-0.0213461,17.456,0.675748
2025-01-14,36.6578,19.2417,3.60163,2.95708,-0.00548795,17.4162,0.675748
2025-01-15,37.8903,19.3479,3.63469,2.96258,-0.0223289,18.5424,0.675748
2025-01-16,37.8804,19.5506,3.63443,2.97301,-0.0117286,18.3298,0.675748
2025-01-17,37.417,19.5893,3.62213,2.97498,-0.00143777,17.8278,0.675748
2025-01-21,36.2142,20.1878,3.58945,3.00508,0.0507421,16.0263,0.675748
2025-01-22,35.948,20.1975,3.58207,3.00556,0.0562061,15.7505,0.675748
2025-01-23,35.9381,20.3327,3.5818,3.01223,0.0630611,15.6054,0.675748
2025-01-24,35.455,20.323,3.56826,3.01175,0.071732,15.132,0.675748
2025-01-27,34.8338,19.1258,3.55059,2.95104,0.0229619,15.708,0.675748
2025-01-28,34.3901,19.6472,3.53777,2.97793,0.0585184,14.743,0.675748
2025-01-29,34.5775,19.821,3.5432,2.98674,0.0636537,14.7565,0.675748
2025-01-30,34.5578,20.352,3.54263,3.01318,0.0904767,14.2058,0.675748
2025-01-31,33.6211,19.7727,3.51515,2.9843,0.0801691,13.8484,0.675748
2025-02-03,33.276,20.043,3.50484,2.99788,0.10072,13.233,0.675748
2025-02-04,33.9366,20.0527,3.52449,2.99836,0.0879182,13.8839,0.675748
2025-02-05,33.6605,20.072,3.51633,2.99932,0.0944003,13.5886,0.675748
2025-02-06,32.9506,19.6665,3.49501,2.97892,0.0883951,13.2842,0.675748
2025-02-07,32.6844,19.5537,3.4869,2.97316,0.088123,13.1308,0.675748
2025-02-10,33.7789,19.7106,3.51983,2.98116,0.0738627,14.0682,0.675748
2025-02-11,34.6268,19.4359,3.54463,2.96712,0.043074,15.1908,0.675748
2025-02-12,33.4929,19.2789,3.51133,2.95901,0.0574621,14.214,0.675748
2025-02-13,33.7394,19.4457,3.51867,2.96763,0.0611215,14.2937,0.675748
2025-02-14,34.1535,19.6125,3.53087,2.97617,0.0614188,14.541,0.675748
2025-02-18,34.3901,19.9167,3.53777,2.99156,0.0721417,14.4735,0.675748
2025-02-19,37.0424,19.7401,3.61206,2.98265,0.0130324,17.3023,0.675748
2025-02-20,38.0086,19.5635,3.63781,2.97366,-0.0133548,18.4451,0.675748
2025-02-21,36.9635,19.0239,3.60993,2.94569,-0.0224841,17.9396,0.675748
2025-02-24,36.786,18.6118,3.60512,2.9238,-0.0411306,18.1742,0.675748
2025-02-25,35.3761,18.5627,3.56604,2.92116,-0.0173606,16.8134,0.675748
2025-02-26,34.962,18.7982,3.55426,2.93376,0.00320145,16.1638,0.675748
2025-02-27,35.3761,18.5824,3.56604,2.92221,-0.016304,16.7937,0.675748
2025-02-28,35.7113,18.9257,3.57547,2.94052,-0.00436649,16.7856,0.675748
2025-03-03,33.9267,18.6707,3.5242,2.92695,0.0167051,15.2561,0.675748
2025-03-04,33.769,18.1212,3.51954,2.89708,-0.0100144,15.6478,0.675748
2025-03-05,33.1873,17.8563,3.50217,2.88236,-0.0129984,15.3309,0.675748
2025-03-06,33.3943,17.3658,3.50839,2.8545,-0.0450582,16.0286,0.675748
2025-03-07,34.2225,17.1303,3.53288,2.84085,-0.075265,17.0922,0.675748
2025-03-10,33.7296,16.9341,3.51837,2.82933,-0.0769808,16.7955,0.675748
2025-03-11,33.9267,17.4933,3.5242,2.86182,-0.0484292,16.4334,0.675748
2025-03-12,34.262,18.0526,3.53404,2.89329,-0.0236051,16.2094,0.675748
2025-03-13,33.3155,17.8269,3.50602,2.88071,-0.0172531,15.4886,0.675748
2025-03-14,34.3085,18.3763,3.53539,2.91106,-0.00674565,15.9321,0.675748
2025-03-17,34.8645,18.5431,3.55147,2.9201,-0.00857526,16.3214,0.675748
2025-03-18,35.1227,18.3273,3.55885,2.90839,-0.0252694,16.7955,0.675748
2025-03-19,35.798,18.5824,3.57789,2.92221,-0.0243149,17.2156,0.675748
2025-03-20,35.8774,18.4941,3.58011,2.91745,-0.030576,17.3834,0.675748
2025-03-21,35.8973,18.2488,3.58066,2.9041,-0.0443012,17.6485,0.675748
2025-03-24,36.7016,18.5235,3.60282,2.91904,-0.0443339,18.1781,0.675748
2025-03-25,36.7115,18.5235,3.60309,2.91904,-0.0445167,18.1881,0.675748
2025-03-26,37.208,18.5725,3.61653,2.92168,-0.0509497,18.6355,0.675748
2025-03-27,36.6222,18.5235,3.60065,2.91904,-0.0428696,18.0987,0.675748
2025-03-28,36.503,18.3567,3.59739,2.90999,-0.0497122,18.1463,0.675748
2025-03-31,37.1385,18.239,3.61466,2.90356,-0.0678102,18.8996,0.675748
2025-04-01,37.3074,18.3763,3.61919,2.91106,-0.0633723,18.931,0.675748
2025-04-02,37.6549,18.5725,3.62846,2.92168,-0.0590168,19.0824,0.675748
2025-04-03,32.9282,17.3952,3.49433,2.85619,-0.0338656,15.533,0.675748
2025-04-04,29.1051,15.8548,3.37091,2.76348,-0.0431868,13.2502,0.675748
2025-04-07,28.41,15.5703,3.34674,2.74537,-0.0449609,12.8397,0.675748
2025-04-08,26.6126,15.3545,3.28139,2.73141,-0.0147573,11.2582,0.675748
2025-04-09,30.8528,16.3552,3.42923,2.79455,-0.0515207,14.4976,0.675748
2025-04-10,27.556,15.6096,3.31622,2.74788,-0.0218194,11.9464,0.675748
2025-04-11,28.0326,16.0216,3.33337,2.77394,-0.00735198,12.011,0.675748
2025-04-14,28.5291,16.5024,3.35093,2.8035,0.0103489,12.0268,0.675748
2025-04-15,28.3305,16.7869,3.34394,2.8206,0.0321639,11.5436,0.675748
2025-04-16,29.0952,16.6005,3.37057,2.80943,0.00300113,12.4947,0.675748
2025-04-17,30.0981,16.9439,3.40446,2.82991,0.000574467,13.1542,0.675748
2025-04-21,29.2739,16.2473,3.3767,2.78793,-0.0226438,13.0266,0.675748
2025-04-22,30.9819,16.6594,3.4334,2.81297,-0.0359168,14.3225,0.675748
2025-04-23,30.8627,16.7771,3.42955,2.82001,-0.0262704,14.0856,0.675748
2025-04-24,31.25,17.2578,3.44202,2.84827,-0.00644499,13.9921,0.675748
2025-04-25,31.1308,17.1205,3.4382,2.84028,-0.0118542,14.0103,0.675748
2025-04-28,31.3294,16.9537,3.44456,2.83049,-0.0259414,14.3757,0.675748
2025-04-29,31.0812,16.7182,3.4366,2.8165,-0.0345517,14.3629,0.675748
2025-04-30,30.1974,16.2277,3.40776,2.78672,-0.0448405,13.9697,0.675748
2025-05-01,30.9422,16.2179,3.43212,2.78611,-0.0619091,14.7243,0.675748
2025-05-02,31.2202,16.3552,3.44107,2.79455,-0.0595204,14.865,0.675748
2025-05-05,30.4059,15.8843,3.41464,2.76533,-0.0708789,14.5217,0.675748
2025-05-06,30.3761,15.5115,3.41366,2.74158,-0.0939677,14.8647,0.675748
2025-05-07,30.0782,16.5711,3.4038,2.80766,-0.0212288,13.5072,0.675748
