Date,PSX Raw Price,MUR Raw Price,PSX Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,112.306,30.1631,4.72123,3.40662,0.229979,82.1431,1.0349
2025-01-03,113.955,30.0559,4.73581,3.40306,0.211334,83.8993,1.0349
2025-01-06,113.052,29.9682,4.72785,3.40014,0.216646,83.0839,1.0349
2025-01-07,113.072,30.8256,4.72802,3.42834,0.244673,82.2462,1.0349
2025-01-08,114.112,31.9265,4.73718,3.46344,0.270285,82.1858,1.0349
2025-01-10,111.835,32.3746,4.71702,3.47738,0.305087,79.4603,1.0349
2025-01-13,113.847,32.9592,4.73486,3.49527,0.304526,80.8881,1.0349
2025-01-14,115.114,33.0274,4.74592,3.49734,0.295146,82.0861,1.0349
2025-01-15,116.812,32.5987,4.76056,3.48427,0.266926,84.213,1.0349
2025-01-16,117.43,32.1993,4.76584,3.47194,0.249132,85.2309,1.0349
2025-01-17,118.314,31.4101,4.77334,3.44713,0.216562,86.9034,1.0349
2025-01-21,118.274,30.6794,4.77301,3.42359,0.193367,87.5949,1.0349
2025-01-22,116.37,30.0656,4.75677,3.40338,0.189957,86.3043,1.0349
2025-01-23,120.365,29.6175,4.79053,3.38836,0.140005,90.7477,1.0349
2025-01-24,119.619,28.9745,4.78431,3.36642,0.12449,90.6446,1.0349
2025-01-27,120.817,28.7894,4.79427,3.36001,0.107771,92.0273,1.0349
2025-01-28,118.952,28.4484,4.77872,3.34809,0.111956,90.5033,1.0349
2025-01-29,119.914,28.4289,4.78677,3.34741,0.102936,91.4847,1.0349
2025-01-30,118.618,26.7629,4.77591,3.28702,0.05379,91.855,1.0349
2025-01-31,115.702,25.9445,4.75102,3.25596,0.0484874,89.758,1.0349
2025-02-03,115.693,24.8923,4.75094,3.21456,0.00717415,90.8004,1.0349
2025-02-04,121.337,25.7886,4.79857,3.24993,-0.00674762,95.5483,1.0349
2025-02-05,121.052,25.9932,4.79622,3.25784,0.00358546,95.059,1.0349
2025-02-06,118.598,25.623,4.77574,3.24349,0.0104357,92.9752,1.0349
2025-02-07,118.088,26.1296,4.77143,3.26307,0.0344785,91.9582,1.0349
2025-02-10,121.435,27.3085,4.79938,3.3072,0.0496789,94.1266,1.0349
2025-02-11,127.168,27.9905,4.84551,3.33186,0.0266086,99.1772,1.0349
2025-02-12,122.741,26.9675,4.81007,3.29463,0.0260468,95.7731,1.0349
2025-02-13,123.231,27.2013,4.81406,3.30327,0.0305499,96.0301,1.0349
2025-02-14,125.685,27.5326,4.83378,3.31537,0.0222476,98.1529,1.0349
2025-02-18,127.884,27.7839,4.85113,3.32446,0.0133859,100.1,1.0349
2025-02-19,127.57,27.981,4.84867,3.33153,0.0230005,99.5892,1.0349
2025-02-20,129.131,27.7938,4.86083,3.32481,0.00370101,101.337,1.0349
2025-02-21,126.412,26.9166,4.83955,3.29274,-0.00634388,99.4953,1.0349
2025-02-24,125.867,27.3108,4.83523,3.30728,0.0126659,98.5563,1.0349
2025-02-25,125.055,27.2615,4.82875,3.30548,0.0175594,97.7934,1.0349
2025-02-26,124.243,26.542,4.82224,3.27873,-0.00244396,97.7007,1.0349
2025-02-27,126.194,26.3351,4.83782,3.2709,-0.0263991,99.8589,1.0349
2025-02-28,128.452,26.1084,4.85556,3.26226,-0.0533999,102.344,1.0349
2025-03-03,123.797,24.1076,4.81864,3.18253,-0.0949264,99.6894,1.0349
2025-03-04,121.123,24.0781,4.79681,3.1813,-0.073553,97.0448,1.0349
2025-03-05,118.597,23.674,4.77573,3.16438,-0.06867,94.9232,1.0349
2025-03-06,121.618,23.812,4.80089,3.17019,-0.0888892,97.8061,1.0349
2025-03-07,124.976,24.9947,4.82812,3.21866,-0.0685989,99.981,1.0349
2025-03-10,124.926,25.2805,4.82772,3.23003,-0.0568182,99.6457,1.0349
2025-03-11,122.371,24.8862,4.80706,3.21432,-0.0511472,97.4846,1.0349
2025-03-12,122.797,24.768,4.81053,3.20955,-0.0595067,98.0287,1.0349
2025-03-13,121.331,24.5216,4.79852,3.19955,-0.0570762,96.8092,1.0349
2025-03-14,125.52,25.6649,4.83247,3.24512,-0.0466394,99.8556,1.0349
2025-03-17,127.957,26.2759,4.85169,3.26865,-0.0430052,101.681,1.0349
2025-03-18,127.184,25.724,4.84564,3.24742,-0.057967,101.46,1.0349
2025-03-19,127.769,26.7096,4.85022,3.28502,-0.0251127,101.059,1.0349
2025-03-20,127.591,26.4435,4.84883,3.27501,-0.0336807,101.147,1.0349
2025-03-21,124.292,26.3154,4.82264,3.27015,-0.0114337,97.9769,1.0349
2025-03-24,125.263,26.8673,4.83042,3.29091,0.00127264,98.3956,1.0349
2025-03-25,124.292,27.3404,4.82264,3.30836,0.0267782,96.9519,1.0349
2025-03-26,125.362,27.9416,4.83121,3.33012,0.0396613,97.4204,1.0349
2025-03-27,123.53,28.0894,4.81648,3.33539,0.0601765,95.4402,1.0349
2025-03-28,120.598,27.9613,4.79246,3.33082,0.0804624,92.6366,1.0349
2025-03-31,122.301,27.9909,4.80649,3.33188,0.0670023,94.3106,1.0349
2025-04-01,123.163,28.3358,4.81351,3.34413,0.071985,94.8273,1.0349
2025-04-02,122.876,28.7892,4.81118,3.36,0.0902746,94.0867,1.0349
2025-04-03,106.157,25.0439,4.66492,3.22063,0.102267,81.1131,1.0349
2025-04-04,97.8669,21.9985,4.58361,3.09097,0.0567559,75.8685,1.0349
2025-04-07,95.6681,21.1508,4.56089,3.05168,0.0409802,74.5173,1.0349
2025-04-08,91.9836,19.3374,4.52161,2.96204,-0.00801576,72.6463,1.0349
2025-04-09,102.146,22.8461,4.6264,3.12878,0.0502776,79.2996,1.0349
2025-04-10,96.0643,19.6823,4.56502,2.97972,-0.0352564,76.382,1.0349
2025-04-11,96.4506,20.5693,4.56903,3.0238,0.0046723,75.8812,1.0349
2025-04-14,96.8864,20.2342,4.57354,3.00738,-0.0164188,76.6521,1.0349
2025-04-15,95.2917,19.8302,4.55694,2.9872,-0.0194167,75.4616,1.0349
2025-04-16,95.6483,20.2934,4.56068,3.01029,-0.000190666,75.3549,1.0349
2025-04-17,98.1542,21.0621,4.58654,3.04748,0.0102279,77.092,1.0349
2025-04-21,96.0841,20.5299,4.56522,3.02188,0.00669337,75.5542,1.0349
2025-04-22,99.937,21.0819,4.60454,3.04841,-0.00746553,78.8551,1.0349
2025-04-23,101.799,20.2934,4.623,3.01029,-0.0646886,81.5057,1.0349
2025-04-24,103.691,20.5299,4.64141,3.02188,-0.0721554,83.1609,1.0349
2025-04-25,102.978,20.7665,4.63451,3.03334,-0.0535574,82.2112,1.0349
2025-04-28,104.77,20.9044,4.65177,3.03996,-0.0647963,83.866,1.0349
2025-04-29,104.988,20.9143,4.65385,3.04043,-0.0664751,84.074,1.0349
2025-04-30,103.067,20.2342,4.63538,3.00738,-0.0804157,82.8326,1.0349
2025-05-01,102.473,20.8059,4.62959,3.03524,-0.0465717,81.6667,1.0349
2025-05-02,106.127,21.4662,4.66464,3.06648,-0.0515942,84.6611,1.0349
2025-05-05,105.88,20.3131,4.6623,3.01127,-0.104393,85.5666,1.0349
2025-05-06,104.384,20.6975,4.64808,3.03001,-0.0709239,83.6867,1.0349
2025-05-07,104.543,20.6975,4.64959,3.03001,-0.072494,83.8451,1.0349
2025-05-08,108.148,21.072,4.6835,3.04795,-0.0896486,87.0759,1.0349
2025-05-09,109.861,21.5451,4.69922,3.07015,-0.0837143,88.3163,1.0349
2025-05-12,117.547,22.6489,4.76684,3.12011,-0.10373,94.8983,1.0349
2025-05-13,124.372,22.9939,4.82327,3.13523,-0.147017,101.378,1.0349
2025-05-14,123.51,22.6489,4.81632,3.12011,-0.154937,100.861,1.0349
2025-05-15,123.579,22.235,4.81688,3.10167,-0.173964,101.344,1.0349
2025-05-16,124.53,22.08,4.82455,3.09467,-0.188892,102.45,1.0349
2025-05-19,122.18,21.62,4.8055,3.07362,-0.190229,100.56,1.0349
2025-05-20,120.9,21.61,4.79496,3.07316,-0.179792,99.29,1.0349
2025-05-21,111.78,20.93,4.71653,3.04118,-0.130596,90.85,1.0349
2025-05-22,112.98,21,4.72721,3.04452,-0.138308,91.98,1.0349
2025-05-23,113.13,20.89,4.72854,3.03927,-0.144933,92.24,1.0349
2025-05-27,114.33,21.43,4.73909,3.06479,-0.130332,92.9,1.0349
2025-05-28,112.77,21.23,4.72535,3.05542,-0.12549,91.54,1.0349
2025-05-29,114.68,21.25,4.74215,3.05636,-0.14193,93.43,1.0349
2025-05-30,113.48,20.93,4.73163,3.04118,-0.146217,92.55,1.0349
2025-06-02,114.28,21.27,4.73865,3.0573,-0.137373,93.01,1.0349
2025-06-03,115.97,22.03,4.75333,3.09241,-0.117458,93.94,1.0349
2025-06-04,112.48,21.67,4.72278,3.07593,-0.102312,90.81,1.0349
2025-06-05,112.23,21.54,4.72055,3.06991,-0.106026,90.69,1.0349
2025-06-06,114.29,22.5,4.73874,3.11352,-0.081246,91.79,1.0349
2025-06-09,116.1,23.02,4.75445,3.13636,-0.0746591,93.08,1.0349
2025-06-10,118.7,23.79,4.7766,3.16927,-0.0646776,94.91,1.0349
2025-06-11,120.95,24.32,4.79538,3.1913,-0.0620772,96.63,1.0349
2025-06-12,121.52,24.41,4.80008,3.19499,-0.0632491,97.11,1.0349
2025-06-13,122.15,25.43,4.80525,3.23593,-0.0276639,96.72,1.0349
