Date,EOG Raw Price,AR Raw Price,EOG Log Price,AR Log Price,Residual,Spread,Beta
2025-02-27,129.425,35.58,4.8631,3.57178,-0.0937918,93.8452,0.490824
2025-02-28,125.788,36.7,4.8346,3.60278,-0.0488097,89.0885,0.490824
2025-03-03,119.447,36.15,4.78287,3.58768,-0.0385177,83.2965,0.490824
2025-03-04,121.002,36.52,4.79581,3.59786,-0.0346862,84.4823,0.490824
2025-03-05,120.745,36.38,4.79368,3.59402,-0.0374809,84.3646,0.490824
2025-03-06,121.082,33.78,4.79646,3.51987,-0.112999,87.3016,0.490824
2025-03-07,124.124,33.64,4.82128,3.51572,-0.129331,90.4837,0.490824
2025-03-10,124.748,34.69,4.8263,3.54645,-0.101058,90.058,0.490824
2025-03-11,123.361,35.86,4.81511,3.57962,-0.0623982,87.5007,0.490824
2025-03-12,123.143,36.01,4.81334,3.5838,-0.0573559,87.1327,0.490824
2025-03-13,119.992,36.37,4.78742,3.59374,-0.0346849,83.6215,0.490824
2025-03-14,122.796,37.57,4.81052,3.62621,-0.0135624,85.2259,0.490824
2025-03-17,122.459,38.9,4.80778,3.66099,0.0225746,83.5589,0.490824
2025-03-18,121.458,39.87,4.79957,3.68562,0.0512324,81.5881,0.490824
2025-03-19,123.807,41.02,4.81872,3.71406,0.0702681,82.7866,0.490824
2025-03-20,123.172,40.97,4.81359,3.71284,0.0715691,82.2024,0.490824
2025-03-21,124.035,40.77,4.82056,3.70795,0.0632521,83.2645,0.490824
2025-03-24,127.106,41.21,4.84502,3.71868,0.0619787,85.8964,0.490824
2025-03-25,126.224,41.42,4.83806,3.72376,0.070479,84.8045,0.490824
2025-03-26,128.008,40.97,4.85209,3.71284,0.0526681,87.0381,0.490824
2025-03-27,125.58,39.53,4.83295,3.67706,0.026286,86.0504,0.490824
2025-03-28,125.442,39.69,4.83184,3.6811,0.030868,85.7516,0.490824
2025-03-31,127.077,40.44,4.84479,3.69982,0.0432319,86.6367,0.490824
2025-04-01,128.127,40.92,4.85302,3.71162,0.0509911,87.2071,0.490824
2025-04-02,128.791,42,4.85819,3.73767,0.0745051,86.791,0.490824
2025-04-03,118.802,38.79,4.77746,3.65816,0.0346217,80.0124,0.490824
2025-04-04,109.547,33.46,4.69636,3.51035,-0.073381,76.0872,0.490824
2025-04-07,108.041,34.15,4.68251,3.53076,-0.0461737,73.8909,0.490824
2025-04-08,104.008,32.24,4.64447,3.47321,-0.0850556,71.7679,0.490824
2025-04-09,113.015,34.89,4.72752,3.5522,-0.04683,78.1254,0.490824
2025-04-10,103.661,31.92,4.64113,3.46323,-0.0933913,71.741,0.490824
2025-04-11,107.555,33.1,4.67801,3.49953,-0.0751923,74.4554,0.490824
2025-04-14,106.664,33.23,4.66968,3.50345,-0.0671856,73.4335,0.490824
2025-04-15,106.505,33.1,4.66819,3.49953,-0.0703754,73.405,0.490824
2025-04-16,108.24,34.3,4.68435,3.53515,-0.0426945,73.94,0.490824
2025-04-17,110.5,34.42,4.70502,3.53864,-0.0493447,76.08,0.490824
2025-04-21,109.11,32.06,4.69236,3.46761,-0.11416,77.05,0.490824
2025-04-22,111.32,32.83,4.71241,3.49134,-0.100269,78.49,0.490824
2025-04-23,111.57,34.29,4.71465,3.53485,-0.0578586,77.28,0.490824
2025-04-24,113.46,34.54,4.73145,3.54212,-0.0588392,78.92,0.490824
2025-04-25,113.07,35.33,4.72801,3.56473,-0.0345348,77.74,0.490824
2025-04-28,114.14,35.93,4.73743,3.58157,-0.0223176,78.21,0.490824
2025-04-29,112.93,36.18,4.72677,3.58851,-0.0101527,76.75,0.490824
2025-04-30,110.33,34.83,4.70348,3.55048,-0.0367477,75.5,0.490824
2025-05-01,111.68,34.65,4.71564,3.5453,-0.0478983,77.03,0.490824
2025-05-02,110.86,35.76,4.70827,3.57683,-0.012749,75.1,0.490824
2025-05-05,108.52,35.49,4.68693,3.56925,-0.00985685,73.03,0.490824
2025-05-06,108.72,35.5,4.68878,3.56953,-0.0104789,73.22,0.490824
2025-05-07,107.97,36.71,4.68185,3.60305,0.0264352,71.26,0.490824
2025-05-08,109.71,37.39,4.69784,3.6214,0.0369425,72.32,0.490824
2025-05-09,111.12,38.71,4.71061,3.6561,0.0653692,72.41,0.490824
2025-05-12,114.06,39.4,4.73672,3.67377,0.0702198,74.66,0.490824
2025-05-13,116.65,41.04,4.75918,3.71455,0.0999805,75.61,0.490824
2025-05-14,115.59,40.5,4.75005,3.7013,0.0912158,75.09,0.490824
2025-05-15,115.86,40.23,4.75238,3.69461,0.0833816,75.63,0.490824
2025-05-16,115.5,39.8,4.74927,3.68387,0.074163,75.7,0.490824
2025-05-19,113.95,39.42,4.73576,3.67427,0.0712008,74.53,0.490824
2025-05-20,112.58,39.77,4.72366,3.68311,0.0859772,72.81,0.490824
2025-05-21,111.38,39.11,4.71295,3.66638,0.0745024,72.27,0.490824
2025-05-22,110.79,39.05,4.70764,3.66484,0.0755739,71.74,0.490824
2025-05-23,110.18,39.49,4.70212,3.67605,0.0894885,70.69,0.490824
2025-05-27,111.23,40.17,4.7116,3.69312,0.101906,71.06,0.490824
2025-05-28,110.45,38.97,4.70456,3.66279,0.0750318,71.48,0.490824
2025-05-29,109.88,38.84,4.69939,3.65945,0.0742299,71.04,0.490824
2025-05-30,108.57,37.45,4.6874,3.62301,0.0436728,71.12,0.490824
2025-06-02,111.34,38.65,4.71259,3.65455,0.0628473,72.69,0.490824
2025-06-03,112.82,38.36,4.72579,3.64702,0.0488344,74.46,0.490824
2025-06-04,110.77,37.3,4.70746,3.61899,0.029813,73.47,0.490824
2025-06-05,111.03,37.19,4.7098,3.61604,0.0257088,73.84,0.490824
2025-06-06,114.05,38.65,4.73664,3.65455,0.0510438,75.4,0.490824
2025-06-09,114.33,38.92,4.73909,3.66151,0.0568016,75.41,0.490824
2025-06-10,117.88,38.39,4.76967,3.6478,0.028082,79.49,0.490824
2025-06-11,119.92,39.22,4.78682,3.66919,0.0410504,80.7,0.490824
2025-06-12,120.59,40.04,4.7924,3.68988,0.0590079,80.55,0.490824
2025-06-13,125.28,41.66,4.83055,3.72954,0.079943,83.62,0.490824
