Date,EOG Raw Price,AR Raw Price,EOG Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,122.706,35.57,4.80979,3.5715,-0.0679059,87.1359,0.490824
2025-01-03,124.536,34.94,4.82459,3.55363,-0.0930426,89.596,0.490824
2025-01-06,124.359,36.01,4.82317,3.5838,-0.0621797,88.3489,0.490824
2025-01-07,125.51,36.68,4.83239,3.60223,-0.0482674,88.8301,0.490824
2025-01-08,126.396,37.86,4.83942,3.6339,-0.0200548,88.5356,0.490824
2025-01-10,129.298,38.32,4.86212,3.64597,-0.0191219,90.9782,0.490824
2025-01-13,132.329,38.3,4.88529,3.64545,-0.0310152,94.0287,0.490824
2025-01-14,133.588,38.59,4.89476,3.65299,-0.0281213,94.9982,0.490824
2025-01-15,134.857,40.23,4.90422,3.69461,0.00885714,94.6274,0.490824
2025-01-16,135.832,40.57,4.91142,3.70303,0.0137404,95.2615,0.490824
2025-01-17,135.341,40.46,4.9078,3.70031,0.012801,94.881,0.490824
2025-01-21,134.806,39.93,4.90384,3.68713,0.00155962,94.8759,0.490824
2025-01-22,132.804,40.74,4.88888,3.70721,0.0289848,92.0642,0.490824
2025-01-23,132.765,40.55,4.88858,3.70254,0.0244566,92.2146,0.490824
2025-01-24,130.624,40.15,4.87232,3.69262,0.0225208,90.4742,0.490824
2025-01-27,130.763,36.35,4.87339,3.59319,-0.0774286,94.4129,0.490824
2025-01-28,129.068,37.22,4.86034,3.61685,-0.0473745,91.8484,0.490824
2025-01-29,129.049,37.35,4.86019,3.62033,-0.0438125,91.6986,0.490824
2025-01-30,128.603,37.85,4.85673,3.63363,-0.0288156,90.7527,0.490824
2025-01-31,124.649,37.32,4.8255,3.61953,-0.0275903,87.3289,0.490824
2025-02-03,125.253,38.33,4.83034,3.64623,-0.0032611,86.9234,0.490824
2025-02-04,126.958,38.73,4.84385,3.65661,0.000486579,88.2278,0.490824
2025-02-05,126.542,39.6,4.84057,3.67883,0.0243128,86.9416,0.490824
2025-02-06,125.531,38.3,4.83255,3.64545,-0.00513024,87.2308,0.490824
2025-02-07,125.352,37.85,4.83113,3.63363,-0.0162513,87.5025,0.490824
2025-02-10,129.376,40.02,4.86272,3.68938,0.0239918,89.3556,0.490824
2025-02-11,131.09,40.02,4.87588,3.68938,0.0175307,91.0699,0.490824
2025-02-12,127.671,39.38,4.84946,3.67326,0.0143796,88.2912,0.490824
2025-02-13,127.85,40.15,4.85085,3.69262,0.0330587,87.6996,0.490824
2025-02-14,128.137,39.84,4.8531,3.68487,0.0242057,88.297,0.490824
2025-02-18,129.752,39.74,4.86563,3.68236,0.0155442,90.0122,0.490824
2025-02-19,133.31,40.35,4.89267,3.69759,0.0175015,92.9596,0.490824
2025-02-20,134.439,39.51,4.90111,3.67655,-0.00767781,94.9293,0.490824
2025-02-21,131.873,38.15,4.88184,3.64153,-0.0332452,93.7228,0.490824
2025-02-24,132.418,37.9,4.88596,3.63495,-0.0418441,94.5178,0.490824
2025-02-25,130.129,37.35,4.86852,3.62033,-0.0479036,92.7787,0.490824
2025-02-26,128.662,37.04,4.85719,3.612,-0.0506749,91.6222,0.490824
