Date,RRC Raw Price,KMI Raw Price,RRC Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,35.8827,27.5159,3.58026,3.31476,0.030209,8.36683,0.421179
2025-01-03,35.7434,27.6725,3.57636,3.32044,0.0375236,8.07086,0.421179
2025-01-06,36.6392,27.2418,3.60112,3.30475,0.0114112,9.39739,0.421179
2025-01-07,36.6093,27.2222,3.6003,3.30403,0.0110357,9.3871,0.421179
2025-01-08,37.3459,27.6921,3.62022,3.32115,0.0197586,9.65382,0.421179
2025-01-10,37.9929,27.5648,3.6374,3.31654,0.00791865,10.4281,0.421179
2025-01-13,38.3114,27.9172,3.64575,3.32924,0.0171055,10.3942,0.421179
2025-01-14,39.4361,28.5045,3.67468,3.35006,0.0257381,10.9316,0.421179
2025-01-15,40.1429,28.8178,3.69244,3.36099,0.0291863,11.3251,0.421179
2025-01-16,41.0984,29.4247,3.71597,3.38183,0.0401192,11.6737,0.421179
2025-01-17,40.8794,29.6694,3.71063,3.39012,0.0506517,11.21,0.421179
2025-01-21,40.7799,30.5601,3.70819,3.4197,0.0812597,10.2197,0.421179
2025-01-22,40.8097,30.1294,3.70892,3.4055,0.0667577,10.6803,0.421179
2025-01-23,40.3718,29.8358,3.69813,3.39571,0.0615076,10.536,0.421179
2025-01-24,39.9836,29.6302,3.68847,3.38879,0.0586635,10.3534,0.421179
2025-01-27,37.0971,26.8796,3.61354,3.29137,-0.00720372,10.2174,0.421179
2025-01-28,37.2264,26.8796,3.61702,3.29137,-0.00867023,10.3468,0.421179
2025-01-29,37.4156,26.723,3.62209,3.28552,-0.0166482,10.6926,0.421179
2025-01-30,37.3957,27.5061,3.62155,3.31441,0.0124589,9.88957,0.421179
2025-01-31,36.8681,26.8992,3.60735,3.2921,-0.00386841,9.96893,0.421179
2025-02-03,37.2663,27.283,3.61809,3.30626,0.00577573,9.98325,0.421179
2025-02-04,37.5649,27.2039,3.62607,3.30336,-0.000490597,10.361,0.421179
2025-02-05,38.7593,27.3424,3.65737,3.30844,-0.00859606,11.4169,0.421179
2025-02-06,37.4554,26.4916,3.62315,3.27683,-0.0257918,10.9637,0.421179
2025-02-07,37.0771,26.7488,3.613,3.28649,-0.011855,10.3283,0.421179
2025-02-10,39.5257,26.7785,3.67695,3.2876,-0.0376811,12.7472,0.421179
2025-02-11,39.3864,26.5015,3.67342,3.2772,-0.0465909,12.8849,0.421179
2025-02-12,38.3014,25.997,3.64549,3.25798,-0.0540468,12.3044,0.421179
2025-02-13,38.6199,26.274,3.65377,3.26858,-0.0469368,12.346,0.421179
2025-02-14,38.4906,26.2641,3.65041,3.2682,-0.0458998,12.2264,0.421179
2025-02-18,38.7394,26.462,3.65686,3.27571,-0.0411093,12.2774,0.421179
2025-02-19,39.7148,26.6004,3.68173,3.28093,-0.0463632,13.1144,0.421179
2025-02-20,39.4859,26.3037,3.67594,3.26971,-0.0551475,13.1822,0.421179
2025-02-21,38.3014,26.1256,3.64549,3.26292,-0.0491123,12.1758,0.421179
2025-02-24,37.8137,26.185,3.63267,3.26519,-0.0414454,11.6287,0.421179
2025-02-25,37.326,25.819,3.61969,3.25111,-0.0500543,11.507,0.421179
2025-02-26,38.3711,25.8882,3.6473,3.25379,-0.0590068,12.4829,0.421179
2025-02-27,36.2311,25.9278,3.58992,3.25531,-0.0333092,10.3033,0.421179
2025-02-28,36.9477,26.8082,3.6095,3.28871,-0.00816617,10.1396,0.421179
2025-03-03,36.6292,26.8478,3.60085,3.29018,-0.00304462,9.78148,0.421179
2025-03-04,37.6843,26.6994,3.62924,3.28464,-0.0205472,10.9849,0.421179
2025-03-05,37.3558,26.4422,3.62049,3.27496,-0.0265399,10.9137,0.421179
2025-03-06,35.2158,26.0267,3.5615,3.25912,-0.0175304,9.18913,0.421179
