Date,CVX Raw Price,DVN Raw Price,CVX Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,143.354,32.9309,4.96532,3.49441,0.014709,110.424,1.0675
2025-01-03,144.468,33.4535,4.97306,3.51016,0.0221897,111.015,1.0675
2025-01-06,143.892,33.276,4.96906,3.50484,0.0211391,110.616,1.0675
2025-01-07,146.169,34.2028,4.98476,3.53231,0.0318518,111.966,1.0675
2025-01-08,146.862,34.6564,4.9895,3.54548,0.0399702,112.206,1.0675
2025-01-10,149.637,35.4846,5.00822,3.5691,0.0436039,114.153,1.0675
2025-01-13,151.797,36.2536,5.02254,3.59054,0.0497497,115.543,1.0675
2025-01-14,153.311,36.6578,5.03247,3.60163,0.0502403,116.654,1.0675
2025-01-15,154.709,37.8903,5.04154,3.63469,0.0736224,116.818,1.0675
2025-01-16,155.735,37.8804,5.04815,3.63443,0.066306,117.854,1.0675
2025-01-17,157.777,37.417,5.06118,3.62213,0.04009,120.36,1.0675
2025-01-21,154.621,36.2142,5.04098,3.58945,0.0289848,118.407,1.0675
2025-01-22,152.833,35.948,5.02934,3.58207,0.0340241,116.885,1.0675
2025-01-23,152.442,35.9381,5.02678,3.5818,0.0364834,116.504,1.0675
2025-01-24,152.09,35.455,5.02447,3.56826,0.0254151,116.635,1.0675
2025-01-27,153.634,34.8338,5.03457,3.55059,-0.00304112,118.8,1.0675
2025-01-28,152.637,34.3901,5.02806,3.53777,-0.00891216,118.247,1.0675
2025-01-29,152.129,34.5775,5.02473,3.5432,7.96723e-05,117.552,1.0675
2025-01-30,152.745,34.5578,5.02877,3.54263,-0.00480165,118.187,1.0675
2025-01-31,145.778,33.6211,4.98208,3.51515,0.0175559,112.157,1.0675
2025-02-03,145.924,33.276,4.98309,3.50484,0.00616635,112.648,1.0675
2025-02-04,149.716,33.9366,5.00874,3.52449,-0.00155691,115.779,1.0675
2025-02-05,149.491,33.6605,5.00724,3.51633,-0.00812145,115.83,1.0675
2025-02-06,148.426,32.9506,5.00009,3.49501,-0.0218038,115.475,1.0675
2025-02-07,149.129,32.6844,5.00481,3.4869,-0.0349635,116.445,1.0675
2025-02-10,152.207,33.7789,5.02524,3.51983,-0.0238361,118.428,1.0675
2025-02-11,153.839,34.6268,5.03591,3.54463,-0.0104278,119.212,1.0675
2025-02-12,151.357,33.4929,5.01964,3.51133,-0.026358,117.864,1.0675
2025-02-13,152.315,33.7394,5.02595,3.51867,-0.0257581,118.575,1.0675
2025-02-14,153.471,34.1535,5.03351,3.53087,-0.02163,119.317,1.0675
2025-02-18,154.281,34.3901,5.03877,3.53777,-0.0203456,119.891,1.0675
2025-02-19,155.338,37.0424,5.0456,3.61206,0.0466572,118.296,1.0675
2025-02-20,156.879,38.0086,5.05548,3.63781,0.0618679,118.871,1.0675
2025-02-21,155.032,36.9635,5.04363,3.60993,0.0466323,118.068,1.0675
2025-02-24,155.99,36.786,5.04979,3.60512,0.035241,119.204,1.0675
2025-02-25,154.538,35.3761,5.04044,3.56604,0.00614493,119.162,1.0675
2025-02-26,153.273,34.962,5.03222,3.55426,0.00314147,118.311,1.0675
2025-02-27,154.785,35.3761,5.04203,3.56604,0.00444013,119.409,1.0675
2025-02-28,156.711,35.7113,5.0544,3.57547,0.000666826,121,1.0675
2025-03-03,151.248,33.9267,5.01892,3.5242,-0.0127166,117.321,1.0675
2025-03-04,150.171,33.769,5.01177,3.51954,-0.00974947,116.402,1.0675
2025-03-05,148.995,33.1873,5.00391,3.50217,-0.0187356,115.808,1.0675
2025-03-06,151.109,33.3943,5.018,3.50839,-0.0275575,117.715,1.0675
2025-03-07,154.459,34.2225,5.03993,3.53288,-0.0264611,120.236,1.0675
2025-03-10,155.674,33.7296,5.04776,3.51837,-0.0493367,121.944,1.0675
2025-03-11,152.226,33.9267,5.02537,3.5242,-0.0195978,118.299,1.0675
2025-03-12,150.833,34.262,5.01617,3.53404,4.83776e-05,116.571,1.0675
2025-03-13,151.761,33.3155,5.02231,3.50602,-0.0345187,118.446,1.0675
2025-03-14,155.13,34.3085,5.04427,3.53539,-0.0285866,120.822,1.0675
2025-03-17,156.81,34.8645,5.05503,3.55147,-0.0240034,121.945,1.0675
2025-03-18,158.875,35.1227,5.06812,3.55885,-0.0305904,123.752,1.0675
2025-03-19,162.076,35.798,5.08806,3.57789,-0.0328419,126.278,1.0675
2025-03-20,162.787,35.8774,5.09244,3.58011,-0.0353,126.91,1.0675
2025-03-21,162.767,35.8973,5.09232,3.58066,-0.0346171,126.87,1.0675
2025-03-24,163.034,36.7016,5.09396,3.60282,-0.0142059,126.333,1.0675
2025-03-25,163.943,36.7115,5.09952,3.60309,-0.0198702,127.232,1.0675
2025-03-26,165.949,37.208,5.11168,3.61653,-0.0194162,128.741,1.0675
2025-03-27,164.645,36.6222,5.10379,3.60065,-0.0268652,128.022,1.0675
2025-03-28,164.091,36.503,5.10042,3.59739,-0.0265312,127.588,1.0675
2025-03-31,165.277,37.1385,5.10762,3.61466,-0.0169557,128.138,1.0675
2025-04-01,166.482,37.3074,5.11489,3.61919,-0.0201774,129.175,1.0675
2025-04-02,164.467,37.6549,5.10271,3.62846,0.00209757,126.812,1.0675
2025-04-03,154.241,32.9282,5.03852,3.49433,-0.0635134,121.313,1.0675
2025-04-04,141.556,29.1051,4.95269,3.37091,-0.0953114,112.451,1.0675
2025-04-07,138.463,28.41,4.93061,3.34674,-0.0959053,110.053,1.0675
2025-04-08,135.282,26.6126,4.90736,3.28139,-0.136447,108.67,1.0675
2025-04-09,144.273,30.8528,4.97171,3.42923,-0.057292,113.42,1.0675
2025-04-10,133.356,27.556,4.89302,3.31622,-0.0863019,105.8,1.0675
2025-04-11,133.998,28.0326,4.89782,3.33337,-0.0742808,105.965,1.0675
2025-04-14,133.692,28.5291,4.89554,3.35093,-0.0542816,105.162,1.0675
2025-04-15,132.921,28.3305,4.88975,3.34394,-0.055096,104.59,1.0675
2025-04-16,133.731,29.0952,4.89583,3.37057,-0.0349513,104.636,1.0675
2025-04-17,136.211,30.0981,4.9142,3.40446,-0.0206747,106.113,1.0675
2025-04-21,132.121,29.2739,4.88372,3.3767,-0.0158939,102.847,1.0675
2025-04-22,135.648,30.9819,4.91006,3.4334,0.0126883,104.666,1.0675
2025-04-23,135.035,30.8627,4.90554,3.42955,0.0136662,104.172,1.0675
2025-04-24,137.396,31.25,4.92287,3.44202,0.0076311,106.146,1.0675
2025-04-25,137.061,31.1308,4.92042,3.4382,0.00642378,105.93,1.0675
2025-04-28,138.414,31.3294,4.93025,3.44456,0.00229273,107.085,1.0675
2025-04-29,137.624,31.0812,4.92452,3.4366,0.000450436,106.543,1.0675
2025-04-30,134.423,30.1974,4.90099,3.40776,-0.00327353,104.225,1.0675
2025-05-01,134.62,30.9422,4.90246,3.43212,0.0195222,103.678,1.0675
2025-05-02,136.833,31.2202,4.91876,3.44107,0.0110617,105.613,1.0675
2025-05-05,133.869,30.4059,4.89686,3.41464,0.00801104,103.463,1.0675
2025-05-06,133.968,30.3761,4.8976,3.41366,0.00624322,103.592,1.0675
2025-05-07,134.156,30.0782,4.899,3.4038,-0.00510685,104.078,1.0675
2025-05-08,135.391,31.7068,4.90817,3.45653,0.0378397,103.684,1.0675
2025-05-09,136.823,32.3026,4.91869,3.47515,0.0452204,104.521,1.0675
2025-05-12,139.916,33.3155,4.94104,3.50602,0.0522368,106.6,1.0675
2025-05-13,140.637,34.0503,4.94618,3.52784,0.0685652,106.587,1.0675
2025-05-14,139.965,33.7226,4.94139,3.51817,0.0640064,106.243,1.0675
2025-05-15,140.548,33.1665,4.94555,3.50154,0.0429426,107.382,1.0675
2025-05-16,140.39,33.0275,4.94442,3.49734,0.0399431,107.363,1.0675
2025-05-19,138.49,32.4615,4.9308,3.48005,0.0372029,106.029,1.0675
2025-05-20,137.27,31.9451,4.92195,3.46402,0.0306137,105.325,1.0675
2025-05-21,135.56,31.2798,4.90941,3.44297,0.0229487,104.28,1.0675
2025-05-22,135.29,30.9223,4.90742,3.43148,0.0135826,104.368,1.0675
